"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.094","0.096","0.059","0.084","0.107","0.117","1,000"
"2","$K$","23,740","23,571","22,665","23,083","24,191","25,698","1,000"
"3","$N_{min}$","   453","   357","   204","   278","   510"," 1,178","1,000"
"4","$N_{2006}$","13,109","13,032","11,411","12,374","13,718","15,343","1,000"
"5","$N_{2008}$","14,962","14,891","13,295","14,334","15,564","16,803","1,000"
"6","$N_{2012}$","18,475","18,488","16,809","17,982","19,014","19,888","1,000"
"7","$N_{2019}$","22,202","22,230","21,234","22,037","22,420","22,854","1,000"
"8","$N_{2030}$","23,545","23,482","22,645","23,042","24,002","24,709","1,000"
"9","Max depletion","0.019","0.015","0.009","0.012","0.021","0.046","1,000"
"10","Depletion in 2006","0.552","0.55","0.485","0.526","0.575","0.626","1,000"
"11","Depletion in 2008","0.631","0.629","0.554","0.604","0.656","0.708","1,000"
"12","Depletion in 2012","0.779","0.783","0.673","0.751","0.812","0.861","1,000"
"13","Depletion in 2019","0.937","0.947","0.838","0.919","0.964","0.978","1,000"
"14","Depletion in 2030","0.992","0.997","0.959","0.992","0.998","0.999","1,000"
