"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2017","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2017","draw","save"
"mean",0.0858969363304001,23932.5651614792,1,-999,15688.5731515823,0,-999,797.123615910088,1952.3522,0,21304.0347719695,0,-9999,0,-9999,0,0,18.0833511605686,0,18.0833511605686,1.89418178665908e-08,0.0302371675802242,0.896511485224773,19482.9604,1
"median",0.0897439293987118,23450.4338481314,1,-999,15635.6350200949,0,-999,438.302270734783,1958,0,21430.1545957464,0,-9999,0,-9999,0,0,17.8325158514611,0,17.8325158514611,1.80068093842718e-08,0.018668912933585,0.918789569201405,19403,1
"2.5%PI",0.0275471556128701,22249.4946213379,1,-999,13673.8493895566,0,-999,211.515052615948,1926,0,19396.4005104143,0,-9999,0,-9999,0,0,17.0390817180766,0,17.0390817180766,1.0498469279277e-09,0.00947927751449701,0.684727445479468,985,1
"97.5%PI",0.116824333283119,28958.7536633396,1,-999,17914.1585478152,0,-999,3754.44598638843,1968,0,22268.9479430173,0,-9999,0,-9999,0,0,20.6746214857747,0,20.6746214857747,3.98126268244128e-08,0.12966748631755,0.973072058231067,37321,1
"5%PI",0.038409835351631,22284.8720036948,1,-999,13957.1496498538,0,-999,224.490612474703,1926,0,19992.5336688628,0,-9999,0,-9999,0,0,17.0814337420495,0,17.0814337420495,2.10531469867929e-09,0.0100716864218487,0.745023609888104,2070.1,1
"95%PI",0.115959787570406,27096.5101249959,1,-999,17537.8474466095,0,-999,2264.49822407797,1968,0,22113.194453303,0,-9999,0,-9999,0,0,19.9788047510287,0,19.9788047510287,3.8161688553129e-08,0.0833539482829768,0.968234223551078,36348.05,1
"min",0.000411241483408958,22202.1950861334,1,-999,11969.1453764681,0,-999,164.539814621421,1926,0,15824.3634600809,0,-9999,0,-9999,0,0,16.9836989261217,0,16.9836989261217,2.31976428187941e-11,0.00740026906844469,0.351116272177023,21,1
"max",0.11798760561971,48128.9691102051,1,-999,19866.8356508715,0,-999,17378.1757221103,1968,0,23150.6870238342,0,-9999,0,-9999,0,0,24.4869704450564,0,24.4869704450564,4.2079761928667e-08,0.380284029839799,0.991696406194824,38455,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
