"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI"
"1","$r_{max}$","0.086","0.091","0.028","0.039","0.117","0.116"
"2","$K$","23,919","23,399","22,258","22,299","28,853","27,048"
"3","$N_{min}$","   788","   425","   213","   230"," 3,612"," 2,224"
"4","$N_{2008}$","15,707","15,677","13,649","13,958","17,964","17,578"
"5","$N_{2018}$","21,646","21,767","19,800","20,406","22,547","22,408"
"6","Max depletion","0.03","0.018","0.01","0.01","0.125","0.082"
"7","Depletion in 2008","0.659","0.661","0.557","0.577","0.762","0.744"
"8","Depletion in 2018","0.911","0.936","0.691","0.759","0.98","0.976"
