"","r_max","K","catch_multiplier_1","sample.N.obs","add_CV","Nmin","YearMin","violate_MVP","N2017","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2017","draw","save"
"1791",0.0606043763994239,25085.6279122112,1,15359.0773107717,0,1095.67855256291,1926,0,20650.6426178016,0,-9999,0,-9999,0,0,18.2923369662715,0,18.2923369662715,1.13694379142086e-08,0.043677541435172,0.823206127830241,7096,1
"1792",0.0606043763994239,25085.6279122112,1,15359.0773107717,0,1095.67855256291,1926,0,20650.6426178016,0,-9999,0,-9999,0,0,18.2923369662715,0,18.2923369662715,1.13694379142086e-08,0.043677541435172,0.823206127830241,7096,1
"1793",0.0648964432193898,24816.7330080265,1,17611.3870819099,0,1018.84483842364,1926,0,22244.1891186892,0,-9999,0,-9999,0,0,19.3958282732401,0,19.3958282732401,3.77136710748464e-09,0.0410547527788653,0.896338333957767,7107,1
"1794",0.00776434551691636,39187.5849921354,1,18115.9738013521,0,12759.8830241248,1926,0,19196.3205643965,0,-9999,0,-9999,0,0,21.1112709400551,0,21.1112709400551,6.78408881261024e-10,0.325610343854708,0.48985719758564,7114,1
"1795",0.0503915807036683,25841.1837937626,1,15066.5088281967,0,1428.61830212837,1926,0,19835.650448498,0,-9999,0,-9999,0,0,19.1714024515498,0,19.1714024515498,4.72025765200392e-09,0.0552845532747303,0.767598365725252,7136,1
"1796",0.0261581929596141,29216.9984900878,1,16168.4416281059,0,3934.49283751842,1926,0,19066.9552284839,0,-9999,0,-9999,0,0,19.7176602518437,0,19.7176602518437,2.73356217621429e-09,0.134664511785947,0.652598015328391,7140,1
"1797",0.087603728255257,23555.4200080821,1,15969.9617031729,0,476.984723844653,1958,0,21741.5492863601,0,-9999,0,-9999,0,0,17.5183698371259,0,17.5183698371259,2.46529359733615e-08,0.0202494680069808,0.922995611154478,7143,1
"1798",0.087603728255257,23555.4200080821,1,15969.9617031729,0,476.984723844653,1958,0,21741.5492863601,0,-9999,0,-9999,0,0,17.5183698371259,0,17.5183698371259,2.46529359733615e-08,0.0202494680069808,0.922995611154478,7143,1
"1799",0.087603728255257,23555.4200080821,1,15969.9617031729,0,476.984723844653,1958,0,21741.5492863601,0,-9999,0,-9999,0,0,17.5183698371259,0,17.5183698371259,2.46529359733615e-08,0.0202494680069808,0.922995611154478,7143,1
"1800",0.087603728255257,23555.4200080821,1,15969.9617031729,0,476.984723844653,1958,0,21741.5492863601,0,-9999,0,-9999,0,0,17.5183698371259,0,17.5183698371259,2.46529359733615e-08,0.0202494680069808,0.922995611154478,7143,1
"1801",0.087603728255257,23555.4200080821,1,15969.9617031729,0,476.984723844653,1958,0,21741.5492863601,0,-9999,0,-9999,0,0,17.5183698371259,0,17.5183698371259,2.46529359733615e-08,0.0202494680069808,0.922995611154478,7143,1
"1802",0.087603728255257,23555.4200080821,1,15969.9617031729,0,476.984723844653,1958,0,21741.5492863601,0,-9999,0,-9999,0,0,17.5183698371259,0,17.5183698371259,2.46529359733615e-08,0.0202494680069808,0.922995611154478,7143,1
"1803",0.105775505095255,22714.6425278034,1,13178.215085878,0,265.241065831948,1968,0,20708.3707208566,0,-9999,0,-9999,0,0,19.6269996007501,0,19.6269996007501,2.9929700920753e-09,0.011677096194989,0.911674955725536,7150,1
"1804",0.0615537387127988,25036.6852141098,1,17817.025427008,0,1105.80427455717,1926,0,22295.5697510741,0,-9999,0,-9999,0,0,19.7369742389994,0,19.7369742389994,2.68127277531203e-09,0.0441673594208061,0.890516039180343,7184,1
"1805",0.0150685034096241,33283.5763717297,1,16597.6013138425,0,7506.94121423554,1926,0,18455.3152163824,0,-9999,0,-9999,0,0,20.3063199931135,0,20.3063199931135,1.51732033845621e-09,0.225544909308837,0.554487144358018,7195,1
"1806",0.0916716678226367,23357.1187160518,1,14349.4621214923,0,389.140397936438,1958,0,21045.6206210919,0,-9999,0,-9999,0,0,17.9720282019161,0,17.9720282019161,1.56620037385442e-08,0.0166604623912369,0.901036676524171,7198,1
"1807",0.0916716678226367,23357.1187160518,1,14349.4621214923,0,389.140397936438,1958,0,21045.6206210919,0,-9999,0,-9999,0,0,17.9720282019161,0,17.9720282019161,1.56620037385442e-08,0.0166604623912369,0.901036676524171,7198,1
"1808",0.0916716678226367,23357.1187160518,1,14349.4621214923,0,389.140397936438,1958,0,21045.6206210919,0,-9999,0,-9999,0,0,17.9720282019161,0,17.9720282019161,1.56620037385442e-08,0.0166604623912369,0.901036676524171,7198,1
"1809",0.0916716678226367,23357.1187160518,1,14349.4621214923,0,389.140397936438,1958,0,21045.6206210919,0,-9999,0,-9999,0,0,17.9720282019161,0,17.9720282019161,1.56620037385442e-08,0.0166604623912369,0.901036676524171,7198,1
"1810",0.0516375548285432,25734.9738068883,1,14682.4111775495,0,1368.26148202305,1926,0,19578.6531446044,0,-9999,0,-9999,0,0,19.7091989714442,0,19.7091989714442,2.75678974116877e-09,0.0531673936134652,0.760779991132687,7204,1
"1811",0.114940566417295,22326.809294998,1,15964.1152815893,0,245.419692952854,1958,0,21601.7753166811,0,-9999,0,-9999,0,0,17.3047399177014,0,17.3047399177014,3.05243864307187e-08,0.0109921525153993,0.967526305763745,7211,1
"1812",0.114940566417295,22326.809294998,1,15964.1152815893,0,245.419692952854,1958,0,21601.7753166811,0,-9999,0,-9999,0,0,17.3047399177014,0,17.3047399177014,3.05243864307187e-08,0.0109921525153993,0.967526305763745,7211,1
