"","r_max","K","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2012","N2008","N2019","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2012","status2008","status2019","draw","save"
"mean",0.0903922948750985,30244.6337459743,1.10591059468835,1.33543975981456,1.0185162132209,1.71212132367064,19419.3017383206,0,0.540116119183693,488.116278559823,1958.5379,0,19419.3107501066,14981.6628130893,25917.1467956884,0.0898901410480929,0.0647349820933888,0.0539210588022374,0.506217324319564,0,-9999,35.4396539155156,0,17.1335128434855,0,52.5731667590011,1.9227399043769e-23,0.0156383378945702,0.647429767714669,0.498667540130159,0.86288257280801,677249.1238,1
"median",0.0923568476638757,29728.0148417579,1.09970101117969,1.3353084344964,1.01850482950214,1.71206246151072,19406.3307796605,0,0.559983592946082,381.637309168408,1958,0,19406.3309783132,14951.1816718404,25901.0797359171,0.091909506839482,0.0653782910164493,0.0533525254114234,0.5054142607312,0,-9999,35.3814482954934,0,16.9266452503986,0,52.2971136035834,1.93933190588317e-23,0.0128730353530733,0.652121299923988,0.498723658559122,0.880873325857322,675556.5,1
"2.5%PI",0.0540950069339597,26221.3004648511,1.00630967921841,1.25426978794287,1.01301877165331,1.57012006577698,17530.9411487251,0,0.0314040233846754,193.654719633021,1926,0,17530.941484083,13256.7078212522,23464.4027618533,0.0532227302443572,0.0434912128207822,0.0262084639702006,0.459979280735505,0,-9999,34.9735576535986,0,16.3100313174052,0,51.6169812269685,1.20248381548132e-24,0.00682556605582287,0.502827564275435,0.4012612772642,0.673492594961775,32906.2,1
"97.5%PI",0.116266213398497,37364.7218969004,1.34959467652708,1.41570878283685,1.02396854253165,1.85232176761247,21369.9322916771,0,0.980145534011535,1369.55406038509,1968,0,21369.9320659861,16868.0064650514,28726.6184637646,0.115975705503609,0.0824892635170523,0.0844049819471211,0.557208542348701,0,-9999,36.2903682826659,0,19.1478834868614,0,55.0776529906902,3.82851084064745e-23,0.0395265919007461,0.762205284022129,0.588264641438703,0.953800323804861,1327494.6,1
"5%PI",0.0599806142867543,26651.1154412618,1.0125724006208,1.25868077607546,1.01383694543803,1.59334112741135,17837.9635854973,0,0.0618628263124265,206.207509260691,1957,0,17837.9757483599,13522.9242783492,23940.7026762242,0.0591626722373138,0.0470745210466422,0.0293924969674584,0.466806777657015,0,-9999,35.024619326993,0,16.3627088228233,0,51.6757283407266,2.35129048887704e-24,0.00737901030404407,0.528927576344714,0.418576449794238,0.716151462117989,66583.15,1
"95%PI",0.114598782396107,35573.9133363988,1.26667443442612,1.41163364470284,1.02315440396145,1.82968301646412,21033.5023405903,0,0.959957748884335,1124.01440535098,1968,0,21033.5053195957,16534.4248890379,27912.8451468543,0.114302122541222,0.0799782642068207,0.080532656875883,0.548373355953444,0,-9999,36.0335790969436,0,18.6072140396717,0,54.4070779232734,3.61007591166225e-23,0.033620014235456,0.747506747165585,0.574017651188981,0.947760891171144,1293476.4,1
"min",0.0192196565787308,24688.1607964117,1.00001544496299,1.25002209985163,1.00699608554709,1.39612811131812,15191.7423107661,0,5.30937686562538e-05,155.527937044424,1926,0,15191.7423070877,11456.5865136541,19679.8360350563,0.0181105444994389,0.0165005652122709,0.0129933416776479,0.407184340167771,0,-9999,34.7596988869472,0,16.2021730398802,0,51.3088253196502,4.01860058146881e-28,0.0045925671897554,0.295132012938339,0.272172328296359,0.33933222115324,118,1
"max",0.117994232187513,58279.4081616826,1.42853557822834,1.41999608407263,1.03015085186464,2.02178251945591,23797.9758381844,0,0.999972668010741,6016.38679272178,1968,0,23797.9876274679,19710.7914224923,31887.2419089467,0.117787422852287,0.0980929928575258,0.100368216761118,0.643405816940086,0,-9999,40.6767771008046,0,28.2262234046929,0,63.0814488758706,5.21027073659603e-23,0.147214744754188,0.836691246749675,0.664131422237272,0.975986153366941,1360965,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
