"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.091","0.092","0.055","0.079","0.104","0.116","10,000"
"2","$K$","30,168","29,697","26,053","28,284","31,562","36,984","10,000"
"3","$N_{min}$","   480","   383","   192","   288","   567"," 1,346","10,000"
"4","$N_{2006}$","12,917","12,858","11,101","12,221","13,555","15,000","10,000"
"5","$N_{2008}$","14,965","14,939","13,219","14,322","15,576","16,851","10,000"
"6","$N_{2012}$","19,405","19,388","17,509","18,717","20,078","21,372","10,000"
"7","$N_{2019}$","25,892","25,857","23,563","25,098","26,635","28,696","10,000"
"8","$N_{2030}$","29,465","29,274","25,986","28,080","30,617","34,518","10,000"
"9","Max depletion","0.015","0.013","0.007","0.01","0.018","0.039","10,000"
"10","Depletion in 2006","0.43","0.43","0.351","0.404","0.456","0.511","10,000"
"11","Depletion in 2008","0.499","0.499","0.404","0.469","0.53","0.593","10,000"
"12","Depletion in 2012","0.648","0.653","0.507","0.605","0.695","0.769","10,000"
"13","Depletion in 2019","0.864","0.88","0.684","0.826","0.919","0.956","10,000"
"14","Depletion in 2030","0.979","0.99","0.891","0.976","0.996","0.999","10,000"
