"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.087","0.092","0.03","0.04","0.117","0.116","9,993"
"2","$K$","26,425","25,536","23,772","23,917","34,358","31,632","9,993"
"3","$N_{min}$","   723","   398","   202","   215"," 3,195"," 2,028","9,993"
"4","$N_{2008}$","15,478","15,442","13,541","13,824","17,653","17,274","9,993"
"5","$N_{2018}$","22,946","23,090","20,553","21,253","24,149","23,978","9,993"
"6","Max depletion","0.024","0.016","0.008","0.009","0.093","0.065","9,993"
"7","Depletion in 2008","0.591","0.593","0.47","0.501","0.692","0.673","9,993"
"8","Depletion in 2018","0.879","0.912","0.604","0.683","0.968","0.964","9,993"
