"","r_max","K","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.107857968407464,28601.3311051512,1.10942985790038,1.33451727243945,1.01846745380927,1.71271418954994,14587.3710106782,0,0.538071876465017,261.072185497925,1963.9313,0,14587.385034438,19667.8822453868,12250.9413578012,26263.6649738654,28467.2713136243,0.0943985896710257,0.375080672462787,0,-9999,40.3962487145317,0,16.8709328053799,0,57.2671815199116,2.04607267504681e-25,0.00910760812517727,0.512322726983709,0.690444855482265,0.430237462804907,0.919963733085331,0.99550011178571,1824693.9037,1
"median",0.110195932207396,28339.7222532438,1.102040922546,1.33466210934566,1.01847065440314,1.71198965572113,14552.2285418119,0,0.554804012412205,243.472328446913,1968,0,14552.2153651234,19646.8372858219,12198.7119557388,26157.034766936,28237.1507126191,0.0958755380152364,0.374988547904173,0,-9999,40.2155135827934,0,16.625618642556,0,56.9847188659994,1.78587495244079e-25,0.0086589933016704,0.512513021197055,0.693562268393794,0.430133461337352,0.927479099847514,0.997045542607836,1823682,1
"2.5%PI",0.0852480176997371,25598.9979118845,1.00681559668059,1.25456907450041,1.01293710736731,1.56980275500147,12899.8643470812,0,0.0301982844190206,172.772548578613,1958,0,12899.8193653489,17859.4395867829,10679.5503346167,24211.198913632,25555.9228607823,0.0744100675162563,0.323460149083151,0,-9999,39.407985591189,0,16.25924819769,0,55.8610906856251,6.66652694115723e-27,0.00593090282708947,0.416381350013783,0.57756112019814,0.345302870499843,0.835905480332229,0.982659734978007,92578.825,1
"97.5%PI",0.117704402551835,34158.1891407607,1.3592613859349,1.41551731318521,1.02398339980935,1.85633631198999,16470.8747364581,0,0.978807216335554,467.682291996225,1968,0,16471.1868007355,21586.9685812838,14088.7366680642,29680.4592237252,33898.6475929526,0.105996786398386,0.429285985847594,0,-9999,42.4885942359776,0,18.9047683505925,0,60.2726987179768,5.49334116772346e-25,0.0155244560099013,0.602275617336834,0.783478865476226,0.512327882632492,0.962125810887108,0.998824920348983,3551592.4,1
"5%PI",0.0907023613257101,25984.7353428637,1.01322453424673,1.25906593232427,1.01383058395064,1.59301168600806,13153.9745081915,0,0.0663854283862747,179.134251411094,1958,0,13153.9758364953,18132.7667654444,10907.7540130103,24495.1765694495,25938.9196553788,0.0789957785166904,0.331575691200213,0,-9999,39.4893461745077,0,16.285246771919,0,55.9861850780117,1.47600258836343e-26,0.00621410243795092,0.435653808011795,0.598355740905288,0.36327545153441,0.855922428369562,0.987468753823957,183709.3,1
"95%PI",0.117391463947133,32658.6765974629,1.2847258402685,1.41094453105354,1.02311938490495,1.83255487227048,16128.2195708482,0,0.95999443854671,399.911095536162,1968,0,16128.2414128161,21257.2105342655,13743.6389448287,28719.3528684311,32371.7774555986,0.104817220214318,0.420057191014003,0,-9999,41.90681072554,0,18.3336358271462,0,59.4778749822366,4.84739889246855e-25,0.0135328099075441,0.587715700470526,0.770704277353648,0.497806052213012,0.958327597604609,0.998664063107162,3465232,1
"min",0.0552491659643128,24395.5968835997,1.00001336644705,1.25002928510774,1.00699576908714,1.46361341168143,11924.6573511045,0,0.000197857385501266,152.00435099331,1926,0,11924.729551319,16386.9774773959,9715.69851109756,23171.3330606944,24371.3898517428,0.0464166553722862,0.27685762216953,0,-9999,39.0161939120272,0,16.2016394115156,0,55.319378550664,3.12086112867107e-29,0.00438274939529606,0.344912465735256,0.476118001039725,0.282470047236491,0.673140770387096,0.890698913771321,578,1
"max",0.117999995329417,38360.3400779791,1.42800982853043,1.41996659943601,1.02999480161076,1.95253390834139,18532.6974680647,0,0.999900971539319,1328.09058050178,1968,0,18532.705301847,24000.3528362019,16329.8994161286,32501.2718396364,36980.7401908082,0.111872567600811,0.471949883380047,0,-9999,47.3185483978706,0,22.7574501277436,0,65.6368587303085,9.4427643803177e-25,0.0421666508696604,0.716371619229876,0.877039137584499,0.617889542474527,0.984048389225115,0.99956472035645,3644990,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
