"","r_max","K","catch_multiplier_1","sample.N.obs","add_CV","Nmin","YearMin","violate_MVP","N2005","N2018","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2005","status2018","draw","save"
"1",0.0916939388853498,23354.1669164089,1,5604.49805564713,0,222.114951215793,1968,0,5604.49638840812,15153.9558212459,0,0,-9999,-9999,0,-9999,0,0,8.18168124274474,-2.41116856119858,5.77051268154617,0.00311815848199113,0.00951072037854335,0.239978433333468,0.648875889064513,7,1
"2",0.0886811104970984,23499.8001178246,1,7190.98094769288,0,318.271476000317,1968,0,7190.98092214682,17417.2699535941,0,0,-9999,-9999,0,-9999,0,0,8.02958057947899,-2.44502418842375,5.58455639105523,0.00375541533614731,0.0135435822604681,0.306001790912786,0.741166727643061,16,1
"3",0.0410916384938173,26529.5927556408,1,6504.53378329985,0,1252.05605583895,1958,0,6504.53378390674,10625.9463191275,0,0,-9999,-9999,0,-9999,0,0,7.56825971620312,-1.95151347858334,5.61674623761978,0.00363645403765747,0.04719469565068,0.245180310297968,0.400531829380161,27,1
"4",0.0323347707204521,27423.2098493515,1,6051.2907016091,0,1645.70414093453,1958,0,6051.29070169971,8991.12185290716,0,0,-9999,-9999,0,-9999,0,0,7.67201099841163,-1.65869332538761,6.01331767302402,0.0024459598093536,0.0600113608135279,0.220663107453222,0.327865406795907,47,1
"5",0.0828721451116726,23789.0755193037,1,6902.04916358925,0,362.060743928839,1958,0,6902.04991957403,16360.7042791372,0,0,-9999,-9999,0,-9999,0,0,7.7559429364437,-2.48145226640223,5.27449067004147,0.00512056410090585,0.0152196222856598,0.290135272973233,0.687740230420527,55,1
"6",0.0803371271463111,23919.0586446184,1,6119.17746067047,0,357.183189465029,1968,0,6119.17870410186,14757.0512158802,0,0,-9999,-9999,0,-9999,0,0,7.6321582867178,-2.48894007898233,5.14321820773546,0.00583886875211355,0.0149329952642343,0.255828575656703,0.616957859217441,59,1
"7",0.0281652146326378,28081.3111976384,1,7640.37626644131,0,2385.18282590851,1957,0,7640.37626630449,10705.6640519284,0,0,-9999,-9999,0,-9999,0,0,8.64951633355326,-1.48195645322553,7.16755988032773,0.000771202262966492,0.0849384421233544,0.27208046705978,0.381238040367174,72,1
"8",0.0659562673950568,24722.9446649475,1,7418.35749614984,0,594.678459569687,1958,0,7418.35769011859,15137.5764566847,0,0,-9999,-9999,0,-9999,0,0,8.31583525631846,-2.43623265833357,5.87960259798488,0.00279589614905413,0.0240537066934761,0.300059632485301,0.612288570873474,81,1
"9",0.052874264927581,25580.2015836677,1,6985.18579697702,0,869.272541579978,1958,0,6985.18579989686,12805.496994422,0,0,-9999,-9999,0,-9999,0,0,7.82367695122211,-2.24419110250055,5.57948584872156,0.0037745056869039,0.0339822396917695,0.273070005998574,0.500601879642653,96,1
"10",0.0956191999847069,23169.8318759719,1,5900.42306971736,0,205.204909173976,1968,0,5900.39692722374,16135.7159266417,0,0,-9999,-9999,0,-9999,0,0,7.7943686811531,-2.36221346839009,5.43215521276301,0.00437365947095724,0.00885655581242185,0.254658599113216,0.696410574449404,101,1
"11",0.0405692837429233,26576.8737796393,1,6459.12700425833,0,1269.33586925401,1958,0,6459.12700424176,10496.8270613469,0,0,-9999,-9999,0,-9999,0,0,7.56234379814149,-1.93601217606965,5.62633162207184,0.0036017637531316,0.0477609172462735,0.243035620283908,0.394960940416874,119,1
"12",0.0542223215419799,25484.3541733476,1,7057.47501307633,0,836.743706875876,1958,0,7057.47248733031,13089.3166158967,0,0,-9999,-9999,0,-9999,0,0,7.88993739321072,-2.27025560710804,5.61968178610268,0.00362579470367461,0.0328336241595234,0.276933542805305,0.513621672609852,132,1
"13",0.0810101497662254,23884.2355019856,1,6234.30069384631,0,355.865331507437,1968,0,6234.30061353081,15040.8704180421,0,0,-9999,-9999,0,-9999,0,0,7.58499832672862,-2.4872901862455,5.09770814048312,0.00611073547633983,0.014899590630726,0.261021568515875,0.629740500456533,150,1
"14",0.067785304856021,24615.5964181368,1,8083.03821797017,0,596.057349482381,1958,0,8083.03823005995,16339.5313053312,0,0,-9999,-9999,0,-9999,0,0,9.45582436911611,-2.45036196618616,7.00546240292995,0.0009069144783939,0.0242146214683308,0.328370602635667,0.663787747726163,161,1
"15",0.0604316818388179,25066.2647201234,1,7220.89148312807,0,693.412376105383,1958,0,7220.8914881967,14134.4710074109,0,0,-9999,-9999,0,-9999,0,0,8.06383288714402,-2.37208312582571,5.69174976131831,0.00337368465890128,0.0276631713519208,0.288072098847648,0.563884215108587,169,1
"16",0.105516320686322,22725.5213621044,1,6009.68232448213,0,150.299349504566,1968,0,6009.68469580437,17333.1370270366,0,0,-9999,-9999,0,-9999,0,0,7.70101325692163,-2.18599348528709,5.51501977163453,0.00402584774008263,0.00661368102890679,0.264446504880883,0.762716804197955,170,1
"17",0.057530191861093,25257.1172698494,1,7183.71012096759,0,759.096356154632,1958,0,7183.71013652373,13707.4514189209,0,0,-9999,-9999,0,-9999,0,0,8.02141549480947,-2.32822225470808,5.69319324010138,0.00336881832974177,0.0300547504311111,0.284423200786229,0.542716386532525,178,1
"18",0.0594903819859028,25127.4144327012,1,7226.91211197525,0,715.150749287695,1958,0,7226.91214006699,14024.4006246487,0,0,-9999,-9999,0,-9999,0,0,8.07085559962895,-2.35852615324073,5.71232944638821,0.00330496483264146,0.0284609764049972,0.287610655661482,0.558131464827402,193,1
