"","r_max","K","catch_multiplier_1","sample.N.obs","add_CV","Nmin","YearMin","violate_MVP","N2005","N2018","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2005","status2018","draw","save"
"mean",0.0662322824712577,25077.4091257866,1,6545.82256072924,0,838.317843309785,1961.1244,0,6545.82283362351,13684.8076825679,0,0,-9999,-9999,0,-9999,0,0,8.05712190200173,-2.19399590049627,5.86312600150546,0.0035359942106015,0.0310255586816031,0.262580546383428,0.55718277831485,61521.6205,1
"median",0.0687362951324321,24556.6951282942,1,6491.6932033957,0,503.850485283448,1958,0,6491.6932053033,13981.2015636707,0,0,-9999,-9999,0,-9999,0,0,7.79352437829301,-2.36256262960247,5.59538644672997,0.00371496342868052,0.0204904869933321,0.26102230462495,0.569661450716541,61695.5,1
"2.5%PI",0.0141543321491685,22805.2628606032,1,5163.83635704697,0,164.57666888542,1957,0,5163.83577706073,7554.18405294661,0,0,-9999,-9999,0,-9999,0,0,7.56025044457475,-2.49203764652482,5.08765614273247,0.000334761612873861,0.0071872013194002,0.194383777472176,0.246180382287076,3102.675,1
"97.5%PI",0.103693672330223,30841.8621047909,1,8181.37580653129,0,3746.64072701977,1968,0,8181.36201940539,18736.6685960557,0,0,-9999,-9999,0,-9999,0,0,10.0358258789707,-0.829182313687053,8.0020918851067,0.00617247033511323,0.121752237582713,0.338346569221257,0.812331265280528,119653.15,1
"5%PI",0.0212251219704049,22895.7688672895,1,5363.44922484132,0,181.962882853274,1958,0,5363.44908666954,8316.48107587119,0,0,-9999,-9999,0,-9999,0,0,7.56159524970092,-2.49111141006053,5.10893372359458,0.000534366751920813,0.0079432751688422,0.205395011604562,0.285069702185091,6169.5,1
"95%PI",0.101648295829678,29132.4955179425,1,7895.25932821561,0,2790.30655120216,1968,0,7895.25620301357,18175.5715312172,0,0,-9999,-9999,0,-9999,0,0,9.41082959539773,-1.18186820412952,7.53442817654814,0.00604252248902749,0.0951079570904299,0.323586659788934,0.786775171282357,116713.6,1
"min",0.000484034459572285,22705.2314016416,1,4116.38567165937,0,121.435872328613,1926,0,4116.38568082082,5440.12819903048,0,0,-9999,-9999,0,-9999,0,0,7.55977453924071,-2.4923091841142,5.06749824671029,6.77577745102178e-06,0.00534454788598212,0.152367014708549,0.162931762246633,7,1
"max",0.105984982585534,38366.8041468564,1,9820.77104924247,0,7828.43137345972,1968,0,9820.77061143292,20821.5255164731,0,0,-9999,-9999,0,-9999,0,0,14.3903415499756,-0.0104324214303708,11.9021564448638,0.00629815688257076,0.209517562047411,0.429311135728643,0.910204822081239,122967,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
