"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.107913167173737,26636.8540309562,1.01856049038678,1.71423672126532,14653.7101942314,0,0.559858620539587,264.403435226269,1963.6774,0,14653.7249621476,19398.2823389912,12377.5662242757,24923.9473942309,26543.0071690418,0.0918465034063086,0.371419410582156,0,-9999,46.2073834522112,0,16.9742099719358,0,63.1815934241471,5.39554229040582e-28,0.00986871925281026,0.55082896695214,0.729304559115477,0.465149512031755,0.936447661301811,0.996581286453379,6567009.0775,1
"median",0.110262043508934,26534.4371268795,1.01856884465751,1.71319974160795,14623.6136095249,0,0.589423141092993,247.855630712651,1968,0,14623.6409544331,19390.6034678812,12343.2210301293,24923.759701945,26471.4609379213,0.0934378527261593,0.370694957233621,0,-9999,46.024696087974,0,16.7252100776324,0,62.8972802654953,4.83123602152668e-28,0.00939529443523622,0.549879775192712,0.731359073180288,0.46353674746768,0.942280431866796,0.997755348945836,6568769,1
"2.5%PI",0.0855845961579937,25048.5560915767,1.01312919869228,1.57235701245121,12972.059015074,0,0.0364703698083758,177.326766559905,1958,0,12972.1294370031,17701.8824022127,10782.4805763816,23769.198622979,25012.6316603669,0.0727935293404756,0.320876171640821,0,-9999,45.2162481380002,0,16.3659223277777,0,61.8625889678863,1.97575884468341e-29,0.00679102453862063,0.480205888381658,0.642080963016764,0.402833627829854,0.869665072940033,0.986610516968621,327483.7,1
"97.5%PI",0.117681071195076,29045.7240213144,1.02404000283632,1.8609448227904,16503.0097304465,0,0.980206804786576,466.114970410266,1968,0,16503.116677442,21097.3606978935,14185.276420817,26157.4678815584,28679.5092486102,0.102588003438306,0.425239287229275,0,-9999,48.2811043201629,0,18.9828152397867,0,66.0940166437604,1.35962449633208e-27,0.0163744543606559,0.628703130392672,0.807314340832556,0.536652116729124,0.968597148735423,0.999050100104557,12800242.55,1
"5%PI",0.0900970884139184,25183.4608978328,1.01396664659215,1.59601182547386,13221.5057890688,0,0.072549393970985,183.394154047652,1958,0,13222.2393388386,17954.5971683916,11013.6051588545,23922.8711281892,25146.3905052812,0.0766251860137557,0.32879875353643,0,-9999,45.2990708916347,0,16.3915846593216,0,61.9563577744054,4.02431674696166e-29,0.00702177105384774,0.48966674575711,0.658070951529738,0.411155958314813,0.887326846905455,0.990483540607378,648881.85,1
"95%PI",0.117360157417227,28515.5759532121,1.02317656198472,1.83616681103664,16176.5236480744,0,0.961815778480377,410.486015556166,1968,0,16176.5050261651,20843.6711369046,13863.2058231215,25951.6126060653,28279.633616139,0.101612311388782,0.416031470112062,0,-9999,47.7754632079931,0,18.4053125194085,0,65.3826125602025,1.23792909553941e-27,0.0146294507248311,0.616077838737192,0.795486025101516,0.524616706820031,0.965443895343893,0.998932802282483,12457553.8,1
"min",0.0547545055933297,24560.4636738895,1.00499675114718,1.42104854198939,11769.9360616971,0,7.64261931180954e-05,151.600862398871,1926,0,11769.9407142969,16251.967779485,9750.48363841946,22860.6363372678,24536.7536740103,0.0498178549519641,0.274137314871873,0,-9999,44.8891642968317,0,16.2992674183152,0,61.5475859119278,7.66676784963229e-32,0.00578727234008706,0.414856623490695,0.498353590362218,0.354489700142699,0.658169142616413,0.870365072055223,1547,1
"max",0.117998986730818,35531.1380973644,1.02971690087868,1.97272898617317,18208.9569299715,0,0.999921325128525,1260.16727691922,1968,0,18209.1368110363,22712.87211928,16190.5559868239,27532.9506155153,31204.848821592,0.106793588878362,0.469165197686193,0,-9999,51.9579965427508,0,23.2823844017879,0,71.6458278508574,1.86304379459966e-27,0.0354665610053368,0.723924810300212,0.879066010688694,0.628979585544126,0.983503426041279,0.999505594586431,13125585,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
