"","N_1830","N_1831","N_1832","N_1833","N_1834","N_1835","N_1836","N_1837","N_1838","N_1839","N_1840","N_1841","N_1842","N_1843","N_1844","N_1845","N_1846","N_1847","N_1848","N_1849","N_1850","N_1851","N_1852","N_1853","N_1854","N_1855","N_1856","N_1857","N_1858","N_1859","N_1860","N_1861","N_1862","N_1863","N_1864","N_1865","N_1866","N_1867","N_1868","N_1869","N_1870","N_1871","N_1872","N_1873","N_1874","N_1875","N_1876","N_1877","N_1878","N_1879","N_1880","N_1881","N_1882","N_1883","N_1884","N_1885","N_1886","N_1887","N_1888","N_1889","N_1890","N_1891","N_1892","N_1893","N_1894","N_1895","N_1896","N_1897","N_1898","N_1899","N_1900","N_1901","N_1902","N_1903","N_1904","N_1905","N_1906","N_1907","N_1908","N_1909","N_1910","N_1911","N_1912","N_1913","N_1914","N_1915","N_1916","N_1917","N_1918","N_1919","N_1920","N_1921","N_1922","N_1923","N_1924","N_1925","N_1926","N_1927","N_1928","N_1929","N_1930","N_1931","N_1932","N_1933","N_1934","N_1935","N_1936","N_1937","N_1938","N_1939","N_1940","N_1941","N_1942","N_1943","N_1944","N_1945","N_1946","N_1947","N_1948","N_1949","N_1950","N_1951","N_1952","N_1953","N_1954","N_1955","N_1956","N_1957","N_1958","N_1959","N_1960","N_1961","N_1962","N_1963","N_1964","N_1965","N_1966","N_1967","N_1968","N_1969","N_1970","N_1971","N_1972","N_1973","N_1974","N_1975","N_1976","N_1977","N_1978","N_1979","N_1980","N_1981","N_1982","N_1983","N_1984","N_1985","N_1986","N_1987","N_1988","N_1989","N_1990","N_1991","N_1992","N_1993","N_1994","N_1995","N_1996","N_1997","N_1998","N_1999","N_2000","N_2001","N_2002","N_2003","N_2004","N_2005","N_2006","N_2007","N_2008","N_2009","N_2010","N_2011","N_2012","N_2013","N_2014","N_2015","N_2016","N_2017","N_2018"
"mean",23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23878.3645189443,23698.3645189443,23447.1570066598,23293.1348448162,22146.5154324737,20610.0155035706,17741.1258450817,12041.4150980839,7028.57088405405,4699.86188112159,4076.61875226544,3247.89169324518,1809.21669912231,1498.65422991924,1487.54023810209,1467.53358233905,1463.86516676343,1468.93944892575,1567.51448118106,1319.67046767978,1281.55722379593,1107.14962904796,929.640428985042,983.64955803362,1049.0992105019,1100.99767478042,1125.1988318092,1095.32737916229,1151.71224523477,1207.78834018479,1159.55171805502,1182.00746492638,1215.23352579773,1194.16565082527,1034.12081702784,1102.05822834892,1173.59348792807,1217.06115487435,1287.06164194539,1375.90140440583,1468.23665422298,1512.40950688906,1382.3073275147,1448.90394856385,1516.10822538547,1576.00382040312,1605.99369004255,1023.52999321894,1043.71480932359,1076.27852345657,1005.28380103882,1023.77217811287,991.421164599341,884.819553445786,874.498608553377,907.696080969188,944.136405679736,971.08212063616,1013.69457418448,1048.30429202934,1097.20221776979,1161.60043620374,1178.82178429857,1248.78056199226,1134.99557574045,1199.58473428788,1268.83875165407,1343.13792661809,1422.8957332806,1506.56178941163,1598.45262236835,1697.25653764162,1803.55047113163,1917.96190962827,2041.17324768523,2173.92644690325,2317.02798983967,2471.35410763843,2637.85624186042,2817.56667490668,3011.60422720547,3221.17986942273,3447.60202962569,3692.28128235672,3956.73398084561,4242.58422471296,4551.56333048383,4885.50567531647,5246.33939758338,5636.06994272256,6056.7538236765,6510.45921761175,6999.20916456623,7524.90223785766,8089.20477548618,8693.40839263941,9338.2470454932,10023.6701744325,10748.5735131251,11510.498285479,12305.3237658396,13126.9974436336,13967.3686007274,14816.2080435119,15661.4973772204,16490.0419910065,17288.3951822713,18043.9859277922,18746.2523164651,19387.5429435916,19963.5923765246,20473.4953862287,20919.2460034874,21305.0082957599,21636.3116823517
"median",23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23337.0717757269,23157.0717757269,22908.1761648996,22759.6662387202,21620.4921757469,20103.8208238231,17267.9573978829,11616.0776143688,6651.97815292197,4353.10287407625,3747.74786594215,2933.51251924485,1504.77574020463,1196.12446928045,1185.17580379064,1165.26336111944,1161.58313914151,1166.47754455415,1264.81186076212,1017.21505852436,977.86369726992,801.896451528365,621.692586590481,671.894415442997,733.721174329996,782.350487944351,803.531550150774,770.625399117865,823.55891194493,876.447499811663,825.053802213668,844.065669793523,873.897053210195,849.756663432862,685.954905855057,749.192761156254,816.22387623703,855.40607337858,921.384043723118,1006.46142665111,1095.09055229457,1135.84169377178,1002.57269378661,1065.41325525929,1129.06998926678,1184.7289780184,1210.63197748467,623.587640148276,635.829232786162,660.570001523459,581.159257273544,590.524979591705,548.72385455823,432.090695164808,410.38805963845,432.305105184119,456.972418265859,471.848394237519,502.446257184691,524.43178878472,560.757925513388,611.847252168893,616.260587563674,672.698356967659,545.705123268596,596.68948884412,652.109301445987,712.453757751937,778.431954529926,847.901869230124,927.205333316591,1013.82174349564,1107.44463535628,1209.26740611599,1321.39526527564,1444.34162664806,1575.56772574157,1721.18996259727,1880.4377886007,2052.61659840767,2241.90912041608,2448.49566191653,2672.86572832231,2918.26571820758,3185.21857327861,3482.25202651865,3798.97698664186,4142.92810305061,4519.36018188337,4925.28485091426,5373.11811765096,5860.75410951667,6380.19938438238,6944.36176633554,7558.38039096149,8208.80415948732,8903.57412716668,9649.36245864083,10441.8427128832,11261.1385859847,12115.3248231649,12989.2167079924,13876.3018470577,14771.3599772415,15630.898051624,16456.4894374319,17267.2314360885,18042.6622032922,18762.5191800483,19439.4740070109,20051.4616737905,20585.678250165,21044.6843608396,21432.5529381787,21742.3026639324
"2.5%PI",22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22247.1118434479,22067.1118434479,21828.7078888163,21701.8956127363,20586.9468101134,19145.0669639425,16428.8671574952,10950.7061112989,6163.4361370869,3969.31968826317,3426.72478485624,2667.7064915157,1280.51514639806,983.01790589652,976.849133882036,961.961164363124,963.345419308646,973.909840375053,1078.69145892123,840.66250442075,805.855233476335,633.99325291026,454.073595365433,500.126849831268,558.560561795377,604.823919813546,624.503974929519,590.454319195336,641.44168436069,693.369015052618,642.442175991424,660.448085656449,689.63247381466,665.267307859173,500.994627651519,559.607116887456,622.958235257414,659.83591469315,723.939740756285,808.496880386205,898.992356861634,943.99589694331,816.257518684112,881.548842047546,949.633555899572,1012.58348558057,1047.76162205843,472.06373475208,482.14576919483,504.328901677042,423.272532581286,428.55696999979,382.457138735404,260.11285655998,229.251379551717,240.108503377987,253.103566965572,255.372423590922,271.866987842815,279.562386784276,300.192012898011,334.999932416656,321.797105142588,359.146634655515,211.78606435301,236.370844417431,263.853530624838,294.51501374401,328.881665469454,365.133475913,407.380238132119,454.657368665365,507.374282516292,566.527905084901,631.433484414152,703.737963751701,784.029357806859,875.374438283551,976.024173584612,1088.30082812544,1213.31438427561,1354.03907808946,1506.67275233672,1679.31014692062,1869.90308837573,2083.37721351607,2321.49906474143,2586.55499297993,2879.1698890116,3204.03384340201,3565.72716266966,3963.76462586457,4400.75639559977,4890.41986342493,5431.39149613193,6018.10381756468,6665.62210051157,7371.71091240677,8139.53872122403,8958.2731984023,9835.64291976075,10766.3936874088,11718.8674225234,12693.8191911337,13682.609625415,14635.7984908068,15542.2016124641,16336.8985516679,17032.3093308454,17597.3210534711,18117.1970303752,18564.0720346067,19004.5078273494,19414.2851606889,19779.3993659979
"97.5%PI",28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28801.7357511359,28621.7357511359,28345.7796360146,28135.7922395892,26918.0804232757,25182.766482526,21987.2687561366,15808.5461248151,10315.9157199749,7701.30127569072,6910.57706800101,5945.59714666077,4411.54450075404,4087.7724007738,4081.17356114551,4066.39423366305,4069.32057827692,4081.31236946953,4186.55242295636,3940.69383272901,3919.20797385414,3764.12666716707,3616.74064954102,3711.37586861354,3815.08902675763,3902.64584287817,3960.59935404003,3964.13716725152,4056.77165694662,4146.93484621685,4136.99808596728,4203.66618399488,4272.80127228159,4285.47557958228,4161.49017484662,4276.15349453173,4391.89086369431,4476.84137452339,4587.65901027477,4712.52751463432,4837.9424657053,4910.68682995033,4807.35769194843,4910.80979195334,5012.58456714937,5109.18355577927,5174.76591323149,4627.17854688706,4717.21335638226,4814.45190159717,4812.16541043249,4903.26670435551,4944.66716289859,4909.49748900811,4979.19287893383,5095.54945041122,5215.74102900897,5329.82971595002,5461.6875166429,5583.29214284998,5726.12326826549,5888.82953667786,6004.02102210385,6169.06349824378,6145.71572347617,6310.74810808133,6483.87744702023,6655.0136043186,6844.14476909559,7036.57621475907,7227.56208088709,7418.45740927264,7630.71806682645,7858.27453112096,8073.463395907,8280.64050968569,8485.1347675225,8710.9292386144,8941.90239665105,9170.80237045192,9412.96342961909,9668.26397367301,9920.30100238475,10195.569366316,10455.5412508661,10704.4004897224,10957.0652666628,11252.0017363246,11552.9423135876,11879.8635618933,12171.7291302225,12463.7781261984,12793.623613459,13153.848018693,13467.2163003211,13837.094906422,14167.0450104238,14530.7161994595,14933.0693052452,15343.1266802577,15778.5594226238,16264.8128503827,16767.1216696317,17311.8246685596,17913.3609591507,18526.0978787029,19165.2781917002,19783.2891111454,20353.4568459336,20855.308504589,21295.320615276,21659.0266211498,21983.224029855,22269.4773629796,22530.9527475763
"5%PI",22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22292.6570603021,22112.6570603021,21873.7824521558,21746.0223456132,20630.0564424386,19184.9179330489,16463.543904621,10977.8665417253,6182.95138372234,3984.34471991193,3439.07630270358,2677.67433009564,1288.73492013069,990.779180280515,984.423225785607,969.332837863767,970.498660073165,980.798069321591,1085.25315752072,846.806450158295,811.812155706546,639.772054043703,459.830339983418,506.070647238469,564.65702625111,611.023924974634,630.7583922978,596.776635573907,647.863494236213,699.886688566358,648.937780767064,667.020889242524,696.216695231818,671.76408633448,507.481100781489,566.242460078842,629.825828948266,666.723116713581,730.848854030126,815.426286728186,905.782070436032,950.717319346704,822.803780328958,887.915160326984,955.711307792552,1018.42512577169,1053.14440803537,476.788357932772,486.978023116967,509.411721593871,428.300450375175,433.703682380089,387.856543814534,265.703764555729,235.497916146382,246.713489959967,259.883494292256,262.767690915217,280.018873241372,288.251659785955,309.639519081479,345.482201381117,333.40425681677,371.951527738197,225.513975732305,251.480232336501,280.230014738531,312.260900700427,347.631611852251,385.282686200073,429.382150633517,478.779114860721,534.038992446104,595.244261112632,663.236133659597,739.527083342624,824.029939741442,918.364154456501,1024.19289775554,1142.70382302366,1274.18671088988,1418.88800162555,1579.5999919709,1759.79239189239,1961.2388027636,2183.77012997345,2431.36860741177,2707.90073141799,3014.93711349037,3357.84769650231,3729.54946209435,4144.18172366049,4605.48750794448,5110.97807498968,5666.74931607165,6277.03085835986,6939.30241735259,7659.69481554596,8442.22963826255,9263.77897068284,10142.7558137666,11064.7832879262,12022.0182219097,12997.3090264487,13961.087008874,14902.0528289374,15802.6586387735,16577.9813948823,17298.2113414144,17960.7273395904,18539.2514886938,19065.2727979065,19543.3912298028,19992.6048395028,20418.2077796557
"95%PI",26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26996.5536859027,26816.5536859027,26545.3888690406,26346.8670182079,25144.8448056049,23451.2846921412,20325.4814269128,14253.7236877137,8861.93019034338,6305.95779563185,5546.33642896948,4600.23680245695,3080.21876918654,2751.36164228635,2735.91791627369,2714.52084504083,2710.39256178731,2714.8524823376,2810.23720247946,2553.79753217654,2518.65841799957,2350.63067686797,2187.32254909411,2264.75303387814,2352.15396775052,2424.68266383926,2470.00395614343,2461.11170374427,2540.86917557195,2618.76854725701,2590.73387519459,2636.59636120997,2691.45140182894,2690.41906097426,2552.97195635806,2654.4143273837,2757.75071294535,2831.35375628669,2925.09132155327,3036.22642400099,3151.11586622018,3209.85827877864,3092.78225331209,3181.93199648598,3268.12536935365,3346.67382573077,3395.98390736339,2828.67568701338,2894.53683384648,2976.3688766415,2955.31968012558,3026.24322360582,3049.69527060814,3004.06921607772,3062.90335115741,3168.93875224587,3269.0984515634,3359.2968767286,3466.6780447163,3571.08799819611,3695.9213789102,3848.24022018873,3950.04578321297,4111.4389289415,4091.33856637066,4251.60388869926,4422.92411360529,4589.86381798077,4765.83415058608,4945.9781264806,5140.34446146222,5348.88879428995,5565.20106831774,5777.48063502841,5998.43539757204,6226.45312005332,6476.25872252163,6714.36514431883,6976.26406502526,7246.90053138279,7514.32142699524,7805.71467133479,8102.71455460643,8422.958704706,8722.39773373166,9025.72451488893,9361.89456379742,9716.11244792062,10055.6061032137,10455.4401248577,10820.5535775426,11199.0897798105,11581.9057332774,11953.9627530453,12388.2486836013,12813.6776452702,13268.0603965515,13719.2400111026,14160.6575383542,14647.9223799625,15134.7261154899,15684.8696671607,16266.6158344573,16868.4201326025,17511.9057551781,18190.4371452117,18857.4974072003,19504.295838009,20106.034875943,20638.4315483538,21092.0735433096,21477.1022638623,21813.0457242255,22111.5927580463,22379.3679842142
"min",22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22201.7788620757,22021.7788620757,21783.8468317458,21657.9825472254,20544.047170647,19105.4188067804,16394.3736710902,10923.7002561717,6144.04293068649,3954.38956538631,3414.4422038214,2657.73321907441,1272.36502990159,975.334301138197,969.351864660169,954.664893977496,956.248197531669,967.017976864141,1072.05614559095,834.461462459205,799.883893040817,628.231561853325,448.344090949243,494.241117434121,552.551855789983,598.739877576136,618.316416114153,584.186877107225,635.036744852254,686.876801674316,635.822874036826,653.755532016443,682.800493890291,658.266467764994,493.842760760702,552.048265906447,615.111787420728,651.604744886521,715.396368968449,799.701250667779,889.933106426745,934.78649349504,806.918287161009,871.999821594755,939.742515094813,1002.45747633349,1037.55085504401,461.771988249168,471.198459018741,492.735712551515,410.81077313854,415.231858984581,368.173953950964,244.570282286951,212.398557704572,221.434799582935,232.536137564516,232.945975236646,247.404119745094,252.566411561373,270.337166380397,302.202486044664,285.823562180661,319.514174739471,168.175620607125,187.999259839177,210.159545479568,234.931875546517,262.624094404719,291.580309885678,325.949431268133,364.369332811102,407.317272436796,455.326659424217,508.993624772196,568.984343792595,636.043189399067,711.001799132081,794.789141939352,888.442670951469,993.120644218928,1110.11568403351,1240.8696232525,1386.98964843259,1545.79246621562,1718.01858915563,1909.34167338765,2121.83974978199,2357.79996203945,2619.73220611251,2910.38022341759,3232.72820438292,3590.00010492308,3985.64771798051,4423.32199995302,4906.82016332241,5439.99859364941,6026.63882537245,6670.25093991932,7373.79657072643,8139.31363215421,8967.42933748733,9856.76062310101,10803.2262529279,11799.3366515118,12833.5860168859,13890.1368641906,14949.0338626193,15741.6958991895,16079.0965829111,16193.3786977876,16245.1746076752,16290.0375623809,16324.7669252552,16359.5519109869
"max",47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47890.9067604616,47710.9067604616,47422.9116724897,47182.9243134398,45921.9432733776,44072.9936515546,40682.0848562057,34214.235794297,28382.4529511476,25501.6856859677,24502.913741356,23348.1385514837,21651.3586598497,21204.5701453335,21083.7790431422,20954.9872197345,20844.1946173528,20759.4144972477,20770.5627935424,20426.7177956953,20313.6625509641,20067.5366491368,19833.2543494242,19845.8199443699,19865.3937765692,19865.9804224107,19834.5674519541,19747.133908109,19748.6428079153,19745.1527046592,19632.6602952804,19595.0931899149,19566.5009823252,19480.8896169417,19258.2206181719,19277.3998334738,19294.5922290678,19277.796422594,19283.9890905202,19303.1860097567,19318.3960945653,19277.6165964688,19058.809140912,19047.8501400256,19031.8834813166,19002.9056541013,18938.9075224693,18259.8643898278,18233.330610338,18217.7771793034,18096.2122125704,18070.5566659194,17992.8819087442,17844.1487907775,17801.3030929624,17803.4247633688,17806.5480517671,17797.6737215956,17802.7926237256,17796.9154300753,17803.0337537431,17821.1567439728,17787.2935462656,17805.404527459,17634.5293254336,17652.5231317871,17670.5307983966,17688.5523203591,17706.5876927093,17722.6369104203,17740.6984355634,17758.7737963998,17776.8629877223,17794.9660042607,17813.0828406821,17831.2134915905,17849.3579515266,17867.516214968,17885.6882763283,17903.8741299578,17922.0737701427,17940.287191105,17958.5143870028,17978.7939108988,18010.1001502244,18041.4459985498,18072.8314178898,18104.2563696635,18135.7208146917,18167.2247131945,18198.7680247889,18230.350708486,18261.9727226889,18293.6340251898,18325.3345731677,18357.0743231862,18388.8532311904,18420.6712525049,18452.5283418312,18484.4244532453,18516.359540195,18958.4041013133,19662.3234148174,20268.8100911064,20779.0457465845,21199.1027540622,21538.3845583379,21807.9931544423,22019.3492527424,22301.9835276342,22632.3484475176,22928.1954150277,23191.4600133827,23424.3787367996,23656.3189945406
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
