"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.087","0.092","0.028","0.039","0.117","0.116","9,995"
"2","$K$","23,878","23,337","22,247","22,293","28,802","26,997","9,995"
"3","$N_{min}$","   770","   410","   212","   226"," 3,617"," 2,187","9,995"
"4","$N_{2008}$","15,661","15,631","13,683","13,961","17,913","17,512","9,995"
"5","$N_{2018}$","21,636","21,742","19,779","20,418","22,531","22,379","9,995"
"6","Max depletion","0.029","0.018","0.01","0.01","0.126","0.081","9,995"
"7","Depletion in 2008","0.658","0.658","0.56","0.579","0.758","0.742","9,995"
"8","Depletion in 2018","0.912","0.938","0.696","0.761","0.979","0.976","9,995"
