"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2018","draw","save"
"mean",0.086653183556249,23878.3645189443,1,-999,15661.4900671443,0,-999,770.473476267516,1952.5417,0,15661.4973772204,21636.3116823517,0,-9999,0,-9999,0,0,18.053630524266,0,18.053630524266,1.95253746895926e-08,0.0294112065547731,0.658386498306833,0.912150433102351,191293.0981,1
"median",0.0920979151327629,23337.0717757269,1,-999,15630.8980465401,0,-999,410.38805963845,1958,0,15630.898051624,21742.3026639324,0,-9999,0,-9999,0,0,17.7789040391197,0,17.7789040391197,1.89985336405076e-08,0.017582948316568,0.658390290479968,0.937934541153469,191269,1
"2.5%PI",0.0282599754831754,22247.1118434479,1,-999,13682.6096646371,0,-999,211.78606435301,1926,0,13682.609625415,19779.3993659979,0,-9999,0,-9999,0,0,17.0319977073269,0,17.0319977073269,1.1041547169904e-09,0.00950792169674674,0.559979686472696,0.695662603917723,9313.575,1
"97.5%PI",0.116882910187449,28801.7357511359,1,-999,17913.3608141798,0,-999,3616.74064954102,1968,0,17913.3609591507,22530.9527475763,0,-9999,0,-9999,0,0,20.624185862579,0,20.624185862579,4.0095661228115e-08,0.12556301474318,0.75813380332998,0.979299760443808,372985.65,1
"5%PI",0.0392800089805154,22292.6570603021,1,-999,13961.086846242,0,-999,225.513975732305,1926,0,13961.087008874,20418.2077796557,0,-9999,0,-9999,0,0,17.0720113609675,0,17.0720113609675,2.09101269664395e-09,0.0100969956501589,0.578835490423478,0.760571478552235,19038.95,1
"95%PI",0.115770511016389,26996.5536859027,1,-999,17511.9055615389,0,-999,2187.32254909411,1968,0,17511.9057551781,22379.3679842142,0,-9999,0,-9999,0,0,19.9856173512646,0,19.9856173512646,3.85229618809488e-08,0.0809233030007176,0.7417047525701,0.975907280349347,363339.15,1
"min",1.14910895936191e-05,22201.7788620757,1,-999,11799.299923121,0,-999,168.175620607125,1926,0,11799.3366515118,16359.5519109869,0,-9999,0,-9999,0,0,16.9745947134262,0,16.9745947134262,2.17500447473245e-12,0.00757321702998729,0.349532603405293,0.34956951314334,41,1
"max",0.117998472444713,47890.9067604616,1,-999,20779.0363479871,0,-999,17634.5293254336,1973,0,20779.0457465845,23656.3189945406,0,-9999,0,-9999,0,0,26.8539903940418,0,26.8539903940418,4.24646142619304e-08,0.3728146791141,0.915406411860484,0.994524026568492,382766,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
