"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI"
"1","$r_{max}$","0.096","0.099","0.058","0.065","0.117","0.116"
"2","$K$","23,207","23,019","22,225","22,270","25,257","24,787"
"3","$N_{min}$","   424","   332","   198","   211"," 1,170","   978"
"4","$N_{2008}$","14,985","14,984","13,223","13,523","16,919","16,567"
"5","$N_{2018}$","21,611","21,640","20,749","20,986","22,264","22,155"
"6","Max depletion","0.018","0.014","0.009","0.009","0.046","0.039"
"7","Depletion in 2008","0.646","0.645","0.57","0.582","0.729","0.713"
"8","Depletion in 2018","0.932","0.942","0.832","0.858","0.975","0.972"
