"","r_max","K","catch_multiplier_1","sample.N.obs","add_CV","Nmin","YearMin","violate_MVP","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2018","draw","save"
"mean",0.087996597756787,23657.9917306357,1,15627.6818407692,0,603.812772428229,1953.7985,0,15627.686517123,21728.7277581208,0,-9999,0,-9999,0,0,17.9793335063069,-2.30522073320002,15.6741127731069,2.00682153790224e-07,0.0245572487771345,0.661542346112671,0.921037154509377,98558.147,1
"median",0.0908385971805546,23397.4403847658,1,15606.8891015602,0,424.60710112794,1958,0,15606.8931947752,21779.8322273324,0,-9999,0,-9999,0,0,17.7443592336919,-2.37228893399452,15.3633406641745,2.12709029426977e-07,0.0181523615988613,0.660112725009506,0.936403183373307,99404,1
"2.5%PI",0.0430910356626031,22260.1306723272,1,13683.2721697516,0,216.446104719219,1926,0,13683.2727744503,20472.0837098653,0,-9999,0,-9999,0,0,17.0470281783859,-2.4921475997221,14.8631503435409,1.31959469936454e-08,0.00969285662281163,0.575973010597521,0.780366794852222,5089.45,1
"97.5%PI",0.116564299530943,26538.571732889,1,17777.9189021589,0,1864.69310910995,1968,0,17777.8681467803,22543.3946804799,0,-9999,0,-9999,0,0,20.2193157817538,-1.87624154898413,18.1433561162112,3.50764652684894e-07,0.0700706955464705,0.759171128634205,0.978187463443798,190433,1
"5%PI",0.0508121236374369,22321.1742825649,1,13961.642554315,0,231.419996063431,1926,0,13961.6458842839,20858.6368305287,0,-9999,0,-9999,0,0,17.0935980291098,-2.49147477837273,14.8822366071784,2.46665618907885e-08,0.0103537945742265,0.588851096774288,0.814374504892717,10211,1
"95%PI",0.115077530056075,25825.8383981827,1,17412.6488788112,0,1449.28849974176,1968,0,17412.649086769,22408.2823153236,0,-9999,0,-9999,0,0,19.6156195161719,-1.96195293778078,17.5178172882715,3.44133351338958e-07,0.0560999383714679,0.741067784398509,0.974853645793811,185470,1
"min",0.0083239622367546,22202.094900715,1,12366.8883531354,0,171.132700968167,1926,0,12366.9161567647,17836.1342421854,0,-9999,0,-9999,0,0,16.9757961305127,-2.49230917569614,14.8454726384883,1.36461936479411e-10,0.00769625579260642,0.46937738920217,0.506801521867744,39,1
"max",0.117989506409504,39114.7866071843,1,20038.6359690456,0,12812.2002459953,1968,0,20038.6337604299,23623.7185234032,0,-9999,0,-9999,0,0,24.9124314539715,-0.437125511733509,22.7149753938211,3.57020498342694e-07,0.327553883258103,0.876283891805944,0.993056205204458,195199,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
