"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.077","0.081","0.017","0.025","0.116","0.114","10,000"
"2","$K$","21,161","20,412","18,990","19,060","28,779","25,947","10,000"
"3","$N_{min}$"," 1,316","   733","   262","   289"," 7,131"," 4,608","10,000"
"4","$N_{2008}$","16,128","16,095","14,026","14,347","18,446","18,049","10,000"
"5","$N_{2018}$","19,434","19,393","18,533","18,711","20,645","20,382","10,000"
"6","Max depletion","0.055","0.036","0.014","0.015","0.247","0.178","10,000"
"7","Depletion in 2008","0.77","0.774","0.59","0.641","0.909","0.885","10,000"
"8","Depletion in 2018","0.929","0.96","0.665","0.751","0.994","0.992","10,000"
