"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.091","0.093","0.054","0.08","0.105","0.117","10,000"
"2","$K$","28,204","27,739","25,329","26,685","29,256","33,693","10,000"
"3","$N_{min}$","   476","   375","   194","   282","   556"," 1,313","10,000"
"4","$N_{2006}$","13,004","12,953","11,213","12,279","13,641","15,141","10,000"
"5","$N_{2008}$","15,015","14,976","13,306","14,365","15,610","16,940","10,000"
"6","$N_{2012}$","19,235","19,221","17,413","18,632","19,855","21,032","10,000"
"7","$N_{2019}$","24,880","24,913","23,183","24,375","25,429","26,333","10,000"
"8","$N_{2030}$","27,662","27,488","25,284","26,572","28,651","30,842","10,000"
"9","Max depletion","0.016","0.014","0.007","0.011","0.019","0.04","10,000"
"10","Depletion in 2006","0.462","0.461","0.396","0.438","0.485","0.536","10,000"
"11","Depletion in 2008","0.535","0.535","0.447","0.506","0.563","0.621","10,000"
"12","Depletion in 2012","0.686","0.693","0.545","0.648","0.732","0.792","10,000"
"13","Depletion in 2019","0.887","0.905","0.709","0.856","0.937","0.963","10,000"
"14","Depletion in 2030","0.983","0.993","0.898","0.982","0.997","0.999","10,000"
