"","r_max","K","catch_multiplier_1","catch_multiplier_2","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2018","draw","save"
"mean",0.0867531061526236,24003.8608014834,1,1,-999,15658.7843325809,0,-999,787.07363949231,1953.5976,0,15658.7891095052,21735.262525459,0,-9999,0,-9999,0,0,18.0163379764651,0,18.0163379764651,2.01472727244732e-08,0.0300198116897604,0.654745305756896,0.911403101319405,235240.7847,1
"median",0.0919441549342591,23481.8315033524,1,1,-999,15626.2966615614,0,-999,453.220243896464,1959,0,15626.4062852149,21847.0979447445,0,-9999,0,-9999,0,0,17.7393281471683,0,17.7393281471683,1.97654940836434e-08,0.0192877523379871,0.654674181717727,0.936383536860314,235285.5,1
"2.5%PI",0.0300357124563539,22379.0952384265,1,1,-999,13673.751087609,0,-999,208.819424348233,1926,0,13673.7766245964,19867.4604986346,0,-9999,0,-9999,0,0,17.0038622180157,0,17.0038622180157,1.2241746542182e-09,0.00930902584943125,0.556356394699589,0.701907786809072,12011.25,1
"97.5%PI",0.116911296244571,28576.0219410718,1,1,-999,17870.6803738518,0,-999,3327.66772805482,1968,0,17870.6840217344,22624.8307303603,0,-9999,0,-9999,0,0,20.5209992267945,0,20.5209992267945,4.12397921630898e-08,0.116377462192629,0.753320441136671,0.978462729041326,457156.05,1
"5%PI",0.0399531651263824,22423.5137265976,1,1,-999,13948.0511239031,0,-999,224.838521791812,1926,0,13948.0633641389,20490.4453564754,0,-9999,0,-9999,0,0,17.042943202063,0,17.042943202063,2.22393685695715e-09,0.0100173157411797,0.575819005926077,0.764553826267594,24214.65,1
"95%PI",0.115830041295174,27073.1424497673,1,1,-999,17480.4616538226,0,-999,2141.65807357612,1968,0,17480.4610286879,22478.5458281524,0,-9999,0,-9999,0,0,19.9239868532338,0,19.9239868532338,3.96591874933802e-08,0.0791641709738375,0.737075074940619,0.975129643545026,445282,1
"min",6.03346149437129e-05,22334.6649112908,1,1,-999,12114.8892177735,0,-999,167.307680214377,1926,0,12115.1820893052,16600.1136458844,0,-9999,0,-9999,0,0,16.9373936101045,0,16.9373936101045,8.22093954996944e-12,0.00748947436561895,0.351134975092249,0.352921881675477,25,1
"max",0.117999378290493,51137.436591425,1,1,-999,20311.3529339898,0,-999,19819.0702095103,1968,0,20311.3947404339,23416.6781058287,0,-9999,0,-9999,0,0,25.5243366129094,0,25.5243366129094,4.40740964082033e-08,0.387564796566938,0.901456791404706,0.994716954117717,468470,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
