"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2018","draw","save"
"mean",0.0912415717969968,23425.5494204464,1,-999,15583.8656294084,0,-999,482.860641467807,1956.8507,0,15583.87253514,18816.3109022493,21810.8133401597,0,-9999,0,-9999,0,0,17.8865982379113,0,17.8865982379113,2.07005089337576e-08,0.0203207007154783,0.665668403414886,0.804268237286978,0.932042899937392,593469.9636,1
"median",0.0911155522527041,23384.242816488,1,-999,15547.6559725939,0,-999,421.518564067145,1958,0,15547.6828208698,18829.3291433555,21821.5352429608,0,-9999,0,-9999,0,0,17.689520215313,0,17.689520215313,2.07749019607988e-08,0.0180348028058071,0.663754757014889,0.805026020903836,0.937829258117973,594972,1
"2.5%PI",0.0602529773964988,22065.4733076529,1,-999,13642.3649457487,0,-999,186.337689640959,1926,0,13642.3611728437,17185.5639555337,20948.3794805679,0,-9999,0,-9999,0,0,17.0407210474524,0,17.0407210474524,2.0851192360475e-09,0.00846223863756551,0.583271620731274,0.710425636163037,0.849322283560165,29394.125,1
"97.5%PI",0.121389334245818,25110.5393530456,1,-999,17700.2286288247,0,-999,1114.79993879515,1968,0,17700.2281426497,20386.644844773,22563.5274789221,0,-9999,0,-9999,0,0,19.988440619097,0,19.988440619097,3.97474142994124e-08,0.0443451939281694,0.759653423054671,0.892342936065176,0.980350163303787,1156723.4,1
"5%PI",0.0659659240930457,22255.7524952822,1,-999,13945.6671230262,0,-999,220.696665579919,1926,0,13945.7269964411,17448.6340974919,21148.9927035743,0,-9999,0,-9999,0,0,17.0986021244869,0,17.0986021244869,3.75354892491026e-09,0.00990424057337199,0.595066502690342,0.725953362917596,0.869035434164445,58218.05,1
"95%PI",0.116671693773016,24744.7595136175,1,-999,17340.6207416032,0,-999,968.613435505216,1968,0,17340.6637012833,20144.8200161564,22445.302680495,0,-9999,0,-9999,0,0,19.4005642157001,0,19.4005642157001,3.75121061845304e-08,0.0391529847746218,0.743554276429965,0.879543614289592,0.976262845306022,1127736.2,1
"min",0.0325502747207052,20948.0058445117,1,-999,11998.1320766965,0,-999,59.0065311096526,1926,0,11998.5016756121,15662.8257198934,19463.0875543475,0,-9999,0,-9999,0,0,16.8153001835995,0,16.8153001835995,2.64846278602827e-11,0.00281371646951218,0.520584779429222,0.627748126956367,0.724373773328099,135,1
"max",0.15157777468555,27957.708171749,1,-999,19434.7775995266,0,-999,2911.73503617741,1968,0,19434.7780818418,21515.0630735362,23062.6724988134,0,-9999,0,-9999,0,0,24.3544566319923,0,24.3544566319923,4.97975433925449e-08,0.104147844247108,0.858118769302711,0.953788035883731,0.995307108648677,1186620,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
