"","N_1830","N_1831","N_1832","N_1833","N_1834","N_1835","N_1836","N_1837","N_1838","N_1839","N_1840","N_1841","N_1842","N_1843","N_1844","N_1845","N_1846","N_1847","N_1848","N_1849","N_1850","N_1851","N_1852","N_1853","N_1854","N_1855","N_1856","N_1857","N_1858","N_1859","N_1860","N_1861","N_1862","N_1863","N_1864","N_1865","N_1866","N_1867","N_1868","N_1869","N_1870","N_1871","N_1872","N_1873","N_1874","N_1875","N_1876","N_1877","N_1878","N_1879","N_1880","N_1881","N_1882","N_1883","N_1884","N_1885","N_1886","N_1887","N_1888","N_1889","N_1890","N_1891","N_1892","N_1893","N_1894","N_1895","N_1896","N_1897","N_1898","N_1899","N_1900","N_1901","N_1902","N_1903","N_1904","N_1905","N_1906","N_1907","N_1908","N_1909","N_1910","N_1911","N_1912","N_1913","N_1914","N_1915","N_1916","N_1917","N_1918","N_1919","N_1920","N_1921","N_1922","N_1923","N_1924","N_1925","N_1926","N_1927","N_1928","N_1929","N_1930","N_1931","N_1932","N_1933","N_1934","N_1935","N_1936","N_1937","N_1938","N_1939","N_1940","N_1941","N_1942","N_1943","N_1944","N_1945","N_1946","N_1947","N_1948","N_1949","N_1950","N_1951","N_1952","N_1953","N_1954","N_1955","N_1956","N_1957","N_1958","N_1959","N_1960","N_1961","N_1962","N_1963","N_1964","N_1965","N_1966","N_1967","N_1968","N_1969","N_1970","N_1971","N_1972","N_1973","N_1974","N_1975","N_1976","N_1977","N_1978","N_1979","N_1980","N_1981","N_1982","N_1983","N_1984","N_1985","N_1986","N_1987","N_1988","N_1989","N_1990","N_1991","N_1992","N_1993","N_1994","N_1995","N_1996","N_1997","N_1998","N_1999","N_2000","N_2001","N_2002","N_2003","N_2004","N_2005","N_2006","N_2007","N_2008","N_2009","N_2010","N_2011","N_2012","N_2013","N_2014","N_2015","N_2016","N_2017","N_2018","N_2019"
"mean",30706.5726920972,30257.0594634386,29898.3566794481,29607.2874942569,29367.950528183,29168.9939340807,29002.0649872248,28860.8703641628,28740.5774666562,28637.417363681,28548.4125751685,28466.3901539708,28395.0000520236,28332.5393064487,28277.618712497,28229.0975049008,28186.0333568263,28147.6436546679,28113.2751995811,28082.3802905061,28054.4976964201,28034.0324575841,28015.1175046556,27997.5996483804,27981.3425756777,27966.2249004118,27952.1384406591,27938.986696241,27926.683503705,27915.1518486219,27904.3228172947,27863.1381344174,27827.2819038043,27795.8743953571,27768.1998684951,27743.6728657439,27721.8121510343,27702.220361772,27684.5679903746,27668.5806848088,27654.0291188832,27671.7174066114,27685.8463252245,27697.0515342251,27705.8553686964,27712.6865993453,27717.8970286145,27721.7752998198,27724.5583104125,27726.4406000184,27727.5820468519,27728.1141631386,27728.1452372967,27727.7645309148,27727.0457033615,27726.049606532,27724.8265665887,27723.4182481499,27721.8591786923,27720.1779964068,27718.3984728767,27716.5403522839,27714.6200409951,27712.6511750103,27710.6450875972,27626.4104328634,27636.8034574103,27645.0711248937,27651.59785757,27656.6971497305,27660.6246892825,27663.5891266705,27380.1408486836,27138.2866443384,27215.4457366393,26797.4039212578,26317.6603223109,26236.1917083374,25044.1333150958,23150.4901176438,20008.561372902,13608.4240190856,8138.3653785027,5569.05816408567,4861.11429541839,3925.53787759666,2319.28863356298,1945.38860619319,1896.57175765154,1835.0228049208,1788.09980489251,1747.19619255601,1804.80394310715,1478.88160340538,1377.92709686936,1122.68271515331,927.294506719791,985.339917627461,1055.90460494494,1111.6249605042,1137.00560911712,1103.15578515067,1163.72005938278,1223.93671537948,1169.91958961438,1193.26688433402,1228.3879011444,1204.04054817664,1027.47869577502,1100.48517284854,1176.95534479636,1214.50619316094,1285.86803013765,1380.64018059552,1478.19422143587,1509.41126894299,1305.75482351621,1371.55030054756,1437.87028997279,1496.64335687326,1524.84172062246,929.119320473626,946.808976983408,976.94939062227,901.451193317644,916.878160085616,880.330748712742,767.932729447946,753.330054028825,782.802483590888,815.326497266118,837.910378895789,876.15603471387,905.938618217516,949.933079494632,1009.35187371986,1020.33476822914,1084.59247437893,961.256543759284,1019.02689959718,1081.01639938965,1147.56956054081,1219.06108716792,1293.86163376503,1376.31209525242,1465.01859223709,1560.50517450268,1663.34243850638,1774.15174920281,1893.60982470887,2022.45370486597,2161.48612190308,2311.58128654624,2473.69109524476,2648.85175257909,2838.19078586038,3042.93440435384,3264.41512063961,3504.07950255353,3763.49585578841,4044.36154271556,4348.50951320195,4677.913446244,5034.69066181781,5421.1016413221,5839.54456936656,6292.54275354964,6782.72206650633,7312.77466700578,7885.4041956024,8503.24645101624,9168.75836652243,9884.06719877454,10650.7717257971,11469.6887706023,12340.5427709185,13261.6050022608,14229.3040164211,15237.8505373655,16278.9465532395,17341.6730986178,18412.6617521425,19476.6347690704,20517.335432296,21518.7675023931,22466.5506532676,23349.1280702046,24158.577371993,24890.8819343196,25545.6720098537
"median",29613.6137799391,29149.9229038602,28795.7865851059,28514.8777176249,28281.9272035463,28098.7740216512,27943.0672625497,27819.9819844461,27720.3104004562,27635.3537991234,27564.0740325158,27502.7673237321,27446.1972455893,27396.7885192172,27360.087845683,27332.3822140205,27303.9409057954,27282.1042971874,27263.3639180741,27247.0753879046,27232.7170881493,27221.2199389078,27218.7768446832,27214.0774449355,27210.8683696837,27206.8148474432,27203.5291440171,27201.1855783176,27197.7245775755,27194.3886655853,27191.7703177737,27156.6942707959,27131.5301837163,27107.0993731763,27089.1091041219,27070.8470204879,27057.3290072948,27043.4328710561,27031.9063445817,27023.4588946673,27014.2290201094,27038.6249462961,27059.6349757166,27077.3807478342,27091.2858445231,27102.5180713626,27112.3176584067,27119.6689832283,27126.3380761832,27131.9324334346,27135.6242999089,27140.4209271318,27144.5051858698,27145.95996032,27146.8677747967,27148.0956182652,27150.4139496718,27152.2498507025,27154.3199771647,27156.035198157,27156.9800938563,27157.7867735018,27158.2443472083,27158.9347020028,27159.5709160968,27077.6101781297,27090.7767949523,27102.3922736424,27112.4500744078,27120.1138966622,27125.8147739007,27130.5350271585,26847.1793689642,26616.1184877167,26700.7138410545,26291.0757810214,25824.543995297,25762.0750967675,24586.0629183523,22717.1978086957,19611.3958032718,13243.0451372863,7817.8463899837,5275.50329319358,4587.37977606229,3669.19924306182,2072.94470592882,1702.40348516791,1656.06801211182,1597.10050741396,1551.7288015509,1512.08299006336,1570.85717193254,1244.43194831147,1142.69767634945,886.126703909434,687.302503571375,742.492854335786,810.952858303989,864.476256285748,887.759286969041,851.423891876297,909.603685462418,968.012851079986,911.88486271097,932.884849332231,965.597054883808,938.589346439302,759.985859508549,829.588182606595,902.707659704281,937.306856837847,1005.68639662604,1097.96591455353,1193.30905499828,1222.07273001915,1015.63179876048,1078.1112460857,1140.81986226077,1196.42056361645,1221.31621338097,622.068680100642,633.099827617113,656.368149968453,573.654501573263,581.585942741892,537.100634881019,416.289585855652,392.183356760577,411.782698450318,434.027048653085,446.173376738657,473.679261954585,492.952930628679,525.838649940125,573.812115046633,573.712464554816,627.117423863351,491.821778941717,537.103406033428,586.32401322267,639.957534093558,698.535673234442,760.593347292117,829.968989343332,906.340023444183,990.048015732558,1081.66328127239,1180.42320306595,1288.40270866366,1406.76444540783,1535.8440198899,1678.28940826371,1831.88541208653,1999.32837112196,2182.22645138739,2383.67340346979,2602.08241520694,2840.058243621,3100.29432568694,3382.30245830473,3696.02992236909,4032.845463964,4396.90442717074,4797.32147061286,5231.78164255855,5709.72257991021,6230.80615865465,6789.83787711266,7396.0768643914,8047.20307833486,8761.62371716172,9530.68236520482,10357.7034623407,11233.215392323,12158.690546698,13131.56415424,14143.5738450302,15186.3398622876,16249.8190928204,17314.8742193001,18400.2843980261,19480.384788013,20554.3587692021,21605.354443199,22583.3159110491,23491.2852090821,24296.4531770474,25026.2298359234,25649.4922576241
"2.5%PI",25843.0323152929,25501.0228891333,25236.4295268827,25031.7220571414,24881.803069574,24748.0506215128,24644.2947533318,24565.4560506386,24498.4225012928,24451.8605356234,24409.0034885237,24371.667883649,24335.9685163231,24308.0192550736,24277.6679429784,24259.4183584092,24247.5102471868,24237.4239135721,24230.9496620887,24225.525399592,24221.5380099538,24223.2059422224,24223.1844280391,24223.9464210081,24224.5081066497,24224.7381226763,24224.2756091984,24224.9066273209,24225.4056600955,24225.7837786109,24226.0702780556,24195.9367689523,24170.9400344995,24152.7238509438,24137.8061099961,24125.4655570465,24115.6613635128,24107.9083104404,24101.7560495546,24096.8665828092,24092.9798411282,24120.2426461877,24141.8470895193,24159.0877628833,24172.8470750896,24183.8377516186,24192.6077952222,24199.5964374304,24205.1638355602,24209.5979502997,24213.1287909602,24215.9399337737,24218.1778040052,24220.0881041679,24221.5596147288,24222.490558083,24223.378854872,24224.0853471565,24224.6472325247,24225.0941029746,24225.4494979243,24225.7321409084,24225.9569240816,24226.1356917699,24226.2778639663,24144.7578969001,24162.6051363121,24175.6908849427,24186.1138383149,24194.4219431101,24201.0419241604,24206.3152775037,23928.5673100404,23704.1922221869,23803.8871287999,23420.1595678935,22998.3273056267,22983.6070555791,21936.0152605423,20243.393682054,17465.1276833246,11704.9118088229,6817.2012067744,4542.60229935716,3958.08302038327,3151.17063762537,1691.11904143492,1356.95992947468,1325.60893352137,1281.64460963377,1252.03544001731,1227.08359841024,1295.44609034644,1002.52779735935,914.152900421719,676.875866585622,490.904944124237,540.489081242234,602.978103555267,652.92709022622,675.389818459307,641.542731702916,696.898613075395,753.47045684019,702.668871024685,724.221310905023,757.393453393464,734.886792680483,560.109455801712,625.238194352379,695.172972105255,729.114841484511,796.777468507148,889.401569278334,987.587149478703,1024.01697222687,828.683111864807,894.984298448417,963.897776365045,1027.6551413368,1063.03273368549,476.442522673358,486.195744870723,508.336739161877,425.164130000524,429.934753793425,382.354860947625,256.824064492189,224.674935257261,234.521803251081,246.528020460635,247.710553562314,263.31238390593,269.564284479633,288.615350619584,322.127392739294,306.597797345302,342.213447764155,189.669289611819,211.843490948834,236.377019182136,263.592077402191,294.056110320798,326.005668678591,363.780079889437,406.065497301845,453.420222641122,505.829523689536,564.342635296426,629.20564560807,701.189727287819,782.163627664808,872.749147829238,974.447791338896,1085.40624117174,1209.72601124135,1350.00563161594,1506.16777836931,1679.01157300083,1871.71095762385,2088.23308969689,2330.67017522907,2597.52175396164,2897.21380638472,3227.5650524089,3589.63767264796,3997.30000960704,4446.45942712518,4948.75813371379,5498.24107872756,6101.15499973197,6767.51932462923,7502.8128572691,8311.58054911732,9188.5396376939,10144.4991580777,11156.4623046978,12212.8308979672,13327.4446713507,14448.7452527063,15541.1553921508,16534.6240718721,17413.1874113255,18176.3773840676,18897.4858900435,19510.1321606961,20133.7004982188,20751.4763657493,21342.0451785752,21931.9745662302
"97.5%PI",41916.2234349168,41392.7490557027,40826.5036644379,40365.259079694,40031.8736218262,39685.3255985143,39361.7931400921,39072.0495626044,38768.749994064,38522.0399002744,38293.8422774286,38010.1921547599,37848.055989201,37661.1915853637,37463.8550694583,37273.8076664601,37144.7709611992,36956.3257948898,36778.1312405058,36665.1495790642,36583.1224815878,36471.5851880072,36389.4316069956,36311.254512341,36228.7957279375,36164.1836015631,36075.6228005843,35943.1600795306,35878.3713090676,35803.3312484904,35758.2230111763,35678.6067812678,35603.1196668965,35560.0138707888,35502.132018866,35443.7098441808,35376.6468348558,35299.1291917714,35248.0513223412,35172.7255120162,35102.3271598444,35090.5318779872,35065.6882917586,35068.6702513092,35063.3436810339,35052.375208762,35019.0460837355,34993.451319513,34996.0849219566,34971.2606733908,34959.6921969775,34940.0164392898,34944.3677177033,34873.2336061236,34858.8082959175,34835.1872666364,34805.477275082,34765.2588342008,34746.9892573335,34745.6410628786,34722.9940615241,34702.3988846235,34692.0152483477,34609.8855790194,34593.0973746904,34503.0984302541,34508.8027832088,34512.2896384529,34522.2893828704,34513.5440352909,34509.3663127167,34502.9026423624,34217.0758519131,33944.5690406685,33928.6520948894,33447.0908631046,32858.5837273835,32680.4805511306,31228.8073716616,28910.1275970499,25119.6493867889,17631.8635208363,11162.8751083534,8174.27441793297,7244.57474394324,6098.43297965843,4357.94541471992,3938.98258609658,3860.10710226858,3782.68163925965,3711.17473990017,3651.00082970954,3695.94161192128,3365.58361699042,3264.48214988747,3007.99066024049,2822.33907925453,2907.4280447876,3006.24136197102,3087.2414115861,3135.98029666959,3121.89739068228,3206.97982417979,3290.31510923483,3261.16805035,3310.58046395024,3370.86194166912,3374.44445785857,3231.46183604989,3340.43877760137,3450.38808378255,3517.47644698626,3612.98889902558,3727.44844997248,3840.18800433678,3889.30075419786,3698.58380760226,3793.86106728507,3886.05472275134,3965.58075373523,4012.09917214113,3431.83858843757,3499.42226925279,3580.49721787621,3555.19142529866,3628.70831961341,3651.41721238615,3606.39868894386,3662.90643170292,3765.67234617775,3876.27107356319,3978.29366489576,4097.82351932745,4210.00701010923,4337.95589284948,4474.14134256376,4568.59210563236,4724.01772310175,4692.08116042359,4854.18603787522,5021.81387271104,5186.46800945767,5362.4284328949,5537.76689321211,5721.62298882242,5905.19983595445,6101.14969485071,6304.10727271741,6527.91235519051,6757.81701854935,6971.13204340438,7198.24843256986,7451.50295332433,7694.48007451735,7930.459350289,8182.59965772263,8450.15477865808,8724.00528315181,8994.4512972477,9301.49825655305,9584.4490843691,9903.00639811862,10212.5737964227,10542.4818733307,10869.6057052234,11209.1686230616,11559.124595552,11929.013443024,12316.4528262675,12708.0226053748,13130.7783007998,13565.5083315192,14025.3974318894,14494.8795697786,14988.8169612244,15514.9011729622,16054.0603905809,16711.8856038128,17416.3160186704,18251.4381862233,19244.6734032202,20350.1183498163,21476.2526845695,22600.4649937883,23697.4104078554,24725.0753720056,25704.9313369629,26652.7827330815,27504.7596274213,28277.5618363429
"5%PI",26286.6977448215,25931.6228373046,25639.4024399914,25411.5780409753,25232.8496550652,25087.7930357999,24967.9771994305,24890.1614131577,24811.5273500673,24755.0180914643,24714.3191761083,24677.2533816533,24644.076409983,24616.8815345933,24595.8069309583,24579.4719829091,24560.4423381582,24551.2472676478,24540.9309855965,24533.4258450028,24524.4024286809,24526.7961632141,24527.304704628,24525.8666578874,24525.5957625527,24525.581444334,24525.2921757427,24525.0685172405,24524.9025684711,24524.7685578138,24524.8342886678,24495.6242874354,24471.0639178484,24451.6001232959,24434.3952554641,24423.0914748698,24412.7636103655,24404.1918460028,24398.1626412242,24391.0446047348,24386.2225152662,24412.8107259919,24434.424914402,24452.0182336708,24466.3822198799,24477.9833441806,24487.4329143282,24495.1624282615,24501.7848215743,24506.4575132594,24510.5735698589,24513.3649558968,24515.5640660949,24517.3172988254,24518.9176975814,24519.8554490235,24521.32502845,24522.701958074,24523.7010423696,24524.0587561268,24524.3382262767,24524.5565972924,24524.7272518293,24524.925019041,24525.1547796619,24442.9796635738,24459.2807270698,24472.5456365576,24483.2983615771,24492.214594849,24498.7483534826,24503.7513779068,24221.3980298982,23999.6876659482,24100.4798796689,23713.6865049907,23289.0988379017,23263.9569049656,22194.5746801944,20498.2106746504,17688.9471376666,11868.4705274987,6922.09922307989,4617.18338989845,4024.32523882957,3204.76714154982,1730.10264587165,1392.38124595152,1358.63257996522,1312.8479291671,1280.89278767042,1253.59245879345,1319.87700337786,1023.10007380582,932.602550143689,691.094662769454,502.182011097898,551.985913892467,615.468495946122,665.821077785703,688.194156963204,653.820812363422,709.493244684156,766.449607253729,714.123858170749,735.461439037128,768.730176887107,745.167415779362,569.616968698709,635.270288340622,706.021223827286,739.34399760171,807.47677635858,900.586939053291,999.308231747949,1034.66134593001,835.608744823565,901.62606288674,970.19851562247,1033.60909109345,1068.43016197812,481.135476972173,490.854403119495,513.060748042911,429.822339736468,434.718565687425,387.242802222585,261.96316639252,229.934898681465,240.211236044548,252.716092514125,254.385063045633,270.464918260457,277.294373319414,297.225512117799,331.576503128838,316.850012023887,353.495850335871,201.648642385184,224.740219407819,250.315647996089,279.04229747054,311.292421520196,345.026398199305,384.639848926978,428.712379001328,478.018783236032,533.585072743412,594.998401323114,663.300429120338,739.82165849966,824.780894918683,918.929485532348,1023.91197105386,1141.72501096348,1272.91145474503,1417.8493170696,1581.50745870269,1761.64137053386,1962.22141863955,2184.8870453778,2432.84493631231,2708.98735114569,3016.25520391349,3359.80916154301,3737.0149477314,4158.14382886762,4621.53856867289,5135.44568101904,5703.46256115133,6324.60684465174,7009.08223824285,7750.54526140427,8572.53298828089,9465.85510181427,10416.3882713702,11439.3661010937,12508.8120059909,13609.4084888038,14738.5212690179,15828.0436587972,16829.8767060264,17725.4286266764,18569.7748790065,19347.7150679419,20082.8533127146,20833.1157543648,21517.7515420282,22197.1336349494,22863.1071476846
"95%PI",38353.5173720143,37869.7046284931,37493.6546212359,37081.6103839765,36778.2909760027,36473.4273874453,36181.8235976679,35927.2496234268,35690.1608383262,35473.1744738454,35296.5954633309,35148.1604189022,34973.213195634,34799.2554901772,34687.8648936445,34579.7434821777,34461.9193151797,34337.065132398,34267.27200404,34202.4343699669,34144.1777718154,34099.3762884299,34032.4260339526,33993.2169275503,33911.6119984521,33844.658290688,33783.3459710815,33747.3281243931,33732.0418151079,33693.253514424,33661.6626809815,33591.3904939916,33521.9681112917,33462.4792174529,33381.6164609924,33354.5202555303,33305.5974660728,33259.5530582438,33202.6884090697,33162.0882989521,33128.7252916815,33108.2660166996,33087.9517884572,33067.5621581673,33062.2095686707,33065.6856932407,33040.5045292934,33013.2019601127,32986.7159042188,32961.1320093877,32940.1577715923,32927.3280875057,32896.5053990221,32892.4242833847,32877.3172344753,32875.4672179257,32876.9267473595,32864.0290605434,32852.9156667937,32852.9959814124,32850.9736060142,32835.0815693733,32817.7487664362,32814.4650366965,32803.2903441529,32708.1933233756,32712.7492392854,32696.1170690856,32688.3231585625,32690.752408217,32686.9411505398,32683.257048094,32408.3580578019,32154.769880561,32184.0398697993,31732.596708352,31165.5963954709,30981.2194393352,29615.09120336,27401.627527648,23750.2986989875,16486.6920004146,10293.380729046,7350.7628457791,6454.68459936231,5349.35150566551,3598.34223569404,3180.28841891825,3104.8448594765,3023.81384636282,2953.84819975249,2894.06590430491,2939.61124476257,2585.3052648451,2473.41371547569,2212.08521294532,2016.23383215014,2093.40114435576,2182.14524417383,2253.95467018823,2295.39564849527,2278.20519503081,2353.12890145993,2425.45344682082,2378.51345953161,2414.6880989879,2462.01474570503,2448.26277359185,2278.31057229441,2373.5306607209,2470.24337885416,2524.8502583248,2613.70146094189,2722.6837626749,2833.13155148806,2873.68038789389,2682.16580210653,2764.48564531253,2843.00658566913,2913.67996469729,2951.90929095297,2363.39233175791,2414.65779024658,2480.55987664198,2443.0755083005,2500.21443742471,2508.90115046807,2446.55293351625,2489.82505232212,2580.93436749207,2675.36803964614,2760.46457860828,2862.86657523518,2958.31429306546,3068.88399460329,3194.96036199763,3272.94494222838,3409.66283293636,3358.84427508477,3503.12343516882,3652.56051540994,3806.64480254927,3962.26420326671,4113.54197269303,4272.97923047576,4449.01645767418,4629.32035960231,4829.07889967876,5028.79521083836,5237.48549938817,5455.83528631854,5692.10696248686,5931.30782414857,6175.46956514541,6440.44829986286,6698.11033172256,6980.32360696507,7265.74552893037,7570.9279599089,7888.83965997308,8214.8444503263,8548.4993003875,8897.09040327051,9269.48562291477,9649.08725185551,10045.7261999852,10425.4487708157,10861.6276281631,11309.4645669324,11731.867923293,12207.4210762573,12696.7302868878,13215.8463383418,13752.0144775499,14347.3259308494,14946.2889480936,15569.6321159806,16243.1917814032,17033.3486567371,17926.0396459551,18951.6964785659,20028.7257142534,21157.0576665231,22281.1972491333,23345.9904358921,24356.3949083619,25322.1288120046,26181.8811054396,26966.2471078829,27654.0347275892
"min",24450.2250470198,24249.9102920527,24055.0905964848,23912.2796372414,23806.6800721809,23728.1033825495,23669.3644020314,23625.3050572996,23592.1729042038,23567.2106812734,23548.3770869227,23529.7448382103,23515.6592778221,23505.0024550442,23496.9349049561,23490.8247480271,23486.195484392,23482.6872860024,23480.0281428851,23478.0122663459,23476.4838729857,23479.7324160268,23482.1954984761,23484.0627783748,23485.4782282823,23486.5510935123,23487.364241788,23487.9805167761,23488.4475678199,23488.8015185312,23489.0697517867,23460.7820946075,23439.330778871,23423.044151119,23410.6675263958,23401.2557444112,23394.0948354086,23388.6443312428,23384.4944453752,23381.3340948124,23378.9269057833,23405.5840726428,23425.8793522695,23441.3136922325,23453.0412851273,23461.9465382927,23468.7053147241,23473.8330555804,23477.7222499561,23480.6714131291,23482.9073848781,23484.6024230444,23485.8872701291,23486.8611203398,23487.5992101283,23488.1585918583,23488.5825214673,23488.9037905327,23489.1472553733,23489.3317559261,23489.4715711946,23489.5775229432,23489.6578125032,23489.7186551465,23489.7647609494,23414.2436460139,23432.4667001113,23446.3200704497,23456.8434524535,23464.8326051057,23470.8951169192,23475.4940540221,23232.0331777422,23034.5238519163,23142.739885558,22763.7091979561,22350.7870324621,22334.1930413467,21285.6423751044,19689.6890898837,16929.0111706175,11283.8138592463,6507.94047754478,4302.10718163408,3746.41086547225,2970.94408198133,1552.15576241495,1234.49228281372,1209.74100364067,1174.00367337566,1152.31265755829,1137.19821975959,1211.65159067971,936.442510809001,860.337073582144,642.061133598546,463.106605708235,510.548140634838,570.57905450267,618.633340062617,640.279917529283,608.372798659996,661.871058187825,716.648136601887,668.671923879271,690.18886038546,723.250121154691,703.096837604833,541.739531006941,605.519586130059,674.29242702815,708.417926739655,775.472329793866,866.758903499679,963.756442414629,1001.76522769118,816.31149676361,882.038229150799,950.449020509447,1013.80030655867,1049.33864190835,466.820454742941,476.186106473551,497.813054412047,414.467818865632,418.679117694519,370.640799648734,243.967037345253,210.382026584578,218.809350591449,229.250389968961,228.662989374607,242.30715518317,246.321489472275,263.066232388103,294.040237603217,275.544039298811,307.987149145575,151.190170139974,168.991845100907,188.889527794468,211.129994985986,235.989072718215,261.732092422382,292.549018917518,326.99423549377,365.494850541098,408.528215484834,456.627819313237,510.389867392362,570.480620667975,637.644578267036,712.7135933014,796.617017901648,890.392978480788,995.20088489404,1112.33527593726,1243.24109615037,1389.53048166978,1553.00110077562,1735.65604031876,1936.79522447473,2157.5610469802,2403.38354107728,2677.05921236971,2981.67573579187,3320.6329301486,3697.66083428852,4116.83232713208,4582.56655415397,5099.61779754439,5673.04223403452,6308.13214726217,7010.30353686935,7784.9187758662,8601.80475417469,9486.80451893895,10452.4517770273,11502.0669684645,12637.4963809445,13858.4494762205,15067.7032278211,15672.3601767093,16004.2247060984,16112.2441641629,16144.7710772124,16177.3610213159,16210.0141005532,16242.7304190498,16275.5100809757
"max",90283.2004011083,89579.0057703378,88883.5582174031,88237.6324060112,87702.1188915271,87169.0478408574,86638.3571546968,86109.9861272338,85583.8754013536,85059.9669255803,84538.2039126794,84013.9192308022,83491.6879311668,82971.455913978,82453.1702160723,81936.7789759343,81422.231400017,80909.4777303111,80398.469213108,79889.158068908,79381.4974634229,78880.0530486725,78380.1541957369,77881.7574958592,77384.8203615535,76889.3010030586,76395.1584056165,75902.3523075427,75410.8431790592,74920.5922018562,74431.561249358,73913.902367778,73397.4581788232,72882.1881653078,72368.052526872,71855.0121602675,71343.0286403289,70832.0642016025,70322.08172061,69813.0446987211,69304.917245614,68827.4745631855,68350.8230032579,67874.9322064547,67399.7722819572,66925.3137958695,66451.5277599611,65978.3856207731,65520.7581034643,65173.3188581963,64825.9140635987,64478.5428132286,64131.2042076784,63783.8973545481,63436.6213684172,63089.3753708176,62742.1584902067,62394.9698619401,62047.8086282451,61700.6739381943,61353.5649476792,61006.4808193841,60659.4207227606,60312.3838340014,59965.3693360155,59530.0301030223,59183.0631245188,58836.1159236652,58489.1877116647,58142.2777063058,57795.3851319384,57448.5092194492,56809.0232394105,56169.5645951955,55822.7567247571,54982.8323092006,54022.6331631639,53408.5532860719,51657.1896288413,48946.2153608348,44805.3470054364,37206.9785369467,30649.5764245703,27378.8957600197,26204.3346150591,24855.9081491334,22903.6310452349,22343.5647184534,22146.5812352863,21940.6686732159,21754.7876974518,21578.9149189284,21506.6192601493,21038.8805216402,20828.4108629543,20469.7722728332,20188.9361875858,20183.2084826521,20185.2775790478,20166.1826650842,20111.4409843097,19994.315458458,19976.3165150379,19952.7463509693,19807.7582699965,19746.2994400454,19694.8599596809,19579.9230076397,19312.3701334483,19314.3570153468,19313.5044429496,19264.3778570089,19247.9024969235,19249.8832501308,19246.1849055455,19162.9762026855,18827.0313458415,18798.3472959004,18764.5563920157,18717.4915698017,18634.6934766629,17924.0820483566,17879.9987468947,17847.1402147101,17706.0713889683,17662.9877672456,17566.8172277747,17398.1589918019,17337.6914405407,17323.1549727693,17309.6379085488,17283.8696639327,17272.3904092037,17249.6809941923,17239.2192230963,17241.0062916427,17189.7108020188,17191.4930335574,17000.3401222909,17002.1038257384,17003.8677019394,17005.6317509072,17007.3959726552,17007.1187236308,17066.7872259584,17127.0125626014,17187.4251574019,17248.0252892753,17308.8132336784,17369.7892625543,17430.9536442765,17492.3066435933,17553.8485215708,17615.5795355365,17677.4999390213,17739.6099817021,17801.9099093429,17864.3999637364,17927.0803826443,17989.9513997377,18053.0132445367,18116.26614235,18179.710314213,18243.3459768269,18307.1733424957,18371.1926190645,18435.4040098557,18499.8077136055,18564.4039244003,18629.1928316118,18694.1746198324,18759.3494688092,18824.7175533787,18890.2790434004,18956.0341036897,19021.9828939507,19088.125568709,19212.8797977536,19426.8347799824,20559.5712772517,21637.852374672,22707.9497574657,23735.4456116025,24707.2034699179,25772.7645947223,27155.3672394031,28442.715175898,29659.256225993,30706.9858305406,31584.0637003208
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
