"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.087","0.091","0.033","0.042","0.116","0.117","10,000"
"2","$K$","30,707","29,614","25,843","26,287","38,354","41,916","10,000"
"3","$N_{min}$","   695","   392","   190","   202"," 2,016"," 2,822","10,000"
"4","$N_{2008}$","15,238","15,186","13,327","13,609","17,033","17,416","10,000"
"5","$N_{2012}$","19,477","19,480","17,413","17,725","21,157","21,476","10,000"
"6","$N_{2019}$","25,546","25,649","21,932","22,863","27,654","28,278","10,000"
"7","Max depletion","0.02","0.013","0.007","0.007","0.054","0.071","10,000"
"8","Depletion in 2008","0.503","0.505","0.38","0.405","0.592","0.61","10,000"
"9","Depletion in 2012","0.646","0.658","0.44","0.485","0.766","0.783","10,000"
"10","Depletion in 2019","0.847","0.884","0.537","0.616","0.954","0.96","10,000"
