"","N_1830","N_1831","N_1832","N_1833","N_1834","N_1835","N_1836","N_1837","N_1838","N_1839","N_1840","N_1841","N_1842","N_1843","N_1844","N_1845","N_1846","N_1847","N_1848","N_1849","N_1850","N_1851","N_1852","N_1853","N_1854","N_1855","N_1856","N_1857","N_1858","N_1859","N_1860","N_1861","N_1862","N_1863","N_1864","N_1865","N_1866","N_1867","N_1868","N_1869","N_1870","N_1871","N_1872","N_1873","N_1874","N_1875","N_1876","N_1877","N_1878","N_1879","N_1880","N_1881","N_1882","N_1883","N_1884","N_1885","N_1886","N_1887","N_1888","N_1889","N_1890","N_1891","N_1892","N_1893","N_1894","N_1895","N_1896","N_1897","N_1898","N_1899","N_1900","N_1901","N_1902","N_1903","N_1904","N_1905","N_1906","N_1907","N_1908","N_1909","N_1910","N_1911","N_1912","N_1913","N_1914","N_1915","N_1916","N_1917","N_1918","N_1919","N_1920","N_1921","N_1922","N_1923","N_1924","N_1925","N_1926","N_1927","N_1928","N_1929","N_1930","N_1931","N_1932","N_1933","N_1934","N_1935","N_1936","N_1937","N_1938","N_1939","N_1940","N_1941","N_1942","N_1943","N_1944","N_1945","N_1946","N_1947","N_1948","N_1949","N_1950","N_1951","N_1952","N_1953","N_1954","N_1955","N_1956","N_1957","N_1958","N_1959","N_1960","N_1961","N_1962","N_1963","N_1964","N_1965","N_1966","N_1967","N_1968","N_1969","N_1970","N_1971","N_1972","N_1973","N_1974","N_1975","N_1976","N_1977","N_1978","N_1979","N_1980","N_1981","N_1982","N_1983","N_1984","N_1985","N_1986","N_1987","N_1988","N_1989","N_1990","N_1991","N_1992","N_1993","N_1994","N_1995","N_1996","N_1997","N_1998","N_1999","N_2000","N_2001","N_2002","N_2003","N_2004","N_2005","N_2006","N_2007","N_2008","N_2009","N_2010","N_2011","N_2012","N_2013","N_2014","N_2015","N_2016","N_2017","N_2018","N_2019"
"mean",26234.3181063237,25785.2021559737,25681.6063745928,25636.9980785588,25615.516206665,25604.2377134925,25597.9366327321,25594.2346809013,25591.9669837821,25590.5272696019,25589.5843157634,25584.1615406517,25582.0322000611,25580.9716202019,25580.3797431176,25580.020088576,25579.7875033771,25579.6296712722,25579.5184369343,25579.4376265692,25579.3774454143,25584.1196922632,25585.7806118213,25586.5058729483,25586.8535925422,25587.0325721533,25587.1293774792,25587.1836977267,25587.2149717431,25587.2332620308,25587.2440128077,25556.2992981922,25545.2318253192,25540.2340350166,25537.7350926437,25536.3834437987,25535.6070758522,25535.1384243295,25534.8433886821,25534.650784355,25534.5209886785,25565.3820105003,25576.5566264669,25581.5272453648,25583.9665698792,25585.2606628166,25585.9891712162,25586.4199493187,25586.6854255917,25586.8549531207,25586.9666119953,25587.042182957,25587.0945750421,25587.1316837543,25587.1584756747,25587.1781548064,25587.192835746,25587.2039432521,25587.2124555207,25587.2190557805,25587.2242287935,25587.2283234971,25587.2315944113,25587.2342294697,25587.236369017,25505.1581655426,25557.2104559074,25573.9423520111,25580.719683795,25583.7791515083,25585.2883001573,25586.0830440736,25301.2962970289,25187.3337259724,25413.1502184755,25023.1615869488,24730.4978558857,24900.7514131637,23867.6429274231,22371.2048535401,19708.9300940385,13681.1388242112,8270.56568053867,5676.48513164401,4943.85689954286,3984.98339603318,2359.89284099956,1978.32120877196,1924.37041251931,1857.6410480091,1805.60110680416,1759.52464570802,1811.79787750544,1479.6901185499,1374.96787351915,1116.69208405627,920.43681468978,979.378015023961,1050.44624157395,1106.12970110177,1131.03044128877,1096.52412310247,1156.73257720843,1216.05949765328,1160.63011185977,1182.99772967639,1216.90356535605,1191.00781114705,1013.16165251777,1086.44606169957,1162.62271097802,1199.18962888479,1269.23916005048,1361.99864853111,1456.52640481682,1483.53178664832,1274.90534486473,1337.55309483123,1399.90657279458,1453.80984840197,1476.22137830579,873.996885155483,890.549530612832,919.464219642805,842.522803932181,857.317765742446,820.141409120193,707.636234041173,694.261907157123,725.477117486294,759.879870959966,784.46576081227,824.951677018334,857.086270828671,903.643553529745,965.721483290474,979.320510522908,1046.62914399066,926.300699884863,988.886472274808,1055.9092283512,1127.697643867,1204.60574496308,1284.9779166924,1373.14243286106,1467.64939318651,1568.9752283755,1677.63360885757,1794.17846421674,1919.20725584434,2053.36452471733,2197.34573815559,2351.90146153891,2517.84188328605,2696.04172393266,2887.44556291202,3093.07361966392,3314.02802899646,3551.49965422906,3806.77548557931,4081.2466755524,4376.41726777802,4693.91368084606,5035.49501423934,5403.06424945222,5798.68042577292,6224.57187683567,6683.1506204893,7177.0279997095,7709.03167356673,8282.22404814137,8899.92220145191,9565.71925233114,10283.5068422724,11057.4976522299,11892.244873497,12792.6500886391,13763.935810141,14811.5157388027,15940.5713361824,17154.7847170915,18452.6923617518,19817.9328500615,21198.5999206138,22489.2995074305,23574.3427783875,24410.3555282824,25014.9836498723,25431.2017057906,25709.1753897242
"median",25995.6415186283,25552.2001568957,25456.724749632,25412.0723710094,25394.3591690479,25386.186074974,25380.9009040735,25379.658741427,25379.0091759786,25378.4976308405,25378.1961290537,25373.0942291356,25370.4968170466,25369.5788069973,25369.3427907619,25369.2377867246,25369.1904502181,25369.1690904978,25369.1594503198,25369.1550992431,25369.1531353636,25373.9798428787,25375.7233592566,25376.47270393,25376.8010511024,25376.951332824,25377.0219915718,25377.0557389034,25377.0720001197,25377.0798740128,25377.0836968613,25345.8591457844,25334.118502505,25327.8872121858,25325.6877202511,25325.0810068072,25324.7693050756,25323.7894431947,25323.3584948472,25323.2168925961,25323.1225416009,25354.3455107492,25367.8214038912,25372.7446227792,25374.725420649,25375.5976265378,25376.6477422273,25376.8747851379,25376.984215919,25377.0372108267,25377.0629420348,25377.0754533487,25377.0815414333,25377.0845051731,25377.0859482777,25377.0866510405,25377.0869932945,25377.0871599823,25377.0872411658,25377.0872807057,25377.0872999635,25377.087309343,25377.0873139112,25377.0873161362,25377.0873172199,25295.2456090497,25344.3889122189,25363.4799636275,25370.6423134436,25374.3390964487,25375.2105413396,25376.4870212777,25094.0141160934,24981.955941188,25216.6775540042,24828.9968102782,24539.0638676751,24714.7132902403,23693.9803354869,22206.8974891194,19558.4940698747,13571.0310293501,8183.26510439858,5608.73482505473,4879.8705936042,3927.71119035071,2306.80256445046,1925.22015467768,1871.87481366895,1805.66616158562,1752.74527676397,1705.85312584133,1757.87838526413,1426.06214041709,1320.96801545888,1061.60953861752,863.492715126636,921.817368072676,992.007533521938,1047.28999818871,1071.53971714975,1036.37996836967,1095.4390109619,1153.86997244515,1097.40490241754,1118.45108728738,1151.22674017356,1123.63711767319,944.405197243464,1016.53336488787,1091.55758882342,1127.02839208103,1195.75510856222,1287.12363842959,1380.09778082458,1404.99794600232,1194.57793260057,1255.64069164187,1315.9067776343,1367.55024820651,1386.86614205695,782.025097130452,796.189067034355,822.23789421224,742.018542353662,753.797950801208,713.217826027882,597.646010464077,580.994533358934,608.879202475942,640.161567888645,661.500347975235,698.491698760799,727.795669383678,770.720722867997,829.76796968346,839.951452055565,904.361041684872,781.295043451198,840.68341144641,905.098422107623,973.859485900665,1048.40571580007,1126.84396630686,1212.42902337135,1304.86869117407,1403.57616083541,1509.65680795451,1625.23472342825,1749.76806314481,1883.72732763652,2028.60803922355,2182.88335700983,2350.01069167169,2530.13720828234,2722.18487253205,2930.47295384104,3153.39726144797,3395.49083534578,3656.59367614435,3937.38025094772,4239.59074823088,4560.92644481971,4905.38485909464,5279.7158059441,5683.97304935902,6115.8223158605,6581.97810486116,7082.31037096623,7619.83558529018,8207.81097193676,8827.24159901643,9504.78390338578,10230.3493127924,11005.8588244541,11850.2332757039,12754.8831858639,13733.4271543481,14777.7854218355,15918.4871500667,17131.5727692757,18440.3373672355,19816.2363215284,21244.1211207036,22583.4228947918,23642.8501245287,24452.6022658472,25054.5638394803,25451.9803450413,25711.0396683903
"2.5%PI",22707.2526078837,22298.2152549152,22286.203210771,22286.5934655348,22286.4548652636,22286.4335391124,22286.4302547386,22286.4297486285,22286.4296706032,22286.4296585698,22286.4296567134,22281.5318129556,22280.7727633832,22280.6540176323,22280.6354047733,22280.632485185,22280.6320270116,22280.6319550842,22280.6319437892,22280.631942015,22280.6319417363,22285.5297851638,22286.2909338183,22286.4082830833,22286.4263622479,22286.4291484698,22286.429578036,22286.4296442883,22286.4296545095,22286.4296560868,22286.4296563302,22254.7685967853,22249.6609126839,22248.7920380145,22248.6429375264,22248.6173048595,22248.6128955336,22248.6121367742,22248.6120061711,22248.6119836856,22248.6119798137,22280.2730387293,22285.4728823557,22286.2820615018,22286.4069046328,22286.4261483631,22286.4291153097,22286.4295728982,22286.4296434926,22286.4296543863,22286.4296560677,22286.4296563273,22286.4296563673,22286.4296563735,22286.4296563745,22286.4296563746,22286.4296563747,22286.4296563747,22286.4296563747,22286.4296563747,22286.4296563747,22286.4296563747,22286.4296563747,22286.4296563747,22286.4296563747,22202.4917734179,22272.6147024379,22284.1359602027,22286.075145852,22286.3749979461,22286.421229245,22286.4283567026,22002.6967572386,21956.7407033486,22224.8445581204,21807.5640100198,21608.2239538312,21858.7045868949,20892.1682147881,19637.2407392646,17384.5962222396,11988.2942148727,7102.68883785313,4770.76260900664,4155.58679136647,3314.06290460567,1811.41936293915,1462.55276906461,1427.22682210138,1377.89244326046,1344.55358763881,1315.82409042644,1381.32856772826,1076.23301968437,984.766481309285,738.399569341345,543.566636773865,595.375712956791,660.721862691064,712.271751480306,734.63238189585,698.377225497448,755.280386963489,812.765060467396,757.411571488525,778.817044704622,811.914688136499,786.146223289496,608.547360348722,675.213976261809,746.598977727444,779.755210609842,848.031789684782,940.818993809822,1037.98633880425,1071.31364258384,868.852911662307,933.657960149769,1000.08462165253,1060.78585460119,1092.66216171637,501.104389763611,510.183599381915,531.705619313619,447.253869481051,451.146874284463,402.822962968731,276.940741522141,245.133186235323,255.780294808927,268.398572164047,270.422944187117,287.010448047772,294.072435895608,314.171376337489,348.779404435862,333.765966016299,370.406860533468,218.324988287191,242.075120945423,268.412109015484,297.68825186576,330.07108897512,363.909460313577,403.514582495242,447.921273383208,497.050092554428,551.324092451775,611.243185054623,677.280632280338,750.400054660278,832.241403281058,924.573116079047,1025.87868303272,1138.1350230213,1265.03752061868,1402.7423009044,1557.44578752675,1729.66027804416,1918.1076891158,2124.23323766315,2355.66715414438,2612.56435543538,2899.3182519564,3213.59825094719,3558.12405223765,3944.57760204285,4370.90576079398,4854.53224130035,5375.67311638112,5956.02893230977,6593.92020662856,7295.49078132261,8060.25076482021,8913.62679591483,9841.76590988225,10843.376965418,11925.4480359531,13074.0078758735,14251.9823090898,15432.7623560974,16578.9663281219,17691.1672643639,18793.1781287296,19843.6306159002,20899.5227940803,21891.5925959918,22399.7379522868,22593.2308265823,22683.3612213191
"97.5%PI",31492.2807117747,31070.0863764706,30855.7839667806,30742.2737186641,30674.2935010078,30620.6481675739,30581.9903752281,30566.8140121507,30553.9531297146,30541.9182913667,30541.4136662642,30534.8170285916,30532.9671635885,30525.8664145166,30521.8557293002,30521.6827935896,30521.436805782,30515.0556517986,30515.0256049919,30515.0111975669,30515.004288418,30520.0147608879,30522.4117771204,30523.5568377762,30524.1035038042,30524.3644349615,30524.4889781469,30524.5484264209,30524.5768054621,30524.5903542193,30524.596823323,30492.1893664333,30476.6218413659,30468.9647120615,30462.8317476319,30453.0066477717,30445.8436997688,30445.7793923742,30445.755426741,30445.7463082371,30445.7427529581,30477.6176871779,30489.7647978837,30497.9520643377,30509.2232055532,30518.5935906212,30523.7524431972,30524.2395610352,30524.4293212226,30524.519926516,30524.5631899694,30524.5838493831,30524.5937155148,30524.5984275398,30524.6006781397,30524.6017531604,30524.6022666844,30524.6178933533,30524.7202478135,30524.7931712159,30524.845125415,30524.8821397351,30524.9085100668,30524.9272971363,30524.9406815945,30438.6521166586,30482.6268433428,30501.2386963667,30512.6716671936,30519.8564449166,30522.3860568292,30523.5510676764,30232.1779732573,30072.6421452071,30258.5035655919,29834.5662979226,29483.633405952,29620.7120183385,28359.4185219164,26593.5715355032,23417.4900025454,16321.82049154,10051.0958182594,7034.59940715723,6138.4370318886,5018.93499337333,3231.90275564545,2804.28969342533,2736.13488610565,2651.11916639318,2582.09787062616,2519.91072822658,2564.00856135193,2205.81838459939,2097.95516166524,1834.7681046889,1642.17872207744,1712.91290849428,1794.01498275151,1858.21425197058,1888.89654420132,1861.14940113334,1929.78130559588,1996.18578642691,1946.13413701837,1977.66029796325,2018.69170690393,1997.04914496425,1826.74599447653,1913.58765365871,2002.53180145546,2048.02499615085,2127.64105297103,2229.29405592434,2330.56610641887,2358.39803010662,2155.2571370012,2227.94510515872,2298.34459702698,2357.40720018714,2386.35206845234,1788.06583792103,1827.37204025452,1879.73973401502,1824.45087182917,1865.07068507253,1856.86500479867,1773.60106360284,1794.05089482677,1862.88286688505,1936.00136770274,2001.98549319923,2085.6140406506,2158.29984747275,2248.46610500167,2355.09966695068,2413.81373151241,2528.21220296448,2460.56219331435,2577.23311001251,2696.34528543818,2821.56233634441,2953.38064957456,3091.51127017852,3240.53570474773,3395.09150627287,3556.78969201073,3731.3435600383,3912.72349773649,4101.56655236562,4301.95819652047,4514.31950781782,4730.86088114606,4952.2610864132,5191.10619432101,5436.61100782178,5693.84993965087,5967.95904581354,6261.16377638417,6565.23629581249,6876.72900337172,7211.41780434616,7545.58047541573,7905.66608658046,8287.1572644219,8688.61862929934,9116.56462104464,9574.43993875876,10046.6690848234,10538.5749013326,11071.7013302613,11632.2047521507,12217.2122854234,12851.8647510031,13514.7199242642,14209.4338688377,14961.5806467975,15780.7827727536,16694.9082006628,17752.3852506735,18973.3244035425,20360.4100731158,21889.1016940774,23390.2687526767,24689.4258430718,25749.1275924888,26681.0826468152,27538.7448404685,28288.516430564,28965.0135531871
"5%PI",23130.9438744296,22696.1899005766,22680.5307207499,22673.8930885789,22672.1929906744,22672.1808232315,22672.1811286746,22672.1811122786,22672.18111334,22672.1811132971,22672.1811133019,22667.5165372533,22667.7297774096,22667.7120289614,22667.7121451236,22667.7120226612,22667.7120133898,22667.7120117111,22667.7120115032,22667.7120114735,22667.7120114695,22672.3765875176,22672.162808071,22672.1811881564,22672.1809792578,22672.181103474,22672.1811115154,22672.1811130883,22672.1811132718,22672.181113298,22672.1811133015,22642.0369216855,22638.500601156,22636.4291744683,22635.5292171806,22635.2447083636,22635.1546284987,22635.1260939929,22635.1170537443,22635.1141894875,22635.1132819795,22666.4029228823,22672.0702890584,22672.1807230618,22672.1802361338,22672.181042259,22672.1811010886,22672.1811118117,22672.1811130931,22672.1811132744,22672.1811132983,22672.1811133015,22672.1811133019,22672.181113302,22672.181113302,22672.181113302,22672.181113302,22672.181113302,22672.181113302,22672.181113302,22672.181113302,22672.181113302,22672.181113302,22672.181113302,22672.181113302,22592.4125111657,22657.4827209798,22671.8605102631,22672.1779148495,22672.1790637395,22672.1809298064,22672.1810834064,22387.1222988864,22331.1141761823,22596.4332894326,22179.6068895353,21969.8645399587,22213.6771750505,21242.9926604128,19959.6625964066,17647.1618010928,12178.8915399517,7242.35960095169,4877.53413600276,4249.19659700254,3394.14483958692,1869.38567922914,1519.3041625573,1479.54376931026,1427.66632978571,1389.86709583526,1358.17262522602,1422.33960449112,1112.97147485472,1017.29872113471,768.058942266229,575.919253467783,628.485697648322,693.385745420054,745.348553153765,767.947313280294,732.808013327398,789.229730332097,846.392007297375,791.953785467328,812.611234658727,845.328734393226,820.468932054492,643.143254333357,710.242063314744,781.967659954049,815.721965575612,883.689748435396,975.8466565776,1072.59747549071,1104.59972379569,901.975903541729,965.543719090647,1030.94454956749,1089.67810815918,1118.97593075321,525.101919953781,534.387176138854,555.629152822372,470.90030775345,475.297574918942,427.330281112951,301.692210805794,270.991077641233,283.083916525155,297.495397169541,301.036472984437,319.28052758831,328.265883585181,350.262950577143,386.611191904099,373.979350264315,412.90164249466,263.278107938889,290.755142980752,321.00911084866,354.206442441789,390.657249830995,429.273105656187,474.143554405201,523.505230407333,577.384719071931,636.802178118482,703.261336582167,777.601942264658,859.338507097324,949.556381217388,1048.44656385857,1156.71002883813,1275.70633529204,1409.36471736481,1555.07443480361,1715.60640499824,1896.14702213959,2095.00723541335,2314.2796317033,2557.22184112639,2826.05819164493,3123.86384530346,3449.07600720003,3806.2205135825,4196.52160196788,4630.12640271399,5100.53074801683,5630.778717744,6215.39964897416,6867.07797799289,7568.13553260539,8350.56565952027,9196.41809038231,10129.928145794,11129.1590747454,12205.9134820594,13350.5822619282,14529.5472502149,15718.9285957997,16881.7916443983,18006.3662925404,19143.6254307821,20278.157654457,21403.0619078994,22334.8227543688,22823.5877120184,23000.849736606,23094.2986832939
"95%PI",30156.101820489,29665.5741157711,29465.259125262,29346.2038793038,29293.1170601124,29249.1181158296,29226.4547879726,29217.8480938232,29210.3354880968,29208.9917378222,29207.2202673948,29201.6240185994,29196.6911637023,29193.7094598393,29192.3231033835,29190.9426409466,29189.2364649872,29188.1297002585,29187.3720828132,29186.8214916952,29186.51270931,29190.9300773264,29193.265870923,29195.3794244992,29196.9525674341,29198.123533924,29198.9952262108,29199.641352044,29199.6989646477,29199.7107037438,29199.7184497009,29167.734687408,29148.7065043542,29139.3583891696,29134.0524955203,29133.7704577753,29129.8183919136,29127.1204333813,29125.2874604741,29124.0415013124,29123.1942691465,29152.629346602,29172.0887959384,29180.1025081885,29184.3371344483,29186.4794853481,29190.5925408272,29192.3691934607,29192.4799718344,29192.9304969033,29195.1178495905,29196.7496544621,29197.9662733492,29198.8575154493,29199.5232638257,29199.6994210534,29199.7189688587,29199.7268786446,29199.7293684407,29199.7310714104,29199.7322362354,29199.73303298,29199.7335779585,29199.7339507278,29199.7342057048,29114.8826817063,29156.9233684448,29172.0825238077,29180.5718676841,29183.954158808,29188.4139653133,29192.1669248035,28896.4432625676,28744.9975963467,28916.2055400257,28523.8238300406,28152.8610788124,28222.9605778579,27100.1223094436,25328.6036276852,22234.4514375497,15574.5528929758,9595.67045757717,6724.94939090717,5867.87900651824,4786.51353162138,3020.05558425498,2603.11875044609,2534.94429386204,2453.943540846,2389.78968327048,2329.41615564093,2374.68900365463,2022.15155491431,1910.95307491923,1643.12169943916,1443.26949631427,1511.56895748046,1589.74053851224,1651.30065758615,1681.08203154695,1652.91911706425,1718.35754217401,1781.95211766389,1728.58589421981,1756.36278328446,1794.12952863928,1770.81416406738,1594.54457403144,1677.60784809062,1764.15352214564,1807.43462986847,1883.02237353701,1980.70811423828,2077.21715788794,2107.75701113929,1900.26024353313,1969.18188445126,2036.9333173443,2095.07264233939,2119.14288355079,1518.74464819807,1552.75003578686,1599.23952574771,1540.31681668588,1574.78532645269,1559.58608928847,1471.87636002633,1484.57360241368,1546.20442463854,1612.62238980228,1669.17019881863,1741.62272154335,1806.97481526784,1887.55988230987,1987.8994182586,2038.05423040838,2145.24951271431,2066.92674648659,2176.94092692982,2290.91234192166,2409.96200825412,2535.20343623943,2663.9016291098,2803.80344081111,2949.72243493216,3108.35810688822,3270.0939434889,3438.98562395941,3620.11403670404,3809.83466650662,4011.32876049141,4217.45759853852,4442.07458471168,4680.16142065402,4921.57269754688,5182.89482127512,5452.10291571232,5727.38819812718,6022.28426884413,6334.75901144126,6670.54035006155,7026.46406814148,7384.66078958026,7773.912584016,8174.27155924566,8602.86253797886,9055.45234374952,9527.74629746996,10031.895016216,10566.1792367828,11131.4874976291,11733.9079716489,12363.5991713501,13035.9617940096,13786.4672836469,14589.3426328986,15449.55004712,16391.6473348006,17471.2344631993,18699.1957112503,20088.4141312846,21605.4278879781,23091.0348358391,24373.8290288896,25407.9080149643,26275.7514896734,27013.7422782919,27641.9241031443,28165.6894999554
"min",20874.5581664335,20512.0936016224,20581.2046636379,20575.0801375095,20575.7505190734,20575.6783626382,20575.6861436067,20575.6853047155,20575.685395161,20575.6853854096,20575.685386461,20571.0003451284,20571.4981369311,20571.4459412335,20571.4514219392,20571.450846534,20571.4509069452,20571.4509006027,20571.4509012686,20571.4509011987,20571.450901206,20576.1359424245,20575.6367416969,20575.6906302069,20575.6848209824,20575.6854473148,20575.6853797867,20575.6853870672,20575.6853862823,20575.6853863669,20575.6853863578,20545.3999413346,20548.3602816459,20548.0976826159,20548.1212100014,20548.1191039346,20548.1192924752,20548.1192755966,20548.1192771076,20548.1192769724,20548.1192769845,20578.4047220075,20575.3897287769,20575.7172335675,20575.6819524034,20575.6857565876,20575.6853464423,20575.6853906623,20575.6853858947,20575.6853864087,20575.6853863533,20575.6853863592,20575.6853863586,20575.6853863587,20575.6853863587,20575.6853863587,20575.6853863587,20575.6853863587,20575.6853863587,20575.6853863587,20575.6853863587,20575.6853863587,20575.6853863587,20575.6853863587,20575.6853863587,20495.3703940295,20582.2179508772,20574.9668036909,20575.762688077,20575.6770500543,20575.6862851166,20575.6852894585,20304.9135421325,20310.6777761904,20581.793983476,20124.1423301011,20002.1618279855,20297.2867931416,19319.2628074305,18185.7289349967,16141.2650161741,11099.6351487459,6510.85860250394,4334.52854410237,3784.52756352927,3013.56183608687,1609.35169939367,1289.69842077165,1259.57530631936,1217.33751843471,1188.12738350177,1164.47663420563,1231.08777812691,950.358892912426,867.643786412776,642.097646533133,463.698046474869,511.391862739144,571.715523735405,620.144380781917,642.268094606127,610.970367193121,665.03027235775,720.46428974116,673.376660788547,695.776304131586,729.823210130308,710.854575534275,544.404412312641,608.435695920176,677.441118210737,711.093130836641,778.109122232477,869.628082689882,966.797166428949,1003.79796230968,815.892022543877,881.627544750325,950.046957503491,1013.37520222605,1048.76221553983,464.568767715712,473.681089001405,495.036499415277,411.290134194386,415.133011780408,366.634058010693,240.328512500962,206.74484995988,214.887765367318,225.0065081977,224.135362510472,237.375531837482,241.009306446976,257.255213219969,287.600976229729,268.731181866999,300.43064737519,143.97935968054,160.963130281242,179.950302372667,201.177196712284,224.90801039721,249.407522986277,278.827574345631,311.718007879602,348.488189033913,389.595771903697,435.552395350956,486.930051034661,544.368202612153,608.581744719822,680.369900793236,760.626170471985,850.349450398011,950.656466820625,1062.79567474862,1185.38107828108,1321.94775674395,1474.24815831755,1644.09495096534,1833.50963848206,2044.74662028038,2280.32002308345,2543.03362387193,2836.01422022439,3162.74884521621,3527.12626978208,3933.48328641057,4386.65632469552,4892.0390117806,5455.6463578955,6084.18631242151,6785.13947207249,7566.8476244014,8438.61117468206,9410.79280519692,10494.9141651978,11703.6920711416,12732.5380179038,13568.1005936131,14458.3631176892,15406.7502431584,16050.7252263784,16720.5904783279,17418.1039343626,18144.2072813049,18899.7441750965,19685.3683577958,20501.3930548765
"max",37986.9514786785,37590.7634162563,37368.9335628207,37235.2890363379,37151.7186978549,37098.3395396424,37063.8040733992,37041.2801128721,37026.5145810071,37016.8029582353,37010.4016014395,37001.4972834103,36995.6118752504,36991.7168303459,36989.1368427413,36987.4269581855,36986.293312259,36985.5415249003,36985.042889074,36984.7121245488,36984.4926998405,36989.0260597848,36992.0324500009,36994.0248971197,36995.3447936989,36996.2189077011,36996.797687616,36997.1808686218,36997.4345322303,36997.6024467706,36997.7135949921,36967.5412239244,36947.5175290865,36934.1714856874,36925.2508735237,36919.2770150319,36915.271483139,36912.5834811418,36910.7786243043,36909.5662984797,36908.751771245,36938.4503627747,36958.3590531258,36971.6491086715,36980.4957752123,36986.3734613832,36990.273611603,36992.859375298,36994.5727492023,36995.7076382609,36996.4591698141,36996.9567577314,36997.2861741701,36997.5042409323,36997.6485896742,36997.7441379466,36997.8073825701,36997.8492444171,36997.8769526729,36997.8952925897,36997.9074316144,36997.9154663035,36997.920784368,36997.924304327,36997.9266341413,36917.7179433177,36944.4713899038,36962.3831406776,36974.3299125287,36982.2778354409,36987.5563695308,36991.058053409,36719.2637081928,36535.0104665413,36679.7010353279,36254.3207481159,35796.7517756506,35790.7362493504,34349.8473519097,32106.9770684929,28131.7011059689,19796.9440265514,12763.6232636191,9547.6446060016,8527.16910923955,7289.091995657,5358.83978480407,4892.50495611061,4808.98572137577,4713.44441370384,4637.10885215285,4569.5857130839,4613.08353041539,4226.86288127735,4110.3575596509,3829.184222734,3632.57811284333,3721.88473425543,3821.59258094685,3904.28058038475,3950.41304322049,3936.47933736427,4021.67161148039,4103.57858832355,4066.41510731252,4111.69388449066,4168.19517326559,4179.22742085912,4056.41567881736,4173.14069964194,4290.53946054637,4365.67022633939,4473.841217329,4602.57782877786,4729.64874858043,4785.19422197583,4603.36679608906,4705.26675037373,4805.00494940172,4894.36883879773,4950.64643386516,4381.98536206316,4462.23307070521,4555.99666983135,4544.46623091507,4630.40818663716,4665.84588892635,4629.96897841238,4701.05181908328,4820.02581056223,4943.44212091264,5058.18426257597,5190.49126696705,5315.39872961259,5456.12597896146,5613.12823579617,5721.67102821122,5886.31445202664,5863.1435626932,6031.85791620931,6205.42709369529,6383.99079445617,6567.6927376018,6754.64319043255,6949.0108039801,7148.97142185307,7354.68598368083,7566.32005963377,7784.04398343598,8008.03298910887,8238.46735151321,8475.53253074221,8719.41932039663,8970.3239997405,9228.44848968926,9494.00051251441,9767.19375505198,10048.2480350632,10337.3894701991,10634.8506487384,10940.8708008734,11255.6959687473,11579.5791726543,11912.7805696718,12255.5675993962,12608.2151091807,12971.0054480628,13344.2285140293,13728.1817328492,14123.1699376328,14529.505105466,14947.5058893793,15377.4968583945,15819.8073224278,16274.7695682027,16742.7162611999,17223.9766689868,17718.8712220383,18290.3779872681,19254.7784117793,20678.3967577987,22092.6440516165,24300.1286404237,26501.1362788786,28167.0526447384,29014.0918823823,30560.5958113759,31232.5289841363,32171.0634135604,32736.162681619
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
