"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2018","draw","save"
"1",0.0735762583343312,22067.2743931855,1,-999,16070.1228779508,0,-999,669.739699001737,1958,0,16070.1241542646,22067.0417561322,0,-9999,0,-9999,0,0,17.227674117896,0,17.227674117896,3.29697910357061e-08,0.0303499057957314,0.728233304572819,0.999989457825685,146,1
"2",0.0724067978877574,22152.3221448969,1,-999,15025.9075588547,0,-999,665.090091386437,1958,0,15025.9081425324,22150.2553126518,0,-9999,0,-9999,0,0,16.5598998283895,0,16.5598998283895,6.42875512664658e-08,0.0300234931144521,0.678299459724758,0.99990669907057,206,1
"3",0.050993975455407,23998.4865067997,1,-999,15891.8103259057,0,-999,1381.62568528638,1926,0,15891.8102648048,23556.924769871,0,-9999,0,-9999,0,0,17.3373017013721,0,17.3373017013721,2.9546465786757e-08,0.0575713674649819,0.662200520866265,0.981600433977218,287,1
"4",0.0501131735872477,24090.4049871289,1,-999,15949.1725983098,0,-999,1418.26408746291,1926,0,15949.1725883517,23588.4950084236,0,-9999,0,-9999,0,0,17.3887010022808,0,17.3887010022808,2.80661671429757e-08,0.0588725713918327,0.662054979850817,0.979165564922074,330,1
"5",0.0417156245615333,25079.138013946,1,-999,16495.214262628,0,-999,1881.72830144035,1926,0,16495.215033677,23642.4664114473,0,-9999,0,-9999,0,0,17.9688819103715,0,17.9688819103715,1.5711358570109e-08,0.0750316179285731,0.657726554417632,0.942714474408977,512,1
"6",0.0795635155397467,21642.1034495131,1,-999,15022.6430222392,0,-999,526.524859950976,1958,0,15022.6435835744,21642.0555948963,0,-9999,0,-9999,0,0,16.4506691501417,0,16.4506691501417,7.1707596242941e-08,0.0243287285443052,0.694139717916947,0.999997788818589,643,1
"7",0.108919385011308,19858.0179407135,1,-999,15461.3853245974,0,-999,249.197318749604,1968,0,15461.5291946057,19858.0218053704,0,-9999,0,-9999,0,0,16.7244641433853,0,16.7244641433853,5.45327639025412e-08,0.0125489522415373,0.778603848620058,1.00000019461443,908,1
"8",0.056194975475315,23487.4963264509,1,-999,15245.2843660722,0,-999,1194.01332066948,1926,0,15245.2842843826,23224.2069037884,0,-9999,0,-9999,0,0,17.1081995538933,0,17.1081995538933,3.71538085118936e-08,0.0508361259145709,0.649080858704121,0.988790230384581,1070,1
"9",0.111073515261058,19742.0764388673,1,-999,15895.4498440726,0,-999,237.403173564876,1968,0,15895.6901980248,19742.0773982835,0,-9999,0,-9999,0,0,17.1372661022853,0,17.1372661022853,3.60894195333399e-08,0.0120252382924365,0.80516810109853,1.00000004859753,1193,1
"10",0.099901761402376,20363.1594762085,1,-999,17390.2120131534,0,-999,325.600178478398,1958,0,17390.225662745,20363.1594785603,0,-9999,0,-9999,0,0,18.9938660582124,0,18.9938660582124,5.63726928386169e-09,0.0159896689341758,0.854004295505474,1.00000000011549,1311,1
"11",0.108868494149763,19860.7062297744,1,-999,13655.3479650756,0,-999,220.168056122682,1968,0,13655.3491558752,19860.6883065945,0,-9999,0,-9999,0,0,16.5498079271276,0,16.5498079271276,6.49396196568943e-08,0.0110856106311373,0.687556071666956,0.999999097555763,1490,1
"12",0.0971651425617747,20523.006371161,1,-999,15868.6330392957,0,-999,332.689703828085,1958,0,15868.7656588451,20523.0063480175,0,-9999,0,-9999,0,0,17.0109019457284,0,17.0109019457284,4.09504947166175e-08,0.0162105735295966,0.773218376092499,0.999999998872313,1663,1
"13",0.112337415137328,19674.8401969839,1,-999,16372.361273272,0,-999,234.09460846649,1968,0,16372.349591553,19674.8363797216,0,-9999,0,-9999,0,0,17.683472521014,0,17.683472521014,2.09009229008741e-08,0.0118981707664582,0.832146509330368,0.999999805982548,1870,1
"14",0.0670743521200493,22562.6520145862,1,-999,16776.4953618171,0,-999,870.814037312048,1958,0,16776.4952457217,22561.1891021645,0,-9999,0,-9999,0,0,18.1733981523301,0,18.1733981523301,1.28054093179158e-08,0.038595375966845,0.743551566317475,0.999935162213168,2046,1
"15",0.0968624921264127,20540.5395974458,1,-999,12680.6787332753,0,-999,303.431321504774,1958,0,12680.5461489746,20540.5374352267,0,-9999,0,-9999,0,0,18.5741231512673,0,18.5741231512673,8.57750162911305e-09,0.0147723150146701,0.617342406649895,0.999999894734067,2197,1
"16",0.104181936644018,20119.1125314637,1,-999,13616.6541326093,0,-999,259.860080894955,1968,0,13616.6560163914,20119.1184229945,0,-9999,0,-9999,0,0,16.6118352197119,0,16.6118352197119,6.10339713926939e-08,0.0129160806913609,0.676802020720184,1.00000029283254,2408,1
"17",0.112061787319835,19689.4210460055,1,-999,15191.305269138,0,-999,218.697682309092,1968,0,15191.2991197253,19689.4321969936,0,-9999,0,-9999,0,0,16.5916506300371,0,16.5916506300371,6.2278434296963e-08,0.0111073698814247,0.771546257466377,1.00000056634414,2611,1
"18",0.00757299462798983,38114.8208999194,1,-999,17943.0074931588,0,-999,12200.3673602859,1926,0,17943.0074931594,19348.6160216279,0,-9999,0,-9999,0,0,20.892977129139,0,20.892977129139,8.43908424379799e-10,0.320095098762793,0.470761952162217,0.507640218812331,2855,1
