"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.077","0.076","0.047","0.066","0.087","0.11","10,000"
"2","$K$","26,304","26,069","22,681","24,736","27,542","31,618","10,000"
"3","$N_{min}$","   687","   584","   215","   413","   850"," 1,656","10,000"
"4","$N_{2006}$","12,817","12,777","10,857","12,086","13,512","15,035","10,000"
"5","$N_{2008}$","14,834","14,790","13,082","14,186","15,450","16,779","10,000"
"6","$N_{2012}$","19,831","19,822","17,693","19,084","20,565","21,989","10,000"
"7","$N_{2019}$","25,751","25,788","22,635","24,643","26,822","29,172","10,000"
"8","$N_{2030}$","26,293","26,069","22,681","24,736","27,541","31,520","10,000"
"9","Max depletion","0.025","0.022","0.009","0.016","0.031","0.056","10,000"
"10","Depletion in 2006","0.489","0.489","0.412","0.466","0.513","0.558","10,000"
"11","Depletion in 2008","0.567","0.568","0.471","0.538","0.598","0.651","10,000"
"12","Depletion in 2012","0.76","0.76","0.596","0.703","0.82","0.916","10,000"
"13","Depletion in 2019","0.982","1","0.841","0.988","1","1","10,000"
"14","Depletion in 2030","1","1","1","1","1","1"," 5,934"
