"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.091","0.093","0.055","0.08","0.105","0.116","10,000"
"2","$K$","30,059","29,577","26,008","28,193","31,420","36,877","10,000"
"3","$N_{min}$","   476","   374","   193","   284","   554"," 1,356","10,000"
"4","$N_{2006}$","12,929","12,876","11,119","12,214","13,581","15,039","10,000"
"5","$N_{2008}$","14,987","14,948","13,239","14,350","15,600","16,878","10,000"
"6","$N_{2012}$","19,440","19,434","17,529","18,766","20,091","21,402","10,000"
"7","$N_{2019}$","25,882","25,871","23,491","25,093","26,609","28,541","10,000"
"8","$N_{2030}$","29,366","29,185","25,951","28,002","30,534","34,244","10,000"
"9","Max depletion","0.015","0.013","0.007","0.01","0.018","0.039","10,000"
"10","Depletion in 2006","0.432","0.432","0.354","0.406","0.458","0.513","10,000"
"11","Depletion in 2008","0.502","0.502","0.405","0.471","0.533","0.595","10,000"
"12","Depletion in 2012","0.652","0.657","0.507","0.609","0.699","0.769","10,000"
"13","Depletion in 2019","0.867","0.885","0.685","0.83","0.922","0.957","10,000"
"14","Depletion in 2030","0.979","0.991","0.889","0.977","0.996","0.999","10,000"
