"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI"
"1","$r_{max}$","0.088","0.093","0.032","0.042","0.117","0.116"
"2","$K$","26,474","25,637","23,881","24,020","34,286","31,431"
"3","$N_{min}$","   720","   429","   197","   217"," 2,994"," 1,961"
"4","$N_{2008}$","15,439","15,411","13,521","13,774","17,639","17,240"
"5","$N_{2018}$","23,058","23,187","20,648","21,376","24,264","24,101"
"6","Max depletion","0.024","0.017","0.008","0.009","0.089","0.063"
"7","Depletion in 2008","0.588","0.589","0.473","0.501","0.683","0.669"
"8","Depletion in 2018","0.881","0.912","0.616","0.686","0.967","0.963"
