"","N_1830","N_1831","N_1832","N_1833","N_1834","N_1835","N_1836","N_1837","N_1838","N_1839","N_1840","N_1841","N_1842","N_1843","N_1844","N_1845","N_1846","N_1847","N_1848","N_1849","N_1850","N_1851","N_1852","N_1853","N_1854","N_1855","N_1856","N_1857","N_1858","N_1859","N_1860","N_1861","N_1862","N_1863","N_1864","N_1865","N_1866","N_1867","N_1868","N_1869","N_1870","N_1871","N_1872","N_1873","N_1874","N_1875","N_1876","N_1877","N_1878","N_1879","N_1880","N_1881","N_1882","N_1883","N_1884","N_1885","N_1886","N_1887","N_1888","N_1889","N_1890","N_1891","N_1892","N_1893","N_1894","N_1895","N_1896","N_1897","N_1898","N_1899","N_1900","N_1901","N_1902","N_1903","N_1904","N_1905","N_1906","N_1907","N_1908","N_1909","N_1910","N_1911","N_1912","N_1913","N_1914","N_1915","N_1916","N_1917","N_1918","N_1919","N_1920","N_1921","N_1922","N_1923","N_1924","N_1925","N_1926","N_1927","N_1928","N_1929","N_1930","N_1931","N_1932","N_1933","N_1934","N_1935","N_1936","N_1937","N_1938","N_1939","N_1940","N_1941","N_1942","N_1943","N_1944","N_1945","N_1946","N_1947","N_1948","N_1949","N_1950","N_1951","N_1952","N_1953","N_1954","N_1955","N_1956","N_1957","N_1958","N_1959","N_1960","N_1961","N_1962","N_1963","N_1964","N_1965","N_1966","N_1967","N_1968","N_1969","N_1970","N_1971","N_1972","N_1973","N_1974","N_1975","N_1976","N_1977","N_1978","N_1979","N_1980","N_1981","N_1982","N_1983","N_1984","N_1985","N_1986","N_1987","N_1988","N_1989","N_1990","N_1991","N_1992","N_1993","N_1994","N_1995","N_1996","N_1997","N_1998","N_1999","N_2000","N_2001","N_2002","N_2003","N_2004","N_2005","N_2006","N_2007","N_2008","N_2009","N_2010","N_2011","N_2012","N_2013","N_2014","N_2015","N_2016","N_2017","N_2018"
"mean",26473.9751101299,26207.7809644606,25996.2727510168,25826.0056875847,25687.4534138886,25573.6644641229,25479.4497102422,25400.8653753439,25334.8704472706,25279.0919892692,25231.6598882343,25188.2878034285,25151.0839397496,25118.9900581699,25091.1512072163,25066.8728837162,25045.5880767906,25026.8316854508,25010.2205050257,24995.4374638134,24982.2191331233,24973.1457782816,24964.7456970654,24956.9573316188,24949.7245607831,24942.9964197088,24936.7267636879,24930.8739047353,24925.4002409344,24920.2718921594,24915.458351048,24892.8321546426,24873.6075171793,24857.1599010223,24842.9904376669,24830.6988333504,24819.9625337131,24810.5205820852,24802.1610356066,24794.7111025091,24788.0293762903,24800.0996959497,24809.6238448097,24817.1013841766,24822.9331328407,24827.4406248469,24830.8818569879,24833.4639652783,24835.3533915875,24836.684017313,24837.5636606959,24838.0792627779,24838.3010255905,24838.2857148116,24838.0792969069,24837.7190464731,24837.2352318601,24836.6524650118,24835.9907838009,24835.2665210817,24834.4930035302,24833.6811144878,24832.8397480128,24831.9761757851,24831.0963440993,24782.2051146933,24789.5902967649,24795.4081232381,24799.9700680809,24803.5245360593,24806.2697396415,24808.3639764527,24642.7491764436,24505.1526696757,24557.0220975601,24252.2228281976,23888.3394753633,23794.5648666316,22691.8507187744,21034.7451236245,18111.71555569,12285.2449986406,7282.5847869767,4942.74162480328,4303.57783286669,3453.6623250856,1998.93374695657,1669.36271776099,1637.33411154037,1594.66443990349,1566.41674863662,1544.83916000369,1614.50958175973,1335.40441494584,1263.06491611283,1051.43752876657,873.728056017675,927.344337212217,991.459657444901,1043.01096861155,1066.92079631875,1036.78601282758,1092.87717996692,1148.7258657021,1100.33171985271,1122.58648777646,1155.64766188133,1134.4662454111,974.301819088752,1041.9598786525,1113.30830751513,1156.69213617377,1226.68712922851,1315.63614065002,1408.22507207916,1452.80989699078,1323.23283207661,1390.27544788753,1458.07549381023,1518.72884652604,1549.64244704155,968.246598552503,988.956128690164,1022.17885553471,952.005971904272,971.379254813105,940.091101140425,832.692850814865,823.477086699235,821.967799541957,856.807359422012,878.150082733039,917.799073226601,928.336028379415,973.195953105092,1033.35506859274,1046.1384236599,1111.38841369542,992.66599299629,1051.85171401018,1115.4186228322,1183.72983007815,1257.18057535415,1334.20115926965,1419.08517780178,1510.5015525069,1609.0045110232,1715.19774228906,1829.7388229559,1953.34399685566,2086.79331759925,2230.93615705619,2386.6970715262,2555.0820014893,2737.18475804829,2934.19371703962,3147.39859689081,3378.19713409858,3628.10138464027,3898.74326273533,4191.87876976601,4509.39015258778,4853.28494541583,5225.69047325151,5628.84190534885,6065.06132268175,6536.72448786464,7046.21108073767,7595.83312630095,8187.73530313867,8823.76001207914,9505.26993468256,10232.92203023,11006.3905726637,11824.0443113564,12682.5956184314,13576.758383749,14498.975256431,15439.2985310548,16385.5220306649,17323.648707303,18238.7267066208,19115.9944324948,19942.1658192198,20706.6069736564,21402.1526965942,22025.402155405,22576.4822989738,23058.4076034777
"median",25636.7231274129,25361.0955978471,25163.1585526804,24985.8303654169,24842.5609564299,24740.0477546771,24654.3215134452,24583.8379766671,24537.5542656497,24489.5850625916,24453.0755551552,24423.9895249881,24390.110422395,24363.0158537012,24352.6479836317,24338.4163058283,24327.3085945135,24319.3496840495,24308.9401902122,24302.6877420755,24298.9615909436,24298.7483623195,24297.6516676733,24297.3407144268,24297.5531236483,24297.7238943014,24297.5547452073,24297.3968461476,24297.2624553627,24297.219837444,24297.2465555745,24279.0244731834,24263.9856362647,24252.3608646342,24242.6128294953,24234.4385054808,24227.748914149,24222.2730330122,24217.7897546788,24214.1185483483,24211.1119160043,24226.7492829875,24239.5546636287,24250.03601727,24258.6118253965,24265.6263101191,24271.3622469093,24276.0516889456,24279.8849016091,24283.0177779877,24285.577975081,24287.6699790419,24289.3792781286,24290.7757950571,24291.916706528,24292.8487568999,24293.6101551355,24294.2321289907,24294.7401976558,24295.1552133667,24295.4942136048,24295.7711181135,24295.9972988461,24296.182045914,24296.3329484494,24248.4399959362,24257.3194193963,24264.5693288069,24270.4980095772,24275.3451847228,24279.307433754,24282.5458402595,24117.1520254756,23981.417364005,24037.9274893578,23736.8294622168,23378.4902573927,23295.5340594055,22204.5515328916,20574.9321509239,17676.3685882362,11900.251564882,6947.99746230654,4638.67140787034,4017.55099099621,3182.71089736247,1739.03969178957,1412.50842284083,1382.35141510698,1340.18654092582,1313.00698133312,1291.9771311241,1362.75442538745,1084.75128988364,1009.35738226263,797.991003009823,618.193977976477,668.6848007927,729.869397972995,778.741247619528,800.155284871686,767.386708989404,820.613730320748,873.946630630337,823.111827192988,842.813835117047,873.210422935746,849.289197116808,686.070080173999,749.717973659234,817.267731205554,857.08020142119,923.58327689172,1009.25023742467,1098.85540354211,1140.76113682714,1008.8966002245,1072.19065854979,1136.51432061584,1193.90772401609,1221.41475516053,636.725110333427,650.975007454503,677.222324338338,600.757595802109,613.207640701848,574.104112267051,458.339510942962,439.253876961681,429.215791401677,454.266009071939,465.241014789104,493.811194482807,493.532678552781,527.134518671656,575.709011703046,576.758413697022,631.819485608346,503.306577609578,551.493603008936,604.29295350658,660.254178713386,719.879690442347,785.902860209972,858.955665024454,937.253993197372,1024.27304574266,1117.12954476762,1218.18565997539,1330.13429330202,1451.70383955535,1583.30335332108,1728.35313429997,1890.25247130838,2066.28347374122,2259.03857215513,2471.51533213556,2704.93002827493,2952.39350345358,3228.94599335553,3523.15784403403,3849.14598986961,4206.79015486071,4592.94160020094,5022.36621418759,5481.26917668501,5980.12980607952,6525.24464443763,7114.26045766196,7734.67119512798,8402.79655124721,9146.71631675063,9919.96315746398,10738.3383038182,11613.1384696905,12539.0677209937,13486.5502196968,14447.8709053731,15410.7829454477,16376.2173289626,17305.398187193,18232.2136433561,19130.8828025581,20004.8350049474,20804.610745516,21522.2058982377,22170.5742498765,22717.2038562435,23186.9807078757
"2.5%PI",23880.9229906918,23695.092174203,23569.5637050867,23463.8413886632,23397.134887315,23331.2501557981,23285.3473264967,23253.8271817865,23227.8515699083,23202.7660590401,23179.9752665892,23165.7723651773,23156.5302964057,23149.4335360668,23144.0326303009,23135.8485345407,23129.8336316373,23127.9927693791,23126.6193298215,23125.5960171622,23124.8335274298,23127.0653556456,23128.7283468905,23129.9673588985,23130.890415943,23131.5780499237,23132.0902835219,23132.4718457175,23132.7560643827,23132.9677700022,23133.1254608964,23115.142917301,23101.7424180445,23091.7483543053,23084.2903142624,23078.7222770376,23074.4446351626,23070.9640504762,23068.313904441,23066.5845384905,23065.2984081204,23082.4379889989,23095.2317710797,23104.7742896004,23111.8876852131,23117.5108404019,23121.8181032662,23124.9526084605,23127.1540907483,23128.7944616849,23130.0166155431,23130.9271106488,23131.6053850722,23132.1106456963,23132.4870132684,23132.7673622968,23132.9761854018,23133.1317291492,23133.247586203,23133.3338819434,23133.3981587025,23133.4460345963,23133.4816943682,23133.5082550543,23133.5280383809,23085.5427736759,23097.7574895567,23106.8750729486,23113.6770923127,23118.749544899,23122.5310549912,23125.3495249219,22968.663700378,22840.8963176518,22911.0544661347,22620.2753133485,22285.1929745922,22238.7228485616,21178.3865870955,19602.6973943814,16827.0154993747,11208.3676247435,6419.48026782306,4211.55808633709,3655.64938201854,2876.31689020568,1475.24200864535,1164.66993344878,1144.80798588345,1113.55842524358,1097.29582857509,1087.2882275607,1168.87152122313,905.997468455386,841.708809285938,635.903526543984,456.215800805329,502.534637917497,560.265657937721,606.741769637199,626.647471881422,592.87851014271,644.164683528542,696.441957877591,645.824083315415,664.293907869212,693.921113146258,670.008748687365,506.303461223859,565.473834149451,629.557295100013,667.12699182093,732.085109291851,817.629886891086,909.163665256103,955.334853283469,828.634974032535,895.692084999661,965.287778597325,1029.83898831671,1066.85992454041,493.313265645538,505.971865775372,531.173748543844,452.789368058427,461.527430505643,419.332244069647,299.300825015208,273.320251205499,252.793365662847,267.247664168489,267.066839335434,284.299409231631,271.754324241572,291.435752582517,325.411524682262,310.972801531713,346.661451002768,197.358250051333,219.754276270671,245.06469548291,273.777333541631,305.853882600679,339.688377291027,379.486672329856,423.947292298323,473.616199558212,529.103187178446,589.52222496371,656.288917286911,731.794562697028,817.879855033727,912.409527590388,1019.46728321676,1139.07175391237,1272.68654651495,1419.18061901989,1582.834696261,1768.70262780618,1975.72133233287,2195.08796300879,2450.3857501246,2737.86749354123,3044.27754602084,3386.6431025825,3777.52230792841,4199.23246071658,4665.47913755739,5175.036112047,5739.31510292299,6368.19941661309,7039.2414410316,7792.67411666141,8613.48303579023,9490.57085833752,10433.6779564039,11430.27123554,12438.7348308923,13521.4581056313,14562.2627878783,15575.8934248588,16469.9103929405,17284.3294481189,17978.4525604379,18588.7399477336,19119.3090987068,19653.9229943279,20148.1002732915,20648.207762679
"97.5%PI",34285.7665878624,34071.6674876385,33718.4249404401,33393.0037426438,33162.9724672718,32950.1833260778,32703.9587132046,32489.177756201,32325.1793989044,32129.7546363269,31972.1737461898,31803.6436591824,31705.9977818739,31620.1712416703,31524.6961611285,31403.9974655684,31297.2972631901,31171.4614658308,31095.6339451931,31038.4887261859,30981.47375058,30915.9350074518,30832.082184634,30761.5645144775,30689.0504544636,30612.139747356,30563.4478721173,30521.817978647,30479.1756421118,30433.104053503,30396.4328467157,30339.8707181948,30284.0324790775,30245.6372294179,30200.6211475893,30155.9722049722,30105.527397943,30046.8244509641,30009.4061009094,29965.5656856388,29914.6660043407,29891.5880991615,29872.9563001903,29844.8607071063,29838.9827653265,29834.2870047301,29829.5823116872,29805.5773969081,29779.3120788167,29754.0800508582,29729.8369127338,29707.6688235791,29698.8905493411,29696.1798950789,29693.6587911594,29676.3964627062,29657.5876259618,29639.5205396553,29622.145138749,29619.6440984832,29618.3299386487,29616.9918464842,29615.5119395708,29599.9558304878,29583.862461551,29525.004919107,29522.1640331462,29519.4527251514,29517.1503199539,29518.2799862651,29519.2158111727,29516.8855970465,29340.952205486,29175.5117467114,29189.2666717202,28859.3764736923,28435.237538924,28235.4801595671,27031.006563813,25148.2721749314,21873.0765583198,15584.0697479524,10115.5714692436,7490.45634847831,6679.50659210418,5681.9868683614,4125.15539854654,3761.83062982302,3728.22699300922,3685.42166117115,3646.44666340605,3613.43347657008,3682.72746700728,3400.77103226088,3340.58024292704,3145.36174234127,2993.90056529852,3084.18292549307,3180.3375659535,3261.49965639412,3313.19852270687,3310.51240927103,3396.74240121275,3480.68946675811,3458.35980965358,3511.64633274439,3575.28640378211,3580.11394006288,3450.6599178542,3559.17324797605,3669.12787453578,3748.5411268557,3853.42585829977,3974.61425733013,4095.58940548319,4164.27790203339,4057.00983234535,4155.70505490542,4250.04196210314,4335.41517088804,4388.42726475965,3828.11767882409,3903.55527796575,3992.40860663048,3977.89508772385,4058.73138196944,4097.02442840223,4058.14688260249,4127.2455192012,4209.72162682113,4311.39040603016,4419.60241656344,4552.22517049135,4641.49636764782,4769.14923052096,4918.40546672832,5020.23862430262,5185.71074407756,5155.0307581666,5326.44263333872,5503.07748956932,5667.71993088712,5836.66870696303,6008.80557397519,6191.93767309462,6384.57092368599,6582.63776735091,6786.61476008451,6997.03165346032,7213.84531639368,7440.7653007901,7689.12571936869,7937.64117815862,8193.16043040309,8458.82492713683,8730.49570495076,8997.82700369956,9261.53743747988,9552.13274998962,9827.90211954642,10102.7268438132,10408.4745617797,10733.8972127049,11094.4430128554,11409.5966506503,11743.156071833,12112.1612114549,12463.9331412118,12821.1128133936,13199.1754156784,13613.623371061,14029.7603929732,14424.7286251431,14856.876890258,15348.5060775747,15799.6331923483,16343.5517440418,16942.3750891241,17639.3463539098,18405.5822651278,19259.2834017117,20108.1546582784,20900.5888117329,21633.6465717289,22280.2506525169,22854.1331834145,23377.9786437804,23850.1640880552,24264.392379785
"5%PI",24020.1887827427,23857.2258501627,23708.8248234157,23589.2492508561,23501.5128092661,23428.2725619249,23366.0341565837,23320.0952400949,23283.0561033233,23252.0487837933,23238.2809700411,23223.4521949123,23210.9943856292,23201.5425369105,23193.7522339979,23184.6577546474,23181.3756272935,23178.9025354108,23175.4726217105,23173.9130078418,23173.1063343532,23175.3031896032,23176.9457065889,23178.1736431297,23179.0915746674,23179.3929236694,23179.5610273527,23179.6920847309,23179.9577115205,23180.1659660971,23180.3228806014,23162.3411106019,23148.7864423855,23138.5609470495,23130.7036740844,23124.2235933106,23119.1999375799,23115.3043543241,23112.2829224337,23109.939119414,23108.1207499733,23124.8098896437,23137.7545220761,23147.7880577188,23155.5611160771,23161.580530817,23166.2404725325,23169.8470995885,23172.6379740982,23174.7972898159,23176.4677765778,23177.7003319143,23178.4649842349,23179.041186776,23179.4753688514,23179.8025269923,23180.0490374651,23180.2347780632,23180.3747283041,23180.4801759656,23180.5596266446,23180.6194893419,23180.6645931748,23180.698576783,23180.7241817768,23132.7434738641,23144.5494502114,23153.3375462558,23159.8588273465,23164.9077426427,23168.8156927188,23171.8398992189,23008.966412395,22886.6296752035,22956.2503994554,22663.7271211693,22329.7780405936,22279.4513584625,21222.8052998767,19644.5352506857,16869.0795326116,11252.1388409035,6461.0449332332,4247.49526262643,3686.06772438163,2904.04031215193,1500.40128910478,1188.09401783646,1166.7522006835,1133.58991901064,1115.40751908429,1103.34822544056,1183.74991280615,917.851021335073,850.344766338659,642.362196046628,462.617479054368,509.099706570243,566.954474195015,613.495704104037,633.415353377879,599.687389318421,651.061716379427,703.376790326218,652.740683426835,671.249895953866,700.899274750234,676.976727773209,513.293012778022,572.726566410391,636.920261727797,674.600133375512,739.63688043455,825.192805013655,916.668229547007,962.675653164542,835.979208506831,902.578305835698,971.511432656281,1035.5152055657,1072.75835240317,498.68067385059,511.679670633155,536.99922128701,459.202252776181,468.730031871959,426.550049735315,306.185980203706,280.68479808469,261.452110193599,277.08092990671,277.774351273562,296.025116032801,284.437775470674,305.451868163789,340.873758168149,327.779545630144,364.632239513785,216.91549096249,241.609259129163,269.128181001643,300.199364572449,334.857543352792,371.285668087638,412.83659415692,459.036935021381,510.406690682797,569.815156737194,636.15811607273,707.610801666221,788.642208815436,877.033474563365,976.098972982296,1088.77468049727,1212.6314108427,1347.6403763945,1500.68566826429,1666.4089478785,1859.47298690794,2072.34635681138,2303.81259988782,2562.39706095516,2850.26062224786,3169.83630841045,3524.64196965705,3913.11539576042,4345.27191902591,4828.25097971929,5370.14508412664,5967.33956438684,6614.86609054121,7322.3261150969,8088.9813592282,8898.90422144669,9791.02790595427,10729.9892810167,11714.3104687386,12733.9919462756,13773.9844381569,14817.7775381578,15838.1961171646,16755.7913478059,17581.6574585573,18317.3209032653,19009.8029755098,19633.5964714965,20225.9324731906,20813.21986463,21375.9699875143
"95%PI",31430.756083847,31147.1009041437,30872.2876629989,30630.6702210993,30412.1490326169,30213.853611048,30033.4985598689,29869.1031425826,29753.8667950686,29622.4351658496,29503.9047683871,29419.5831806526,29309.4945213011,29230.281345248,29135.1016414431,29056.7690425926,29002.0795943504,28918.1521993069,28839.4752550259,28766.3188258649,28714.9911164469,28685.2681030941,28630.0167038739,28595.8276078614,28562.0895915254,28525.2258990247,28500.9900213009,28478.1047589911,28449.5834948833,28415.9966675156,28385.4129036919,28355.7600149657,28331.6234552839,28309.8710635275,28274.0495155897,28231.5842052997,28202.270224621,28170.8122945734,28141.2496098982,28111.2324331592,28087.2331950373,28092.0120668237,28095.9731440416,28091.7892862073,28093.0428332933,28092.1535126646,28082.9476726055,28079.4532320496,28081.8740768425,28081.3210065995,28079.734628329,28076.8616735588,28074.1670604178,28071.6396555079,28069.1815802122,28066.6613696485,28067.518185338,28068.3538465156,28069.1228333001,28070.0303875601,28070.9008073787,28071.7056693018,28072.4499043003,28073.1380734298,28073.7743954408,28026.3627723475,28030.5124883453,28034.3513865924,28037.9025957919,28041.187545543,28044.2260879809,28047.0366111727,27876.6178747369,27718.8417445412,27738.6346508448,27417.721289293,26991.0236015047,26821.6775264929,25632.740748391,23814.9192986729,20611.9260398866,14409.0712963239,9026.97559627419,6456.15052683013,5677.58477160315,4709.50146830577,3168.4811653219,2814.19053695019,2771.17781808189,2718.44853768768,2681.51704382774,2646.32786618398,2700.28673359946,2406.93648848709,2337.4642574368,2127.27058641001,1961.04009544967,2034.96524525082,2119.70560392357,2188.04714452173,2225.5295585906,2210.33765368348,2283.79129583583,2357.10534245662,2324.49774432148,2363.9580400443,2413.18565949153,2407.43846181014,2264.63487801949,2358.28080183037,2456.81619419767,2522.47087463451,2612.93360677961,2722.60258216552,2833.36728436059,2892.73430552617,2779.19874769482,2867.66377786274,2951.26029609288,3022.36221633008,3061.63032033167,2487.25827716593,2553.32508415853,2626.42637490509,2592.53775281073,2658.39762642465,2672.34012823424,2613.85496091061,2660.96851126905,2716.14143241381,2810.4859269896,2894.05780823902,3000.31544977205,3081.75013822792,3200.60735884611,3333.75555511782,3423.10430674361,3572.0465126158,3533.87827162807,3684.55732881565,3839.15428260708,3988.39300406379,4144.1921769264,4324.81076406341,4505.294893152,4685.07010868369,4884.2761413424,5090.09253217693,5289.55182244299,5485.50341507248,5715.787319274,5960.00113515476,6217.23810570045,6489.49154809352,6758.30783790179,7047.48201212173,7333.86099837666,7637.56855855416,7939.27480864593,8252.29934651649,8571.17850297751,8908.85996522088,9257.07494049399,9632.38833239911,10006.9215433109,10423.9723612933,10845.0238558921,11278.4496791868,11700.7037703271,12159.8874012576,12619.8691555157,13104.9313752644,13580.5544591436,14101.6075420292,14655.8038649142,15240.2295350965,15847.1751675419,16524.4381837006,17239.6133726324,18054.0844482273,18898.4161251603,19770.0735651659,20597.8147976249,21382.5645764747,22077.9842726898,22667.897449426,23200.5145645776,23661.7676394294,24100.7003469061
"min",23578.1111922017,23457.7181257302,23370.8234679573,23307.7454659091,23261.7676634454,23226.64609922,23200.675254394,23180.2535810125,23160.1535514275,23145.2485928977,23134.1858621219,23120.1779557819,23107.1831996319,23093.6985922379,23081.3685440506,23071.8205344652,23064.4231377657,23058.6897193139,23054.2446456276,23050.7976124902,23048.1240498869,23048.8501105888,23049.4133563745,23049.8502846691,23050.1892165779,23050.4521265391,23050.6560633616,23050.8142535779,23050.936957938,23051.0321361585,23051.1059627814,23033.0632274493,23019.0623752546,23008.1900052699,22999.7422722577,22993.1755726547,22988.0693184837,22984.0976505695,22981.0078319589,22978.6036757908,22976.7327932431,22993.3767559316,23006.325780888,23016.3933666599,23024.2165972612,23030.2933269134,23035.0119583623,23038.6751128236,23041.5183383516,23043.7248329033,23045.4369927658,23046.7654478608,23047.796116989,23048.5957086184,23049.2160047036,23049.6971937631,23050.0704624095,23050.3600092264,23050.5846090942,23050.7588279238,23050.8939656873,23050.9987883748,23051.0800960363,23051.1431635633,23051.1920826905,23003.2300273348,23013.9870248915,23022.3470246898,23028.8413250576,23033.8845857051,23037.7999858432,23040.8391354947,22862.7333377312,22723.9581402661,22795.5209333665,22491.2982691135,22142.9805850473,22092.4023324447,21030.5427899813,19544.4258209705,16771.6475905085,11147.6783618805,6364.31910889575,4161.9986760784,3608.98417330132,2834.99511354904,1438.78272933742,1130.50414572655,1112.14146784838,1083.62744240857,1069.77236571762,1063.29369434355,1149.05578948637,889.866395527218,831.296728569326,630.877390470916,451.194852599049,497.350523833786,554.942697100785,601.317891999611,621.154508896188,587.327054655526,638.516076907797,690.733014783381,640.09822637015,658.501464727714,688.064631271276,664.094508275777,500.302829458046,559.227298171527,623.089855665501,660.471112264601,725.252905046081,810.659942945101,902.117993958901,948.33630623719,821.991045807988,888.576884011147,957.977603684449,1022.27853268877,1059.03087005912,485.082757654238,496.931307879854,521.168127053284,442.24464300673,450.073748372743,406.820230701071,285.498360877139,257.959029991016,236.192225639147,248.874420567854,247.042932583179,261.996800087173,246.703206025273,263.617258642528,294.513575421565,277.030769943102,309.499085522008,156.772470228836,175.146693875322,195.674397153302,218.607953499182,244.229305173275,270.853424138975,302.59778630664,338.062392628774,377.683125676091,421.946889344224,471.397558757468,526.642613852663,588.360530543274,657.309009188191,734.334125306898,820.380491436295,916.502520717632,1023.87688073972,1143.81621812584,1277.78421706356,1427.41202364774,1594.51601556401,1781.11681320249,1989.45929927475,2222.03321877379,2481.59364053777,2771.18013516617,3094.13290599849,3454.10322597368,3855.0542875472,4301.24684848474,4797.20172400823,5347.62812022518,5957.30298406627,6630.88211454074,7372.61930382995,8185.96658494534,9073.02935711267,10033.859183108,11065.5909735383,12161.4779502801,13309.9529058137,14352.5189475706,15060.8561124304,15531.5690887814,15748.6128721347,15752.085614354,15755.559048499,15759.0331746523,15762.5079928965,15765.9835033143
"max",76375.9998666986,76005.128903317,75635.1511161682,75266.049682583,74897.8080235782,74530.4097988234,74163.8389017373,73798.0794547108,73433.1158044525,73068.9325174538,72705.5143755689,72340.0463717075,71975.3193315978,71611.3184440204,71248.0291002754,70885.4368902053,70523.5275983191,70162.2872000129,69801.701857884,69441.7579181381,69082.4419070838,68726.5405277155,68371.2360075317,68016.515585787,67662.3666654387,67308.776810123,66955.7337412025,66603.2253348864,66251.2396194202,65899.7647723422,65548.789117807,65180.2011239721,64812.1137069119,64444.5144635372,64077.3911460903,63710.7316593928,63344.5240581598,62978.7565443809,62613.4174647644,62248.4953082448,61883.97870355,61537.9564168287,61192.2985506421,60846.9951787258,60502.0364890194,60157.4127818209,59813.1144679834,59469.1320671555,59125.456206062,58782.0776168245,58438.987135322,58096.1756995893,57753.6343482533,57411.354219005,57098.9485851551,56817.9472163939,56537.0023141128,56256.1124645403,55975.276264643,55694.492322065,55413.759255069,55133.0756924772,54852.4402736139,54571.8516482481,54291.308476537,53962.8094289705,53682.3603804426,53401.9526048151,53121.5848049831,52841.2556939489,52560.9639947702,52280.7084405081,51831.0983964429,51381.5417299051,51101.4246519425,50471.9479012503,49734.5335281581,49214.5740191276,47673.655849133,45446.2292872554,41783.4505996464,35043.3363896911,29163.9083263712,26240.801272737,25200.2618198252,24000.5555054094,22266.6491155419,21782.4400611732,21624.1438222787,21457.8188413015,21309.4635352368,21170.081073223,21123.6730065432,20722.2563952085,20551.7654745598,20248.2427787647,19998.5623634859,19995.8348663901,19999.1068535341,19984.3794593957,19937.6492800241,19834.9102571121,19821.1517593855,19802.3906503468,19674.6259792652,19621.8370120582,19578.0379869167,19477.2306081287,19239.403973266,19243.5317481077,19245.6603161384,19213.7892931664,19204.9121444158,19209.033288718,19209.1552254952,19153.2771857192,18919.3883952278,18893.4544732214,18862.5155339221,18818.5706056543,18739.6171644884,18045.6484101285,18004.544054819,17974.4316123327,17838.3132414434,17798.1680316977,17706.0148938121,17540.8435353749,17483.6394446723,17435.4239956246,17424.198964225,17396.971700811,17386.7390216593,17344.5043064821,17336.2611839497,17340.0164198083,17291.7724035469,17295.5187755146,17110.2658941648,17113.976033521,17117.6869146115,17121.3985375385,17125.1109024041,17126.8240093104,17130.5374586231,17174.8097986788,17256.2170833884,17337.9685199021,17420.0648895936,17502.5069641223,17585.2955052095,17668.43126441,17751.9149828831,17835.7473911589,17919.9292089032,18004.4611446789,18089.3438957046,18174.5781476111,18260.1645741939,18346.1038371639,18432.3965858952,18519.0434571692,18606.0450749171,18693.4020499586,18781.1149797382,18869.1844480589,18957.6110248125,19046.3952657076,19135.5377119942,19225.0388901866,19314.8993117819,19405.1194729775,19495.699854384,19586.6409207368,19677.9431206043,19769.606886093,19861.6326325508,19954.0207582668,20046.7716441686,20677.6156528819,21501.4432865014,22238.767117491,22885.1935531421,23440.9537830346,23910.2336197765,24300.1390946876,24619.548389585,24923.7474884763,25322.5748354306
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
