"","r_max","K","catch_multiplier_1","catch_multiplier_2","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2017","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2017","draw","save"
"1",0.101683932516724,24945.2065984942,1,1,1,16818.182397401,0,0.456319726072252,368.322463874413,1959,0,23511.9022284483,0,-9999,0,-9999,0,0,18.1466954164304,0,18.1466954164304,1.31519550491994e-08,0.0147652601079939,0.942541892191328,17,1
"2",0.101683932516724,24945.2065984942,1,1,1,16818.182397401,0,0.456319726072252,368.322463874413,1959,0,23511.9022284483,0,-9999,0,-9999,0,0,18.1466954164304,0,18.1466954164304,1.31519550491994e-08,0.0147652601079939,0.942541892191328,17,1
"3",0.10175969642913,24679.5584652968,1,1,1,17392.2336744145,0,0.249744313769042,378.308936884594,1959,0,23496.861812192,0,-9999,0,-9999,0,0,19.0808439291333,0,19.0808439291333,5.16766998894525e-09,0.0153288373216463,0.952077884425371,21,1
"4",0.0683398795020767,27653.926950705,1,1,1,16493.4890605509,0,0.557384652318433,937.566927480453,1926,0,23052.8724622234,0,-9999,0,-9999,0,0,17.8364502897016,0,17.8364502897016,1.79361018931808e-08,0.033903572868755,0.8336202125404,30,1
"5",0.0683398795020767,27653.926950705,1,1,1,16493.4890605509,0,0.557384652318433,937.566927480453,1926,0,23052.8724622234,0,-9999,0,-9999,0,0,17.8364502897016,0,17.8364502897016,1.79361018931808e-08,0.033903572868755,0.8336202125404,30,1
"6",0.0683398795020767,27653.926950705,1,1,1,16493.4890605509,0,0.557384652318433,937.566927480453,1926,0,23052.8724622234,0,-9999,0,-9999,0,0,17.8364502897016,0,17.8364502897016,1.79361018931808e-08,0.033903572868755,0.8336202125404,30,1
"7",0.0683398795020767,27653.926950705,1,1,1,16493.4890605509,0,0.557384652318433,937.566927480453,1926,0,23052.8724622234,0,-9999,0,-9999,0,0,17.8364502897016,0,17.8364502897016,1.79361018931808e-08,0.033903572868755,0.8336202125404,30,1
"8",0.0649601309280843,28468.4517117221,1,1,1,17730.4665279808,0,0.751418797532097,1017.51471605732,1926,0,24000.04610426,0,-9999,0,-9999,0,0,19.6026781857235,0,19.6026781857235,3.06665579791639e-09,0.0357418354310556,0.843040090388121,54,1
"9",0.0311915086475201,36538.2097155927,1,1,1,16947.3789511248,0,0.905331143643707,3072.31843616195,1926,0,21126.9984461882,0,-9999,0,-9999,0,0,19.0036460679634,0,19.0036460679634,5.5824054569807e-09,0.0840850840825635,0.578216574118907,61,1
"10",0.0365266632158309,33425.3724492532,1,1,1,16207.6664108317,0,0.716279427520931,2378.71910964484,1926,0,20762.5918919216,0,-9999,0,-9999,0,0,18.6526957454656,0,18.6526957454656,7.92934228004159e-09,0.0711650741740048,0.621162619008767,67,1
"11",0.0365266632158309,33425.3724492532,1,1,1,16207.6664108317,0,0.716279427520931,2378.71910964484,1926,0,20762.5918919216,0,-9999,0,-9999,0,0,18.6526957454656,0,18.6526957454656,7.92934228004159e-09,0.0711650741740048,0.621162619008767,67,1
"12",0.0968943931953982,25354.8213637602,1,1,1,13110.5940473499,0,0.536026225192472,352.630818057424,1959,0,21670.5002333257,0,-9999,0,-9999,0,0,19.5446233150617,0,19.5446233150617,3.24995945826797e-09,0.0139078407612621,0.854689525215881,70,1
"13",0.0466992841251194,30955.8428231194,1,1,1,15128.6393709015,0,0.704424612689763,1599.42665899772,1926,0,20542.2485251531,0,-9999,0,-9999,0,0,18.7753311524776,0,18.7753311524776,7.0141861031832e-09,0.0516680055567146,0.663598424456759,71,1
"14",0.0854221134120598,25837.7644696568,1,1,1,15932.9683241667,0,0.336821472737938,541.824590627719,1959,0,22974.1823801175,0,-9999,0,-9999,0,0,17.2499704230633,0,17.2499704230633,3.22428210023405e-08,0.0209702581376196,0.889170671367401,80,1
"15",0.0854221134120598,25837.7644696568,1,1,1,15932.9683241667,0,0.336821472737938,541.824590627719,1959,0,22974.1823801175,0,-9999,0,-9999,0,0,17.2499704230633,0,17.2499704230633,3.22428210023405e-08,0.0209702581376196,0.889170671367401,80,1
"16",0.0854221134120598,25837.7644696568,1,1,1,15932.9683241667,0,0.336821472737938,541.824590627719,1959,0,22974.1823801175,0,-9999,0,-9999,0,0,17.2499704230633,0,17.2499704230633,3.22428210023405e-08,0.0209702581376196,0.889170671367401,80,1
"17",0.0854221134120598,25837.7644696568,1,1,1,15932.9683241667,0,0.336821472737938,541.824590627719,1959,0,22974.1823801175,0,-9999,0,-9999,0,0,17.2499704230633,0,17.2499704230633,3.22428210023405e-08,0.0209702581376196,0.889170671367401,80,1
"18",0.0854221134120598,25837.7644696568,1,1,1,15932.9683241667,0,0.336821472737938,541.824590627719,1959,0,22974.1823801175,0,-9999,0,-9999,0,0,17.2499704230633,0,17.2499704230633,3.22428210023405e-08,0.0209702581376196,0.889170671367401,80,1
"19",0.0854221134120598,25837.7644696568,1,1,1,15932.9683241667,0,0.336821472737938,541.824590627719,1959,0,22974.1823801175,0,-9999,0,-9999,0,0,17.2499704230633,0,17.2499704230633,3.22428210023405e-08,0.0209702581376196,0.889170671367401,80,1
"20",0.0548041947963648,27947.7444757395,1,1,1,15464.0556001104,0,0.0962975649163127,1274.11575106834,1926,0,21132.1831624257,0,-9999,0,-9999,0,0,18.1468175465102,0,18.1468175465102,1.31503488979617e-08,0.0455892156941094,0.75613197268101,81,1
