"","r_max","K","catch_multiplier_1","catch_multiplier_2","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2017","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2017","draw","save"
"mean",0.0870184279328252,26539.7046902968,1,1,1,15497.1535714633,0,0.514218103347742,744.144656338094,1954.8177,0,22559.4782038631,0,-9999,0,-9999,0,0,17.6239978008643,0,17.6239978008643,2.96289418881668e-08,0.0252376921521413,0.860934563613925,16939.881,1
"median",0.0917091389736161,25646.5368736731,1,1,1,15477.4217753438,0,0.513908336753957,440.100101821343,1959,0,22749.1892815005,0,-9999,0,-9999,0,0,17.363818708659,0,17.363818708659,2.87732785491198e-08,0.0171825186590797,0.88970787169695,16993.5,1
"2.5%PI",0.0304820278420462,23940.2416856025,1,1,1,13526.3785721094,0,0.0238689049147069,202.651793885005,1926,0,20112.8471404584,0,-9999,0,-9999,0,0,16.6270095376246,0,16.6270095376246,1.79489809521262e-09,0.00833077286760114,0.587377236275869,976,1
"97.5%PI",0.117193468144629,34980.6238183347,1,1,1,17598.6037589057,0,0.980298214126378,3184.77522879962,1968,0,23795.6182701676,0,-9999,0,-9999,0,0,20.1383176757673,0,20.1383176757673,6.01148139380479e-08,0.0921274175376414,0.956786458389728,33099,1
"5%PI",0.0405679718005704,24038.6019333556,1,1,1,13830.6662471732,0,0.0547582192812115,212.86718556648,1926,0,20708.5756916845,0,-9999,0,-9999,0,0,16.6725221067534,0,16.6725221067534,3.27712171474153e-09,0.00881500568916837,0.661498622328984,1867,1
"95%PI",0.116049459388782,31710.2766415428,1,1,1,17239.3396109808,0,0.960502780042589,2039.58875199525,1968,0,23647.303498023,0,-9999,0,-9999,0,0,19.5363003328857,0,19.5363003328857,5.74401611454469e-08,0.0651003289301691,0.952083781865321,32214,1
"min",0.000954321702942252,23583.8616008303,1,1,1,11979.1954025859,0,3.11208423227072e-05,161.26662692764,1926,0,16183.313369649,0,-9999,0,-9999,0,0,16.5292131912048,0,16.5292131912048,8.3369657020419e-11,0.00669681309679948,0.233562712669072,17,1
"max",0.117997818563133,69387.0943688629,1,1,1,19392.3887737328,0,0.999649837380275,17792.4928854456,1968,0,24645.9234432231,0,-9999,0,-9999,0,0,23.2077366974593,0,23.2077366974593,6.62909008533e-08,0.280357231916745,0.978058048574656,33962,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
