"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.094","0.096","0.056","0.083","0.108","0.117","10,000"
"2","$K$","23,745","23,556","22,653","23,059","24,225","25,858","10,000"
"3","$N_{min}$","   454","   356","   200","   274","   523"," 1,251","10,000"
"4","$N_{2006}$","13,130","13,078","11,290","12,389","13,803","15,342","10,000"
"5","$N_{2008}$","14,982","14,958","13,270","14,327","15,608","16,886","10,000"
"6","$N_{2012}$","18,493","18,505","16,966","17,974","19,028","19,924","10,000"
"7","$N_{2019}$","22,210","22,227","21,350","22,030","22,431","22,860","10,000"
"8","$N_{2030}$","23,552","23,480","22,635","23,024","24,022","24,780","10,000"
"9","Max depletion","0.019","0.015","0.009","0.012","0.022","0.048","10,000"
"10","Depletion in 2006","0.553","0.551","0.486","0.527","0.577","0.628","10,000"
"11","Depletion in 2008","0.631","0.63","0.559","0.604","0.657","0.71","10,000"
"12","Depletion in 2012","0.78","0.784","0.68","0.751","0.813","0.861","10,000"
"13","Depletion in 2019","0.937","0.948","0.835","0.921","0.964","0.979","10,000"
"14","Depletion in 2030","0.992","0.997","0.957","0.992","0.998","0.999","10,000"
