"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.091","0.094","0.054","0.08","0.105","0.116","10,000"
"2","$K$","28,221","27,742","25,327","26,703","29,258","33,735","10,000"
"3","$N_{min}$","   476","   372","   197","   284","   560"," 1,308","10,000"
"4","$N_{2006}$","13,011","12,954","11,193","12,310","13,653","15,123","10,000"
"5","$N_{2008}$","15,023","14,998","13,294","14,386","15,620","16,927","10,000"
"6","$N_{2012}$","19,243","19,250","17,437","18,610","19,866","21,045","10,000"
"7","$N_{2019}$","24,888","24,916","23,133","24,384","25,438","26,372","10,000"
"8","$N_{2030}$","27,674","27,496","25,280","26,593","28,634","30,808","10,000"
"9","Max depletion","0.016","0.013","0.008","0.011","0.019","0.04","10,000"
"10","Depletion in 2006","0.462","0.462","0.396","0.438","0.486","0.536","10,000"
"11","Depletion in 2008","0.535","0.535","0.446","0.506","0.565","0.62","10,000"
"12","Depletion in 2012","0.686","0.693","0.543","0.647","0.733","0.792","10,000"
"13","Depletion in 2019","0.887","0.905","0.71","0.856","0.936","0.963","10,000"
"14","Depletion in 2030","0.983","0.993","0.9","0.982","0.997","0.999","10,000"
