"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.0921458465974908,28122.3122284536,1.01849283636361,1.71046887238134,14996.5337277388,0,0.549320032537216,461.969796773914,1958.394,0,14996.5326196128,19231.1957822703,12975.4120003557,24865.8399044714,27603.3966404837,0.0915602559156603,0.061668483695674,0.0545720029269013,0.511146261713308,0,-9999,41.1327431665356,0,17.2268514342747,0,58.3595946008103,5.83210622808784e-26,0.0158852383401725,0.535780812626156,0.688298587128142,0.462888651614827,0.889137937052618,0.983482475897952,22177.02,1
"median",0.0937374028712511,27665.63470665,1.01841724218891,1.70942954229027,14970.6720120739,0,0.577787548885681,371.264671088689,1958,0,14970.6743790611,19222.6839619756,12906.1263920526,24869.5338646414,27433.9636845519,0.0932056170340818,0.0622768407595835,0.0536328749539597,0.510265350359551,0,-9999,41.0840937079089,0,17.0128036090398,0,58.0918834885705,5.90222275153291e-26,0.0134219461824065,0.535582373450685,0.693760497785217,0.460317106589492,0.90643146399868,0.993162388455124,22030.5,1
"2.5%PI",0.0544714091019705,25241.0552434041,1.01318654970914,1.56344931115822,13198.3577616513,0,0.0295100538816769,196.86709512824,1926,0,13198.277628426,17488.3053447429,11124.034610276,23169.5955314259,25197.0808761003,0.0536321206431912,0.0425982303660923,0.0257951163779893,0.466486242903588,0,-9999,40.6377178281209,0,16.4237217353755,0,57.4195716602249,3.78288401743456e-27,0.00763497711278943,0.449100428715656,0.544267841952186,0.397018466404929,0.712815404776109,0.908896629643743,1013.825,1
"97.5%PI",0.116350133583148,33843.2283200852,1.02383123770479,1.85562021830345,16939.1373991442,0,0.983395257696975,1283.87069957443,1968,0,16939.1376806969,21009.3079362207,15154.7836681376,26278.9142232607,30929.1046363258,0.115973142056318,0.0761510422643649,0.0830709881543153,0.559426335541937,0,-9999,42.1333226686581,0,19.1779579297296,0,60.8393193845396,1.15610405030147e-25,0.0391432553192497,0.625734655986459,0.796036976311623,0.541447128384252,0.963386157010736,0.998838468441237,43135.325,1
"5%PI",0.0627954491959652,25474.0239190569,1.01394125617447,1.59478957802856,13492.3525099584,0,0.055844872246962,209.124747441175,1957,0,13492.3490262546,17736.9971546552,11415.635638688,23702.2655843266,25434.7810752161,0.0617711034717136,0.0461882905030861,0.0302084026659837,0.472905476842444,0,-9999,40.6739538868485,0,16.465357788881,0,57.4800769022037,7.10558041100323e-27,0.00801676483447558,0.462018159990027,0.571452723753385,0.405100804990281,0.75572376176816,0.935588659205909,2012.45,1
"95%PI",0.114990750414995,32185.9259610926,1.0230010635334,1.82810208720729,16634.9048635573,0,0.971545203961432,1047.63834617156,1968,0,16634.9055867275,20710.3779304662,14713.0367016316,26104.1887416147,30352.7813177372,0.114574850742106,0.0747522227191332,0.0799780556433217,0.552814794098913,0,-9999,41.7623220272376,0,18.6774030604852,0,60.2089170749105,1.08822772760693e-25,0.0324190397079234,0.609291082414574,0.782524738478969,0.527236769551314,0.958853689494392,0.998596996832897,42121.5,1
"min",0.0310050698653795,24661.4412381119,1.00946109886011,1.48561633859284,12562.3596059158,0,1.55039597302675e-05,174.00045637646,1926,0,12562.3626799236,16297.1417722738,10453.4325976825,21465.422871113,24636.3102019659,0.0299502122269883,0.0265034518417138,0.0161588968660948,0.443650851201494,0,-9999,40.4940378959547,0,16.3357944364807,0,57.2511568804444,1.33081116999933e-28,0.00649599897857311,0.391125708891977,0.455314348763639,0.361584050092927,0.556588146191823,0.699317678045337,3,1
"max",0.117930860979483,40928.8783268155,1.02722059670044,1.94482556162154,18317.0894861687,0,0.999169621616602,3111.45035149199,1968,0,18317.0893988012,21993.647933116,16352.2413991425,27472.7501225273,33506.2709820955,0.117616136918937,0.0820947589966683,0.0909433423180891,0.591626282559532,0,-9999,44.0832222398645,0,21.4098203463032,0,64.1865939452593,1.36816502523524e-25,0.0760209045224055,0.710678819731029,0.853324423677794,0.626728837288148,0.976571032390894,0.999306369263555,44356,1
"n",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
