"","N_1830","N_1831","N_1832","N_1833","N_1834","N_1835","N_1836","N_1837","N_1838","N_1839","N_1840","N_1841","N_1842","N_1843","N_1844","N_1845","N_1846","N_1847","N_1848","N_1849","N_1850","N_1851","N_1852","N_1853","N_1854","N_1855","N_1856","N_1857","N_1858","N_1859","N_1860","N_1861","N_1862","N_1863","N_1864","N_1865","N_1866","N_1867","N_1868","N_1869","N_1870","N_1871","N_1872","N_1873","N_1874","N_1875","N_1876","N_1877","N_1878","N_1879","N_1880","N_1881","N_1882","N_1883","N_1884","N_1885","N_1886","N_1887","N_1888","N_1889","N_1890","N_1891","N_1892","N_1893","N_1894","N_1895","N_1896","N_1897","N_1898","N_1899","N_1900","N_1901","N_1902","N_1903","N_1904","N_1905","N_1906","N_1907","N_1908","N_1909","N_1910","N_1911","N_1912","N_1913","N_1914","N_1915","N_1916","N_1917","N_1918","N_1919","N_1920","N_1921","N_1922","N_1923","N_1924","N_1925","N_1926","N_1927","N_1928","N_1929","N_1930","N_1931","N_1932","N_1933","N_1934","N_1935","N_1936","N_1937","N_1938","N_1939","N_1940","N_1941","N_1942","N_1943","N_1944","N_1945","N_1946","N_1947","N_1948","N_1949","N_1950","N_1951","N_1952","N_1953","N_1954","N_1955","N_1956","N_1957","N_1958","N_1959","N_1960","N_1961","N_1962","N_1963","N_1964","N_1965","N_1966","N_1967","N_1968","N_1969","N_1970","N_1971","N_1972","N_1973","N_1974","N_1975","N_1976","N_1977","N_1978","N_1979","N_1980","N_1981","N_1982","N_1983","N_1984","N_1985","N_1986","N_1987","N_1988","N_1989","N_1990","N_1991","N_1992","N_1993","N_1994","N_1995","N_1996","N_1997","N_1998","N_1999","N_2000","N_2001","N_2002","N_2003","N_2004","N_2005","N_2006","N_2007","N_2008","N_2009","N_2010","N_2011","N_2012","N_2013","N_2014","N_2015","N_2016","N_2017","N_2018","N_2019","N_2020","N_2021","N_2022","N_2023","N_2024","N_2025","N_2026","N_2027","N_2028","N_2029","N_2030"
"mean",30000.1258424487,29541.9099722668,29180.8633361237,28891.8185978803,28657.5395379212,28465.7513136664,28307.4475810374,28175.8635344442,28065.8216888218,27973.2982751395,27895.1262862595,27824.0099177088,27763.5136193451,27711.8474118446,27667.5576864483,27629.4566426233,27596.5683336483,27568.0869264238,27543.3440808113,27521.7832290003,27502.9391370639,27491.1980760657,27480.6747775958,27471.2289672482,27462.7375053228,27455.0922138158,27448.1979884554,27441.971155913,27436.3380428797,27431.2337288031,27426.6009581643,27391.5123762722,27361.8066051787,27336.560057893,27315.0219585079,27296.5791458562,27280.7287514555,27267.0567920063,27255.2212633918,27244.9386995003,27235.9734236971,27259.0057253929,27278.0869255596,27293.9037279471,27307.0227790842,27317.9111703757,27326.9537386064,27334.4675315348,27340.7138226926,27345.9080425819,27350.2279594319,27353.8204019989,27356.8067755606,27359.2875834691,27361.3461318743,27363.051564989,27364.4613524829,27365.6233289022,27366.5773669507,27367.3567515358,27367.989309203,27368.4983375168,27368.9033707262,27369.2208113431,27369.464451799,27287.7626389358,27301.0751796972,27312.0850792868,27321.2015724891,27328.7596828059,27335.0336864044,27340.2482133674,27058.9420111891,26821.802062609,26905.7110309038,26491.8666963113,26019.046763932,25948.8984282009,24759.5052866865,22881.413730743,19752.2127721523,13348.0036464405,7875.30619384308,5308.93800777915,4608.20393957384,3674.94338402821,2061.27473514451,1682.23298368266,1628.74182422079,1561.68616994861,1508.52436354697,1460.5812602962,1511.82427833609,1206.30957281589,1108.27330422063,865.879628770857,682.852167299517,734.609462104135,798.167731098437,848.135905693868,870.041361846036,836.879885259643,891.294057582272,945.554801166626,893.735339986957,913.537800435321,944.285098562526,919.761591763025,753.431680378328,818.309782424549,887.011869314908,927.307645419605,994.663712241882,1081.3802556002,1171.93000497658,1213.72225471336,1078.06081302552,1141.85860163786,1206.39800140111,1263.61608823799,1290.45470050367,693.421119528253,706.865396719289,732.648505984213,652.733322282648,663.173987362536,621.48168824871,503.52224336506,482.560847109151,505.313157958799,530.95071874458,546.48775366616,577.470206994048,599.837650008819,636.21634667967,687.876985824164,691.025159529717,747.13374807313,615.574469121926,664.140687112077,716.776911558536,773.840291254802,835.720411420405,900.805295482895,973.446171445091,1052.2810292969,1137.86047480154,1230.78544104665,1331.71181239639,1441.35544887068,1560.49763467983,1689.99097167664,1830.7657333721,1983.83668702747,2150.3103789954,2331.39286031727,2528.39780339413,2742.75492335505,2976.01856553653,3229.876247877,3506.15684685934,3806.83797846077,4134.05193911063,4490.0893202251,4877.39907396632,5298.58336412877,5756.38495833575,6253.66418003244,6793.36152182555,7378.44092588391,8011.80750537884,8696.19223745974,9433.99516784535,10227.0784185783,11076.5015958775,11982.196270572,12942.5846470545,13954.1620369945,15011.08429215,16104.8286757552,17224.0241539042,18354.563064074,19480.0937291043,20582.9373841728,21645.3712764431,22651.097818661,23586.6276078956,24442.2944946989,25212.7121852972,25896.6387340098,26496.367393653,27016.8491394072,27464.7563770837,27847.6429057194,28173.2815178781,28449.1979488659,28682.380628531,28879.1285403196,29044.9973171149,29184.8092091053,29302.700614796
"median",29394.3864744575,28983.8421900369,28643.6903176284,28317.1203562313,28105.4282833982,27915.8981225167,27803.1337798471,27691.651156772,27615.2388096027,27539.2346717839,27456.1096746485,27385.6712379787,27325.9385571521,27282.6596048237,27248.6216291247,27218.6278066243,27196.9229541893,27176.605329631,27152.8190088861,27139.149223599,27130.9765958568,27129.2142056872,27124.4739049885,27118.4446382676,27105.1210861223,27101.2402124719,27099.7208071995,27098.452892505,27097.3946985939,27096.5114241004,27096.183813986,27064.3981593807,27035.071362872,27012.0561264849,26992.861828968,26976.8436903106,26963.468750462,26953.6263518098,26947.8261814996,26939.4680090595,26932.5691107422,26961.0560891783,26983.9323594311,27002.3063300321,27017.0693990504,27028.9370659889,27037.3848617477,27043.3823789443,27048.8672481115,27053.7379870289,27057.6978233139,27060.8045183804,27063.6800847483,27066.6707537198,27069.2459659376,27071.4702716445,27073.3969006219,27074.5874422713,27074.9765595231,27075.2786361705,27075.513155812,27075.695238187,27075.8366169393,27075.9463983044,27076.0316497755,26993.5803264166,27011.2705980333,27024.5927437903,27035.2630276874,27043.8217725512,27050.5615360851,27056.0645902848,26774.1363363865,26550.1025213899,26634.2040957274,26221.5992143031,25741.9544218271,25680.680565027,24500.1425144038,22644.5876893256,19545.934492809,13181.0330200459,7734.95906631185,5198.15316804282,4511.28964955789,3585.56282377012,1978.9361402326,1603.87948655075,1548.61729604547,1482.15198710381,1427.29869797656,1382.9012972798,1435.81151049494,1134.9473709565,1037.95712556673,799.920751024136,616.832503205378,667.540606288998,729.942621839845,779.08534512498,800.29124539327,766.532049176024,820.122720945654,873.652631033963,821.219093954362,840.197403165902,870.119401802922,844.740305006037,677.572890065046,741.143408003381,808.639714530341,847.752941433733,913.957796739987,999.926928000745,1089.24357721346,1129.74956177468,993.83433560686,1056.61793016982,1120.24170692624,1176.054970277,1201.25548542351,602.635638455397,613.349566172024,636.58279375711,553.738051036502,560.651900538834,515.369551277825,393.276769226323,368.176731346442,386.509119060461,407.493276990074,417.547461911164,442.978214827931,460.19590654253,491.066769310965,536.637633162468,533.942303924087,584.008442370967,446.08237148591,487.517946016143,533.416371986556,583.882226515021,638.043747279803,695.053910912332,759.97096682104,831.962740082831,911.100998812386,998.179382138415,1094.03523018414,1198.24087093845,1308.84979695007,1430.29375061378,1560.7993568635,1705.50959112005,1864.43817489521,2043.05621762973,2232.77578534446,2444.28803338999,2672.78860599774,2920.91263497149,3191.95306680574,3490.5726334394,3823.60196862925,4175.98650166381,4580.90406047261,5016.28014430635,5483.28567810822,5994.32335942009,6565.63486762609,7158.41535036254,7806.42644681211,8496.94594301378,9265.14803510478,10089.955407569,10944.2306911414,11870.1145960581,12854.7408109227,13873.6763596031,14934.8998327536,16072.3973070608,17205.367198109,18336.5910458226,19461.4757414417,20565.9388548502,21648.2493881387,22654.7293590599,23610.7280733639,24485.941915703,25218.053556133,25881.5286298531,26475.7687268249,26980.1749198442,27403.7647491262,27731.6833868747,28027.1395005337,28279.2483947971,28501.7728142458,28652.5959526311,28823.9464858828,28945.1697011841,29040.4217452842
"2.5%PI",26130.615560997,25805.6601731579,25537.3196647111,25345.6277102928,25159.0894921179,25034.8221056079,24924.6073301986,24859.1280066165,24787.2604880909,24714.5778150126,24673.1271247412,24640.0581708569,24606.5340964349,24570.7466884709,24536.6710060418,24508.8306573668,24489.2462807024,24483.942670937,24479.8440570183,24476.6747962867,24467.5446542923,24459.9728122381,24453.6267821045,24448.3069315691,24443.8533244345,24440.1576071431,24437.0571219417,24434.4557282751,24432.2728954393,24430.4411438503,24428.9039129131,24395.5447796403,24367.5682354977,24346.6236678019,24331.3858959852,24319.2279789117,24309.5212024728,24301.7764985212,24295.6356658358,24290.7336072621,24286.8235135985,24313.8667787387,24335.4534928918,24352.6658249783,24366.3799053326,24377.3002093855,24385.9917704638,24392.9068797515,24398.4070109792,24402.7806948297,24406.2580102421,24409.0222819744,24411.2194909656,24412.9691648096,24414.3773715385,24415.4987007586,24416.3916869172,24417.1029151188,24417.6694581547,24418.1208181027,24418.4804725049,24418.7671052304,24418.9955860702,24419.1777502117,24419.3230183951,24339.4267624881,24355.8146131536,24368.8772854025,24379.2841170149,24387.5718266642,24394.1699865682,24399.4219059919,24120.6455097846,23886.5626102004,23991.7549668273,23600.0027393462,23171.3716575588,23152.1972417976,22087.8111833703,20414.085113435,17650.948629269,11836.0158152633,6896.85666681318,4601.35125888119,4004.56370670594,3183.4039212694,1694.13559443872,1344.51755860359,1310.0667785206,1261.16364058906,1224.26012264679,1192.13175360902,1258.951472896,971.207874986012,884.951258660245,649.856953068358,466.277558282233,513.389091846719,573.137234631641,620.419521211775,640.494962044791,605.665567355004,657.755432740055,710.687127483441,658.589669734634,676.972908682107,706.694091164716,681.610080555982,513.715342097804,573.466556130005,638.126252547911,675.627437011015,740.94677545628,827.118852366078,918.890078858654,963.829390925301,833.610897855605,899.136743992532,967.131469013542,1030.26792033033,1066.26596109933,478.833346189753,488.449047043727,510.472044246023,426.996529567797,431.960191249836,384.096944169677,258.662079073008,226.823768898014,236.937358646795,248.96411192502,250.183737140652,265.780984657438,271.99425204645,291.222522434008,325.196232577542,310.034096439,345.629502290643,193.674356419675,216.277782760976,241.522938434275,269.715925581881,301.199768534697,334.178874884759,373.313599587687,416.421147931226,464.472601405198,518.670188448488,579.331737192053,647.086714670022,720.589041173569,801.684806037575,894.08134740393,997.120777729079,1110.37254262957,1234.70512640436,1374.09241516477,1526.42518885805,1697.02644099697,1887.37694675081,2104.58703863424,2346.80491320042,2616.86475426214,2913.61507248192,3242.5585732285,3610.21791777249,4015.99756864112,4475.95279540199,4985.26450350204,5560.52501440832,6176.9017763101,6847.60197611768,7589.36618458326,8392.1055534338,9304.56090000242,10240.7021137944,11260.8645385149,12269.4913016883,13346.0711298212,14518.2317173843,15577.618673085,16525.2015346361,17524.4573518897,18527.3685465134,19443.8393531688,20368.4526708531,21100.0614764736,21890.7635853185,22682.4739914634,23421.897478053,24137.7505186157,24702.9294915584,25101.3022696651,25437.3205485843,25625.1797398159,25783.6364291788,25871.4014209949,25960.6791585761,26006.7618485465,26057.3100237919,26071.9223563704
"97.5%PI",37407.3549368041,36900.9040472775,36473.3714999768,35969.2906481867,35532.4776143332,35356.3656785357,35048.0801335616,34790.8410047152,34541.5089167793,34363.3013332242,34193.0430709521,34101.0499178616,33992.9905654961,33899.6706364186,33814.1975343162,33743.0105517863,33678.0550881249,33564.8171644365,33459.1181746218,33442.1610320455,33430.2978219732,33427.1368428302,33424.4671915899,33418.5481381752,33402.4577495835,33386.3181834973,33372.0539764838,33359.4441568772,33348.2944444748,33338.4338865069,33329.7119472734,33292.5143127563,33259.6224884307,33230.5214082723,33204.7611030633,33179.6794634643,33159.2710963736,33141.2201459962,33125.2065977089,33110.9968999332,33098.3850313988,33116.617925732,33132.803000795,33112.8944456605,33087.6824891901,33084.8447760442,33094.7289033369,33102.6233118152,33108.9290341957,33113.9665927848,33117.7126296494,33119.4655311104,33095.9358784095,33052.5999358689,33056.2391803483,33059.4071893958,33062.1650413441,33064.5658920723,33066.6560023085,33068.4756321599,33070.05981985,33071.4390595271,33072.6398911478,33073.6854137901,33074.5957323047,32992.2973577481,33003.8228598991,33013.8405481954,33022.5484883499,33030.1186611369,33036.7003834183,33042.423291814,32737.284487396,32471.1764673407,32547.4001182629,32068.5569040202,31518.6602368647,31402.0796723132,29951.1126321613,27735.8504391648,23951.2006415952,16266.3620153069,9642.01817820922,6640.77730039875,5756.03487780065,4606.33248671771,2809.75597368214,2382.34531810394,2300.47483161987,2204.11323876457,2122.79247927066,2047.68860932519,2080.86569418139,1754.00090235635,1660.50804283198,1427.84442591098,1249.44977579839,1312.60198453242,1385.24239708094,1442.12411754392,1469.43792097303,1441.03530368147,1502.00736457816,1561.22322920698,1512.3228427787,1537.36624660808,1572.98228106183,1552.31595185224,1390.53304608188,1467.11999855013,1545.87528470321,1594.74091439488,1669.77004002563,1763.53015938136,1861.12595807709,1907.33204105414,1775.02048246952,1846.81345447428,1917.64277178234,1979.30874184291,2008.84504972644,1414.00783652736,1449.63647923461,1498.50943589823,1442.30479357758,1480.56088302052,1468.08217713725,1378.61466835159,1388.37139449431,1444.72748511995,1505.0579699456,1556.25604605102,1624.47231796649,1684.99220185346,1760.96883141901,1853.21021220899,1897.01787551503,1996.37410978206,1907.35247053241,2007.24907554037,2116.64185118587,2241.11589789287,2363.03918884515,2485.7637041694,2626.6280628936,2778.16745302025,2938.39617628358,3107.80126584318,3286.89469957177,3476.21417669232,3675.60087934813,3886.18981114906,4094.85879588993,4329.92764059999,4586.53675815862,4857.31726928168,5115.70958194613,5380.24475138426,5658.15821698053,5963.49079202749,6341.06018602156,6741.29742734437,7089.53935041229,7493.89666888192,7931.53206642596,8349.00608468585,8867.75569342082,9389.84931511465,9875.97399249455,10327.1907268295,10896.7466092554,11491.4030436169,12127.9047036192,12862.4483542153,13578.2732353298,14345.2640136843,15194.4135823145,16161.0066461718,17059.7690240195,18061.45613256,19151.7426542722,20299.2960241939,21513.9674645752,22604.3928221375,23736.1103346282,24723.9486855634,25679.2656725402,26791.6651737229,27693.1614570773,28528.1254094903,29412.7913173339,30289.3801272061,30894.5182701026,31431.1818982449,32059.9989908598,32607.4165776821,33146.9204978984,33477.8404144069,33804.5014162673,34109.4475249381,34328.5791816356
"5%PI",26564.5434634636,26215.8298649435,25869.8694983162,25616.7181819002,25442.0132769542,25293.5842782108,25152.0018961607,25071.6036815445,25007.7730436961,24933.7191707006,24876.5848813831,24842.0969101516,24793.7892773307,24775.2444539682,24761.7744657915,24751.470772739,24742.3591039742,24735.7081422677,24730.7469301521,24723.2524402164,24709.2582917826,24711.7098192553,24713.8976898836,24715.543485936,24716.8428320813,24718.0193707488,24718.917312918,24718.5031753832,24715.1085265127,24712.2136636307,24709.7449797804,24678.4452701204,24651.8895360119,24629.3295928635,24610.1129262065,24593.7035655576,24579.461419343,24567.2902048829,24556.8935954615,24551.3831229646,24547.5664711152,24574.8380808796,24596.5185945691,24613.7232777675,24627.3690926595,24638.1884153075,24648.3554340766,24657.7673595197,24665.6766921796,24672.3224595078,24677.9059924312,24682.5967578927,24685.7971419089,24687.0732565679,24688.0649304196,24688.836662531,24689.4381640498,24689.9077701038,24690.2750626326,24690.5628863558,24690.7888982862,24690.9667588456,24691.1070476696,24691.6130265695,24692.1791573389,24615.2398753557,24629.2800263758,24643.564188453,24654.5645777855,24663.0351509607,24669.5581099259,24674.582324902,24403.2746722297,24183.0163528412,24270.1598513107,23872.1366512671,23400.1675829405,23364.0893838915,22276.9385171218,20624.0573054335,17791.9241414772,11933.8214371712,6969.30838654871,4659.48625615955,4057.82036932346,3232.88685664824,1724.37595051446,1374.00079552955,1333.34006040485,1281.35320134822,1245.38214034782,1210.30965000206,1275.47965436039,985.382210296026,896.955777261023,660.571812398014,476.705288799008,524.118395824829,584.109180952318,631.631602844038,651.726087618831,617.012314713564,669.229647810883,722.307555718307,670.140404792847,688.600191220712,718.362476872016,693.317734631178,525.377969429495,585.296327576511,650.251570982125,687.997055341827,753.688743077176,840.003334189118,931.791190803738,977.166192726853,845.812713926775,912.135603646748,980.019998741094,1042.37097797038,1076.09856946063,488.02899733166,497.852672011725,519.570747393312,436.348074988733,441.075207232657,393.443296179,268.17290947859,236.53168905434,246.979663596896,259.576153613336,261.69816239768,278.55093443916,285.540650051953,305.978569106066,341.006416909834,327.059670003152,363.968967326013,212.305439692295,236.627846672701,263.404408995866,293.404205764066,327.66361500588,363.241570901577,404.887375888719,450.75338826613,502.16190931018,557.19889033441,618.215228251849,688.247945056401,768.751800858935,856.104543547751,952.676878212794,1059.77767524768,1179.02266397627,1311.6680511873,1459.21236579997,1623.31866609751,1805.83035743082,2011.0915444433,2246.36899109403,2488.99996087537,2774.02494479024,3089.05141125112,3434.56013067747,3811.31215887648,4231.16997720089,4697.41373013428,5212.94654176049,5782.49163990082,6400.27548393144,7073.66014736583,7838.28488381233,8629.37643820625,9498.94734923614,10457.5625500309,11450.9177580894,12492.2866080219,13600.0342149666,14729.8673084476,15772.0485572523,16825.1248784451,17869.0889181996,18877.0858247835,19818.0408763373,20731.1858951605,21597.8176885638,22475.8301761964,23258.4195525949,24022.9095257564,24613.1516066287,25111.2334534753,25432.938575231,25733.7055685187,25977.7603792221,26132.0734915654,26254.443721357,26327.0676930709,26422.7933461232,26468.7823124232,26485.5564396537
"95%PI",35574.2728575249,34927.5337895855,34545.7139696742,34115.9187757629,33800.89423779,33596.4969310329,33397.2446842084,33195.8921328063,33116.9121916425,32954.6489929282,32807.9285279332,32672.4657287272,32583.275612646,32461.4566334928,32345.800010986,32242.9146554411,32198.0652430763,32175.718213218,32125.2044492909,32117.3590679644,32070.309405472,32070.5927713216,32028.296222184,32023.7799720365,31993.6688312854,31982.2520590725,31972.1763562064,31963.0827730365,31915.9992677629,31810.3561088635,31780.503073801,31692.9817411668,31664.5921154856,31638.8163555404,31581.393659732,31524.5844491366,31471.3855777987,31432.947213488,31410.1318695954,31400.9237538462,31395.9079006384,31422.5237556377,31442.6577976988,31458.9144684416,31472.0154372726,31482.5514183087,31477.6708977233,31464.5242154754,31452.0047792929,31455.8621881515,31461.8286906196,31467.2203413087,31472.0940026366,31476.5006427376,31480.4859935373,31484.0911278019,31487.3529661622,31490.3047235296,31492.9763029592,31495.3946438512,31497.5840303863,31499.5663652507,31501.3614129903,31502.9870167263,31504.4592914524,31420.9067070395,31430.4052460728,31437.2093301354,31420.1370895756,31397.5721905222,31375.6061747704,31365.9640529354,31093.644451557,30872.0277158114,30960.0139546986,30500.423028275,29952.9582321039,29861.7091211458,28449.8292001432,26383.7411800667,22780.9253188257,15507.2295184753,9237.58938426424,6345.30450537738,5486.41174317774,4420.63125481984,2616.71218817522,2208.7213920433,2135.01276682059,2047.93582541164,1974.94938256496,1910.64127418398,1948.47607408522,1619.11122641603,1509.61464277932,1264.86229227994,1084.05862508559,1143.69051576798,1214.12096082775,1269.53378854058,1295.73430934588,1266.25273041826,1325.47780432384,1383.24006754151,1333.68525788376,1357.37267967372,1391.66119688879,1370.07927680587,1207.85389867679,1281.8122938034,1358.26048190592,1404.80689404983,1477.58932059933,1568.04130349227,1659.95293529337,1700.52932866045,1562.56434376878,1627.70034929845,1691.7308801207,1746.4475921385,1768.86154531721,1167.15851948401,1192.89035139708,1234.66550732973,1171.02781417165,1201.20665875011,1180.29419589143,1082.7788418791,1086.83442706737,1136.89110408097,1190.87008343198,1235.89317153728,1297.94159450458,1349.93002075927,1417.07292093936,1500.40662367438,1535.54754407474,1625.72751487032,1528.27337504854,1619.46610393815,1718.42586849759,1823.41981865621,1934.81299368356,2052.2441948206,2181.6064117484,2314.93566497685,2453.16775869359,2600.69510112091,2759.56295236013,2927.86870524698,3113.69588934166,3309.21683789131,3503.44922691589,3717.05963777675,3953.07214721256,4211.36790480176,4485.52023094404,4764.95054855599,5062.59243529391,5385.91248450981,5729.3607618647,6084.58209478161,6444.85133035655,6832.21164727696,7224.1154771232,7641.55957384575,8116.50394915145,8610.61338141205,9160.27078996324,9724.44575614307,10346.6449717786,11005.0684809426,11650.5216925279,12370.9809394055,13122.9295177151,13956.4764954079,14795.564419552,15609.1947241899,16652.5509781164,17722.3130617837,18841.5549986962,20030.734443135,21155.9581369008,22278.7706161326,23341.9863697879,24390.4394338367,25335.6406356796,26246.6846594899,27053.2584274694,27870.994751145,28608.9920951976,29334.2305822576,29888.8053543547,30401.0714012403,30773.3261781863,31266.6894579811,31712.3137281335,32097.0149226811,32435.3549534529,32713.1014663888,32944.0685736227
"min",25074.5198434797,24853.6808883922,24679.0228303419,24550.3815106022,24454.9228587349,24383.7010448769,24330.3491026729,24242.0760624759,24161.9629803271,24098.9097072008,24049.1371853245,24005.1565426109,23970.2930011169,23942.6124840673,23920.6073241843,23903.0964146942,23889.1508158942,23878.0376135778,23869.1770995282,23862.1098259658,23856.4710745496,23856.5719053585,23856.6523843092,23856.7166190225,23856.7678881613,23856.8088086917,23856.8414694067,23856.8675375132,23856.8883437134,23856.9049501196,23856.9182044629,23827.1869254559,23803.4429769325,23784.4604524474,23769.2716685843,23757.1102062175,23747.3674156155,23739.5588955232,23733.2984617518,23728.2778050301,23724.2505130213,23750.761325512,23772.0211991747,23789.0541192023,23802.6901765006,23813.6001779612,23822.3248567122,23829.2992242771,23834.8726828465,23839.3255156877,23842.8823316804,23845.7229781327,23847.9913678226,23849.8025993295,23851.2486881784,23852.4031718929,23853.3248051628,23854.0605216889,23854.6478061857,23855.1165927015,23855.4907830187,23855.7894606394,23856.0278610485,23856.2181469713,23856.3700276797,23777.6178182985,23793.5356224207,23806.2764092532,23816.4684887229,23824.6180047446,23831.1319287347,23836.3370040629,23556.1225251184,23331.0461579778,23432.8512921929,23048.9398110394,22625.7491444755,22607.6520872099,21558.4085558785,19959.4221073811,17257.6768196792,11572.7934484745,6685.12415566189,4420.13646933347,3846.03422608052,3049.00731617567,1604.81243169236,1276.22321715146,1243.61369475868,1198.47195131574,1167.70238201719,1143.16179018128,1217.87839068451,939.7861797259,864.478800110671,639.603818695715,457.16342847801,503.753276384213,562.911461108369,609.750136504323,629.640871862866,595.084454729515,646.714411331729,699.335857173774,647.611829030109,665.863645780073,695.383838648193,670.573090127995,503.774144959032,563.115574891113,627.215705839662,664.366451447612,729.199837309905,814.825369387793,906.444919921165,952.033607196068,822.484559539682,888.639768530422,957.488463948896,1021.23370478419,1056.96808312908,469.186849496998,478.504464609117,500.146065706697,416.148136871939,420.241810319038,371.744394055872,245.07169998158,211.671078159583,220.266106242203,230.893851614152,230.525398306006,244.402463515311,248.686571642023,265.722768679808,297.012612941207,278.913728455965,311.756800249662,155.566872121654,173.885636949204,194.361501932206,217.248462078316,242.830414728782,269.38340547842,301.104288420129,336.560263570513,376.191060696502,420.488145436802,470.000790999586,525.342855448384,587.200343361557,656.339837957993,733.61789704792,819.991512976303,916.529742424301,1024.42661551972,1145.01543366614,1279.78455956956,1430.39478776798,1598.69835462179,1786.75959599178,1996.87717824562,2231.60769867696,2493.79025323777,2786.57127191745,3113.42848196892,3478.19221675246,3885.06136234498,4338.60991892117,4843.77831581656,5405.84110305533,6030.33929289424,6722.96134157191,7489.35161062025,8334.81957722065,9263.91826996607,10279.8588888323,11383.7348315242,12573.5494801025,13679.0414651218,14558.4056918498,15436.4227187315,16209.1742229954,16995.8911670118,17792.5802418724,18594.7056879973,19262.4703531376,19891.1428851717,20525.9120756568,21165.2339790652,21807.4404743134,22450.7513834855,23093.2903736535,23733.1046052583,24368.1879130483,24933.1808913681,24975.5162527428,25002.4946104928,25022.1573188552,25036.4712062735,25046.8823137743
"max",49211.0872564267,48620.5733927366,48068.1605136338,47549.98150075,47062.6965383964,46603.4038685542,46169.5684022154,45758.9640991319,45369.6270742672,44999.8171412673,44647.9860507802,44307.7868394883,43983.1685637592,43672.9944950632,43376.2398110484,43124.5478104493,42985.2199142316,42854.2513847575,42731.0486864208,42615.0703113739,42505.821149222,42407.3803454759,42314.5419674759,42226.9418869712,42144.2443536363,42066.1392946273,41992.3399223309,41922.580609427,41856.6149965216,41794.2143027249,41735.1658138254,41649.970474931,41569.2953883151,41492.8674405547,41420.4332599382,41351.7574748981,41286.6211568772,41224.8204248959,41166.1651922685,41110.4780385926,41057.5931924126,41036.6566632548,41016.7643882546,40997.8623044157,40979.8993371155,40962.8272169018,40946.6003092011,40931.1754558795,40916.5118276918,40902.5707867488,40889.3157582119,40876.7121104953,40864.7270433228,40853.3294830423,40842.489984655,40832.1806400624,40822.3749920769,40813.0479537802,40804.1757328488,40795.7357604963,40787.7066247108,40780.068007494,40772.8006258263,40765.8861761113,40759.3072818648,40675.3429988221,40673.136849122,40671.0367516088,40669.03758647,40667.1344830969,40665.3228077647,40663.5981519381,40395.1386904884,40139.3978139349,40162.271037418,39660.1584186022,39026.0885169601,38753.9154320747,37034.0854235385,34333.313159407,29762.7266738015,20827.14074523,13036.3092082059,9278.20090685456,8268.54366610788,7093.80030930723,5268.93748196241,4822.70415389631,4736.69988833057,4639.21912114871,4559.64428936919,4488.18206440394,4522.10116966769,4195.15468198766,4094.71082782392,3855.9809560098,3703.12847562232,3797.8194114218,3902.2345041003,3990.14113967162,4047.83817277302,4050.04039182594,4143.00498233604,4233.41265303067,4215.20326485985,4272.93140137931,4341.40688297087,4353.65999368613,4226.62699009281,4342.75706643235,4460.01698108826,4545.82339762894,4657.40760260084,4785.27885200657,4912.55286957151,4986.21596496485,4880.47591003225,4983.84100337722,5084.91902720523,5175.49288759081,5232.85492502706,4665.01004393017,4747.22755708571,4842.89274767677,4833.13230754814,4920.9425953841,4958.14513694523,4924.00051968163,4996.95556587281,5117.75318129558,5242.84929286349,5359.10895338581,5492.78693393206,5618.87362671262,5760.5998859191,5918.38446585693,6027.43168104518,6192.41219401955,6169.21842950375,6338.01562554663,6511.34993847321,6689.33552951769,6872.08868138124,7057.68950969435,7250.28060045599,7447.99909324934,7650.96927186421,7859.31725493192,8073.17090150002,8292.65970140273,8517.91464901706,8749.06809889574,8986.25360166608,9229.60571847933,9479.25981218922,9735.35181333139,9998.01795886977,10267.3945015721,10543.6173877778,10826.8219012272,11117.14227054,11414.7112378555,11719.6595860972,12032.1156222823,12352.2046142945,12680.0481785514,13015.7636160619,13359.4631944639,13711.2533737901,14071.2339739171,14439.4972819353,14816.1270980365,15201.1977189599,15594.7728585849,15996.904505914,16407.6317214634,16826.9793739837,17255.5458032214,18194.019699981,19159.2915729602,20176.1838824565,21298.43376556,22391.8443408898,23681.6846904846,25266.0541404365,26777.7288064936,28183.0754451134,29454.4869318409,30577.2510523718,31621.7759673596,32504.9558798418,33234.1376763598,33823.5607269595,34291.4107919543,34657.152228854,35051.5115058988,35572.6542114488,36011.4371667852,36377.3742056518,36680.0682428816,36928.7128676139
