"","r_max","K","catch_multiplier_1","catch_multiplier_2","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.0916598666365999,30000.1258424487,1.10389440520563,1.01850325129727,1.70590139507993,15011.0781507578,0,0.530545100179268,468.194009891722,1958.255,0,15011.08429215,19480.0937291043,12942.5846470545,25896.6387340098,29302.700614796,0.0911615927869363,0.0649370521119604,0.0547900709742499,0.504961345014191,0,-9999,40.9663995305762,0,17.1126075582697,0,58.0790070888459,7.83403938945322e-26,0.0150927863245804,0.503834997769583,0.654954640763493,0.433776753729764,0.869524587459553,0.979431058679228,175718.677,1
"median",0.0938001072299667,29394.3864744575,1.09907101960469,1.01839864795933,1.70665116059192,14934.6949633909,0,0.547385506797582,368.176731346442,1958,0,14934.8998327536,19461.4757414417,12854.7408109227,25881.5286298531,29040.4217452842,0.0932917457049993,0.0658925016931553,0.054984243631728,0.504286817791362,0,-9999,40.925946383192,0,16.8973343157926,0,57.7760475045313,8.09435682994835e-26,0.0126138871165051,0.504655106058557,0.663128202566493,0.432985127195858,0.891639998739615,0.991779722741616,176972.5,1
"2.5%PI",0.0553579055375769,26130.615560997,1.00780536886706,1.01307463421214,1.57187407170219,13346.0696458933,0,0.0274617640418001,193.674356419675,1926,0,13346.0711298212,17524.4573518897,11260.8645385149,23421.897478053,26071.9223563704,0.0545476982336631,0.0444467268925305,0.0270911370970855,0.457095372395758,0,-9999,40.500888491764,0,16.3262422911364,0,57.140282434264,4.33658486946562e-27,0.00691859836943788,0.403485797533233,0.493407691726121,0.357213405053806,0.676985514567329,0.89372612999669,8371.275,1
"97.5%PI",0.116042035573116,37407.3549368041,1.32430950060806,1.02403884761717,1.8421247762619,17059.76899206,0,0.983169398957398,1249.44977579839,1968,0,17059.7690240195,21513.9674645752,15194.4135823145,28528.1254094903,34328.5791816356,0.115829009471223,0.0817962874536357,0.0846509204314248,0.556910888604256,0,-9999,41.6681473703993,0,19.2362441238464,0,60.7027489659737,1.52858918865343e-25,0.0365654089934268,0.594402769121233,0.767759692461148,0.51141645555546,0.953066373940986,0.998464512323162,343616.075,1
"5%PI",0.0612340166670969,26564.5434634636,1.01390613960816,1.01396280304753,1.58973831398517,13600.0238185225,0,0.0481208878336474,212.305439692295,1957,0,13600.0342149666,17869.0889181996,11450.9177580894,24022.9095257564,26485.5564396537,0.0604497762470755,0.0483985458163837,0.030004567626277,0.463203736823848,0,-9999,40.5428482078251,0,16.3620839891269,0,57.1943547152945,8.12736070799061e-27,0.00747657214793467,0.425260605247298,0.535803783431303,0.369125560243569,0.724727802137567,0.92493770954959,16809.15,1
"95%PI",0.114196214263095,35574.2728575249,1.23622409538631,1.02311837644684,1.82606040779283,16652.5520510389,0,0.964006789715495,1067.49221610057,1968,0,16652.5509781164,21155.9581369008,14795.564419552,27870.994751145,32944.0685736227,0.113855303731429,0.0792093637676586,0.0794330543186001,0.546722974743691,0,-9999,41.4907667353756,0,18.7346101616399,0,60.0746031540485,1.44813123234999e-25,0.031074724289421,0.582525177760858,0.751616636697811,0.501963427012505,0.949408481780799,0.998134579496116,334799.45,1
"min",0.0275538608813658,25074.5198434797,1.0010519745883,1.00971315878724,1.49616298469345,12573.53641605,0,0.000442941673099995,155.566872121654,1926,0,12573.5494801025,16209.1742229954,10279.8588888323,21165.2339790652,25046.8823137743,0.026834669925091,0.0248470622112655,0.0150094942191013,0.435937822318947,0,-9999,40.3378873487359,0,16.2381232272756,0,56.9348969464903,1.50137347855553e-28,0.00547614706561762,0.354433822813668,0.396726776453321,0.3244293962116,0.468182576283586,0.592458954548378,267,1
"max",0.117963364251424,49211.0872564267,1.42847650084898,1.02670352518473,1.9711580282441,18194.0197004005,0,0.999718408565968,3703.12847562232,1968,0,18194.019699981,22391.8443408898,16826.9793739837,31621.7759673596,36928.7128676139,0.117693010040089,0.089597789555276,0.0998538935414611,0.596035170923087,0,-9999,44.379961403836,0,21.8347513535871,0,64.0660022623087,1.8771044030634e-25,0.0752498813189443,0.632963203855947,0.806686545137226,0.551455393303654,0.968575353977117,0.999085069818107,352329,1
"n",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
