"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.091","0.093","0.055","0.08","0.105","0.117","10,000"
"2","$K$","30,038","29,591","26,072","28,144","31,363","36,891","10,000"
"3","$N_{min}$","   471","   372","   192","   282","   555"," 1,271","10,000"
"4","$N_{2006}$","12,925","12,863","11,132","12,231","13,559","15,072","10,000"
"5","$N_{2008}$","14,985","14,948","13,252","14,349","15,590","16,901","10,000"
"6","$N_{2012}$","19,442","19,431","17,535","18,752","20,114","21,427","10,000"
"7","$N_{2019}$","25,879","25,854","23,555","25,079","26,616","28,495","10,000"
"8","$N_{2030}$","29,348","29,186","26,005","27,955","30,486","34,105","10,000"
"9","Max depletion","0.015","0.013","0.007","0.01","0.018","0.037","10,000"
"10","Depletion in 2006","0.433","0.432","0.353","0.407","0.458","0.513","10,000"
"11","Depletion in 2008","0.502","0.503","0.405","0.472","0.533","0.596","10,000"
"12","Depletion in 2012","0.653","0.658","0.506","0.61","0.7","0.77","10,000"
"13","Depletion in 2019","0.867","0.886","0.68","0.831","0.922","0.956","10,000"
"14","Depletion in 2030","0.979","0.991","0.888","0.977","0.996","0.999","10,000"
