"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.092","0.094","0.054","0.081","0.106","0.117","990"
"2","$K$","28,207","27,832","25,345","26,739","29,165","32,915","990"
"3","$N_{min}$","   497","   411","   195","   290","   582"," 1,307","990"
"4","$N_{2006}$","13,006","12,954","11,208","12,278","13,630","15,177","990"
"5","$N_{2008}$","15,034","15,000","13,346","14,377","15,625","16,929","990"
"6","$N_{2012}$","19,288","19,277","17,478","18,665","19,875","21,067","990"
"7","$N_{2019}$","24,952","24,992","23,140","24,476","25,487","26,393","990"
"8","$N_{2030}$","27,679","27,567","25,302","26,607","28,581","30,789","990"
"9","Max depletion","0.017","0.015","0.007","0.011","0.02","0.039","990"
"10","Depletion in 2006","0.462","0.461","0.398","0.438","0.486","0.538","990"
"11","Depletion in 2008","0.535","0.535","0.453","0.508","0.564","0.619","990"
"12","Depletion in 2012","0.688","0.694","0.558","0.65","0.733","0.79","990"
"13","Depletion in 2019","0.889","0.907","0.727","0.859","0.937","0.964","990"
"14","Depletion in 2030","0.983","0.993","0.906","0.982","0.997","0.999","990"
