"","N_1830","N_1831","N_1832","N_1833","N_1834","N_1835","N_1836","N_1837","N_1838","N_1839","N_1840","N_1841","N_1842","N_1843","N_1844","N_1845","N_1846","N_1847","N_1848","N_1849","N_1850","N_1851","N_1852","N_1853","N_1854","N_1855","N_1856","N_1857","N_1858","N_1859","N_1860","N_1861","N_1862","N_1863","N_1864","N_1865","N_1866","N_1867","N_1868","N_1869","N_1870","N_1871","N_1872","N_1873","N_1874","N_1875","N_1876","N_1877","N_1878","N_1879","N_1880","N_1881","N_1882","N_1883","N_1884","N_1885","N_1886","N_1887","N_1888","N_1889","N_1890","N_1891","N_1892","N_1893","N_1894","N_1895","N_1896","N_1897","N_1898","N_1899","N_1900","N_1901","N_1902","N_1903","N_1904","N_1905","N_1906","N_1907","N_1908","N_1909","N_1910","N_1911","N_1912","N_1913","N_1914","N_1915","N_1916","N_1917","N_1918","N_1919","N_1920","N_1921","N_1922","N_1923","N_1924","N_1925","N_1926","N_1927","N_1928","N_1929","N_1930","N_1931","N_1932","N_1933","N_1934","N_1935","N_1936","N_1937","N_1938","N_1939","N_1940","N_1941","N_1942","N_1943","N_1944","N_1945","N_1946","N_1947","N_1948","N_1949","N_1950","N_1951","N_1952","N_1953","N_1954","N_1955","N_1956","N_1957","N_1958","N_1959","N_1960","N_1961","N_1962","N_1963","N_1964","N_1965","N_1966","N_1967","N_1968","N_1969","N_1970","N_1971","N_1972","N_1973","N_1974","N_1975","N_1976","N_1977","N_1978","N_1979","N_1980","N_1981","N_1982","N_1983","N_1984","N_1985","N_1986","N_1987","N_1988","N_1989","N_1990","N_1991","N_1992","N_1993","N_1994","N_1995","N_1996","N_1997","N_1998","N_1999","N_2000","N_2001","N_2002","N_2003","N_2004","N_2005","N_2006","N_2007","N_2008","N_2009","N_2010","N_2011","N_2012","N_2013","N_2014","N_2015","N_2016","N_2017","N_2018","N_2019","N_2020","N_2021","N_2022","N_2023","N_2024","N_2025","N_2026","N_2027","N_2028","N_2029","N_2030"
"mean",23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23338.6613004526,23158.6613004526,22910.3125956627,22762.680223204,21624.0453935117,20110.1368038695,17278.2459964514,11632.1638126663,6673.89390108766,4378.05262458965,3774.42272528354,2962.08842050398,1535.04001444686,1226.9382618669,1216.30247689457,1196.72951615495,1193.38828101592,1198.78955930975,1297.75132990663,1050.99229540881,1012.3443953149,837.128343761875,657.59813225431,708.293420738587,770.644673453848,819.74809745457,841.380082363253,808.987860165979,862.534818062301,916.026289673721,865.468301284576,885.168933899894,915.665284507391,891.967114824281,729.026193275593,792.842169419726,860.521318065049,900.434842576768,967.005862192484,1052.72681728576,1142.39671431284,1184.40289158512,1052.32760693749,1115.96381049762,1180.51346167286,1238.07808884298,1266.02525088973,681.615469134561,695.771742537516,722.137520329527,644.848685284207,656.231559354777,616.531283564599,501.973177824538,482.546644366555,506.085950735474,532.580393596616,549.294673270978,581.304660216832,605.023172440856,642.66459347003,695.513249070435,700.975784736857,758.621713174907,632.296492237893,682.825664035847,737.646125188832,797.139500187199,861.722455036805,929.849952865315,1005.83236436073,1088.38072806079,1178.08569866162,1275.59219647677,1381.60429917838,1496.89050873917,1622.28939642891,1758.71561735931,1907.16626955822,2068.72754897777,2244.5816186285,2436.01356372702,2644.41824073227,2871.30674030537,3118.31206452459,3387.19345670188,3679.83860462982,3998.26264861527,4344.60254469339,4721.10483919853,5130.1042819806,5573.98992655845,6055.15443789384,6575.92129028003,7138.443496384,7744.56669122455,8395.64922126236,9092.33305746424,9834.26291536196,10619.7583255131,11445.4560738391,12305.9593953022,13193.5546614001,14098.0813495023,15007.0565190937,15906.1453007261,16780.0185955264,17613.5445950741,18393.1430999913,19108.039373463,19751.1423774214,20319.3642465524,20813.3602036591,21236.8257117826,21595.5731003774,21896.6041234993,22147.3271006762,22354.983805147,22526.2857577704,22667.2233753581,22783.000028294,22878.0465568217,22956.0814643755,23020.1924736122,23072.9239413167,23116.3611274789,23152.2067011048
"median",23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,23151.7524621399,22971.7524621399,22724.5259012938,22579.5474628347,21444.4481117837,19940.0135148055,17123.8856791459,11500.6306217126,6565.66072466129,4284.23039926912,3689.35914957811,2884.2616595527,1462.36224419316,1155.63247350277,1145.54310428881,1126.47162941266,1123.57324439553,1129.39719903032,1228.80376934626,982.741978541226,944.038174681074,768.664726680557,588.507957629899,637.977863584382,699.242098069131,747.399129515996,768.131694702333,734.847115851952,787.359249585468,839.887148330929,788.503513855124,807.198023017473,836.749434864486,812.050692043418,648.047021489302,710.196714504505,776.438498590694,814.940432549666,880.131863008715,964.476859968385,1053.01503137352,1094.00338041564,961.011120503399,1023.48479247179,1086.77141800175,1142.997095337,1169.49526861812,583.727532208809,594.680339124451,617.659466508421,536.960129016453,544.546371604463,500.830646846729,382.008442998029,357.807018099747,376.058140567231,397.015798685975,408.111166879623,434.261907929073,451.967617882616,483.275101859677,529.792333911127,528.804060863725,579.652563119772,446.302762426758,489.092922895117,536.214118545207,587.780774819248,644.401398492944,704.702877759456,772.157132742044,846.789372895232,928.671887148801,1017.85152874546,1114.63637713527,1221.89269587747,1338.94740243889,1466.41633237995,1609.02421497386,1763.13390134832,1934.1276677256,2119.37768096818,2322.2896136535,2545.94716805638,2788.56697282214,3056.76361623131,3350.20084736037,3671.37694041685,4018.11896020077,4391.7527495491,4806.6362945533,5259.53141034842,5753.94184638965,6286.50677923018,6868.85142540367,7496.63028007631,8169.54150564027,8894.73216362896,9665.04885278087,10473.9858133219,11324.1352402016,12214.3948311012,13124.9664718011,14045.0908081568,14968.8290560088,15885.1854551973,16771.0185414871,17614.10271693,18408.2016812283,19141.0916460072,19799.0256304069,20373.5775395144,20871.0403724521,21287.3330432251,21626.0727244047,21897.9988154802,22132.5625695502,22336.9761689491,22510.047577823,22659.6521418085,22779.5712917889,22874.2734322417,22939.6853657389,22988.6564958526,23029.1868723149,23055.7151015678,23078.063812708
"2.5%PI",22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22245.7269121924,22065.7269121924,21827.3366009824,21700.5517586543,20585.6323331824,19143.8464666252,16427.7954375218,10949.8495811464,6162.79513970683,3968.81261434116,3426.29964606453,2667.29945456037,1280.18543247088,982.701354767649,976.53223105388,961.643807129561,963.016466106489,973.549540522797,1078.31180370301,840.28246086923,805.474876668247,633.603653414664,453.647062431305,499.68277029419,558.097304566311,604.331417516488,623.974014362334,589.909531261976,640.881625217933,692.84015949292,641.794472852912,659.791118401945,688.969572132136,664.540767948403,500.300498741155,558.850982656705,622.228933015899,658.992018903125,723.055267610769,807.571378236551,897.990109278267,943.036000807636,815.063428971633,880.337779606657,948.260489366563,1010.9646179851,1046.12720840128,470.198477261697,480.197588724566,502.209812783834,420.868157609567,425.761282093558,379.338033090654,256.409332735525,225.180819471511,235.413772796954,247.823317362058,249.629144449431,265.685982363861,272.611879429027,292.4376139597,326.442517477238,312.282082171808,348.675478182991,200.195037670451,223.4076779027,249.195561927032,277.9716596895,310.518369344361,344.45041303368,384.318113024531,428.495211494604,478.370506380919,533.615909321408,594.831041856106,663.688429429941,739.933915489151,825.600257223095,920.745683793922,1026.2351969378,1145.18576367947,1278.46596726082,1426.17954083676,1589.94888762468,1771.71828406165,1974.83211389061,2203.07856515871,2452.76927636062,2731.5087115204,3042.27456227567,3388.64133749688,3773.47395374246,4193.66756482947,4661.72011656238,5176.24689825666,5737.51469973894,6367.01568812227,7047.3571297541,7790.65333210476,8583.02948814815,9439.93400632389,10339.8993047982,11285.5291657097,12269.0124647826,13265.4452777551,14244.5633843795,15186.9978114612,16094.6547779336,16917.9043048281,17672.1837426977,18388.6845400091,19021.8926752838,19626.4926044793,20170.8666926135,20681.0902571819,21140.4268950813,21557.1948437884,21841.9523578486,21994.5677276947,22075.9451892278,22129.3842778452,22162.7227753747,22185.9864371527,22202.6843405115,22215.1556255633,22223.7224465993,22228.4329498331
"97.5%PI",25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25501.4711758169,25321.4711758169,25056.803023993,24873.4269534496,23691.417244508,22052.2358397269,19015.4191240725,13071.3597333173,7809.06522232102,5329.48013632615,4615.68033223582,3709.90655075362,2215.53318081374,1890.03302050697,1871.80472610196,1845.93592636041,1837.37141177023,1837.19460179684,1928.1486080378,1669.0268808799,1626.86603975412,1449.41832043296,1274.81054701802,1338.02716748636,1411.71003791164,1470.43681359087,1500.388773919,1475.98521439789,1539.21863774963,1600.92178852099,1557.00989479332,1584.35574814733,1621.9390549281,1604.54599593835,1449.21655950823,1527.51966455791,1608.04199402053,1658.8729057637,1735.65158887529,1832.48900307019,1930.70618892109,1978.37539960305,1849.59189090573,1921.21281685679,1988.1334486427,2048.63645966529,2076.46539944372,1494.8692929188,1531.94580566806,1581.06829868446,1526.82126858879,1565.53184834897,1554.29261788344,1471.54868731988,1493.26314638931,1563.68248562867,1635.2328945139,1695.85574252447,1777.85961150002,1855.79452552298,1949.44317910272,2061.50595991794,2121.36483731914,2240.98124825429,2172.59630606434,2286.70281496388,2411.03127004645,2541.92058315591,2682.47650706087,2827.71519759577,2980.10037525867,3147.01757960111,3322.06355199617,3502.49037858605,3690.99415280813,3897.90987197997,4108.84295771244,4332.1266942441,4562.76666001683,4801.53267959786,5058.94625794125,5332.16808448217,5622.12602850037,5913.57060070486,6239.90106293263,6583.06740146524,6959.4318666422,7334.21420566317,7717.38605343527,8117.89983605102,8566.95764687655,9032.78098584683,9489.33372041781,9969.52682384934,10506.9152385241,11058.5345746283,11624.4478696498,12192.5893474489,12789.711896352,13415.8435591133,14045.4317063045,14728.7774053344,15448.9656602458,16208.5632479476,16987.2626848794,17715.6577925394,18474.6426953103,19182.6697602308,19828.8659223385,20410.8822200507,20909.0319711653,21334.6528498457,21692.8912813886,22005.0538445366,22293.5648866615,22555.3421554495,22787.5373525072,23011.486799707,23204.0744120202,23395.1668738354,23564.448297009,23723.6024730501,23882.3706342051,24031.3169899028,24162.7120459898,24286.3030828745,24401.8907503259
"5%PI",22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22289.3919579355,22109.3919579355,21870.5503259477,21742.8567007196,20626.9622587829,19182.058560659,16461.061170885,10975.931467291,6181.57534270094,3983.30014040539,3438.22993421197,2676.9715193563,1288.11977785933,990.171384648469,983.812074389719,968.728923153425,969.901738700442,980.197710478699,1084.69994520229,846.284119807117,811.297175949523,639.251367878005,459.303072272584,505.522429487007,564.089049290512,610.434685992832,630.151553978097,596.154313373008,647.22731261285,699.206244025997,648.215855242635,666.281148985674,695.388634095338,670.853458329998,506.549504507306,565.290049148825,628.833518738683,665.695570095881,729.790763727899,814.305020040342,904.532188870926,949.215051161911,821.118613386226,886.118612811525,953.732639063665,1016.03299312904,1050.72222659766,474.37207105097,484.315853871617,506.318830999711,424.838429741989,430.056625091976,383.866832820825,261.125853548512,230.393920013454,241.012749401363,253.85336677608,256.193734278446,272.779027936188,280.286075132745,300.778424063443,335.57821882404,322.260167086094,359.506827207829,211.664823691165,235.906574426794,263.132841861138,293.349433327171,326.957717010205,362.46183260206,404.384219195659,451.10858172816,503.253038710537,561.374980073204,625.915855507059,698.048881069069,778.294465370742,867.34075109355,967.297164505481,1078.30617350667,1202.71768380899,1339.77081433053,1493.63686220289,1664.33271451522,1853.40712534188,2065.0008404964,2300.28057247937,2560.65211061943,2850.11712266513,3170.43111216241,3525.80086553238,3920.0073428827,4355.74484099618,4838.19806124349,5363.96812748023,5942.86805654166,6579.23317085403,7275.51109562712,8019.7633775129,8824.53324849489,9692.72428380873,10593.859880252,11547.7788176357,12515.5514649627,13495.3349009356,14466.780894108,15416.8880435901,16318.4893568204,17143.2704027787,17920.5416105847,18624.542134162,19278.921277847,19879.5075851747,20426.300474126,20925.8478343222,21367.1520095592,21698.8047416472,21915.8237209414,22040.8839580597,22116.5031965129,22165.4191601706,22201.054137202,22226.2175640138,22243.9202521321,22256.774551334,22265.3540115825,22271.9907369199
"95%PI",24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24990.1445294677,24810.1445294677,24548.5277994695,24372.107835764,23199.0114083248,21584.7688170516,18589.8240956848,12706.5891847428,7506.85876711646,5065.83457816425,4374.62081654722,3487.09406491272,2004.27251391679,1681.50395602974,1664.61439201409,1638.62519191304,1629.02315062222,1627.96956694979,1719.93223810027,1462.62953012357,1420.56733263111,1242.2543522894,1065.06300941348,1123.88095279606,1193.31950529332,1247.93699072536,1274.77173163119,1247.27695899628,1306.71127996015,1365.41337984077,1318.23277423002,1342.83902035103,1377.44789662204,1357.88421114112,1200.13872012251,1274.53455584106,1350.80626015478,1397.53834910375,1470.72013546002,1562.25475382022,1655.02242295255,1696.95175939787,1563.43110227852,1630.55467446909,1694.25310422051,1751.29610735429,1778.61061464116,1192.32105487817,1220.85801973632,1260.7707051423,1199.45969944955,1230.73281487777,1211.31610581447,1121.13459805644,1130.20979823686,1185.54972197057,1245.0112688852,1294.9253341492,1361.06156389725,1420.18110043493,1495.44349925393,1591.52079449471,1641.45534729607,1744.8831690166,1663.81537571109,1768.68012323772,1876.4120087038,1990.94781385681,2113.844343126,2242.09779879819,2381.55343037178,2529.23656790791,2687.44260602862,2850.25332768155,3022.59242166503,3208.6035341101,3410.13724596457,3626.81131098972,3845.95805042845,4078.53990731183,4326.58182142638,4588.85686771542,4870.55516552941,5165.08283489456,5487.66175547399,5831.07765093025,6191.057189059,6577.79013417777,6972.03911448239,7389.47614711935,7831.42812886707,8284.14031666459,8755.08509301092,9264.96013971006,9804.95980245149,10365.4258021971,10951.875576456,11555.8244610027,12189.0817791952,12874.6674653692,13578.9268064397,14313.7961226938,15072.7152518047,15855.8185208169,16643.7231068716,17445.4802960553,18201.2530895822,18942.5365398124,19617.8299985458,20216.8542600591,20740.0479748072,21179.7689310288,21563.1590303281,21890.0177464084,22172.9477412902,22443.7564806779,22680.5448689101,22891.2774364233,23091.4066732471,23281.2065632792,23455.3056929409,23619.9762641226,23763.1781434701,23900.2932243244,24030.5236615616,24150.6831461507,24261.4950918302
"min",22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22201.663778997,22021.663778997,21783.7322196088,21657.8688732311,20543.9344932819,19105.3092175417,16394.2687051296,10923.6010876375,6143.94638515725,3954.27508697658,3414.31009280147,2657.59263874526,1272.21334105565,975.167259991111,969.16705528105,954.460211586003,956.021271426633,966.766190483423,1071.77659339231,834.151096226874,799.538583122432,627.847117920351,447.915542163636,493.762893031435,552.018190125548,598.144352483533,617.710216698263,583.58332334176,634.432053733904,686.276940208635,635.234631386269,653.174152839097,682.228938933961,657.709379858411,493.298902365551,551.49947140548,614.564457590634,651.066618100595,714.872908200831,799.201836969925,889.470684977723,934.376241326363,806.571725304488,871.709131105985,939.522077747756,1002.32368083464,1037.52141041179,461.863377361794,471.355996617146,492.968330906662,411.129908761517,415.637901699269,368.677685572687,245.17758911065,213.106847294177,222.252130570643,233.476458736043,234.025128468561,248.342499198073,253.047133553387,270.295523637039,301.537444883696,284.390168330169,317.261097744706,164.931052779511,183.994841666754,205.262094260475,228.987472081173,255.455058382395,282.981752684227,315.689903352291,352.178271785217,392.883610050982,438.293066482064,488.94997191487,545.460277277916,608.499709983025,678.821720861044,757.266296596814,844.76971393382,942.37531010924,1051.24533723066,1172.673953957,1308.10138202325,1459.12921224187,1627.53677654685,1815.29839787358,2024.60117180082,2257.86269988297,2517.74785247512,2807.18314488043,3129.3666064366,3487.7700322605,3886.12913921193,4328.41529722026,4818.78007712324,5361.46079799731,5960.6316554509,6620.18124017567,7343.39422934164,8132.5145870543,8988.17294943327,9908.67689180926,10851.3570938607,11749.4904124432,12681.4487185492,13636.7728874608,14602.264342656,15562.3548732038,16385.2872655651,17044.4213590924,17487.8772422928,17928.3433120546,18364.5814560138,18795.352797416,19202.0743399916,19521.44616878,19838.4464733199,20152.6666572876,20463.7025696831,20771.1570220493,21074.642302579,21373.7826515855,21668.2166623435,21957.5995717332,22170.8551128474,22179.5531922628
"max",29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29680.9804074254,29500.9804074254,29223.6026075872,29010.1658078731,27787.6458653209,26039.6856715854,22823.1809840559,16620.6792321678,11099.611830757,8469.12717386341,7670.85873174912,6699.68304449359,5165.05458055465,4844.93435878914,4843.21279596967,4833.45019765011,4841.45486548059,4858.65036311846,4969.25567949156,4727.49311778503,4710.968520341,4561.04892899378,4419.53925886664,4521.6304964232,4633.17498286059,4728.39393954944,4793.89087064769,4804.95193890578,4905.27692985052,5002.99267176991,4994.03159091534,5059.8576874015,5136.24605395291,5157.44420202858,5042.14396148788,5166.11216922002,5291.0169613124,5384.87120698781,5503.93534711678,5638.79490884939,5772.80951952533,5853.94721609712,5758.96967239747,5869.78541892971,5978.17523841696,6076.07427862335,6141.23227036323,5592.88975749123,5684.83177554762,5789.92062378243,5791.45618290371,5889.02743636911,5936.86332803382,5914.8070044065,5998.24010552564,6128.60270701044,6262.96979852532,6388.42015054156,6530.73639765053,6665.28847808636,6814.88440271208,6979.84632231313,7096.49710263595,7267.74150568718,7253.77031783855,7428.49142006495,7607.04703198873,7789.48998053165,7975.87109045529,8164.23890322965,8358.59722060147,8557.03082077853,8759.57954850517,8971.3645407139,9232.09716440399,9499.12579489329,9772.47270048467,10052.1458738312,10338.1376005783,10630.4229726854,10928.9583558036,11233.6798225748,11544.5015664506,11861.3143135939,12183.9837535701,12512.349012817,12846.2211982175,13185.3820414007,13529.5826775367,13878.5425952366,14231.9487965473,14589.455207772,14950.6823827394,15315.2175399948,15682.6149739908,16052.3968775192,16424.0546082044,16797.0504257474,17170.819718721,17544.7737301071,17918.3027795354,18290.7799675833,18661.5653338299,19030.0104260938,19395.4632239373,19757.2733457197,20229.0988089742,20737.201175714,21207.6259800268,21639.3706308042,22032.3013905115,22387.072135399,22705.0088100462,22987.9735700963,23238.2223424967,23458.2675121505,23650.7543953761,23818.3568189922,23963.6940659347,24124.8182312221,24370.608781674,24606.4528559958,24832.3500178517,25048.3447915816,25254.5237263449,25451.012127828,25637.9705425168
