"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.091","0.093","0.055","0.079","0.104","0.116","10,000"
"2","$K$","30,090","29,605","26,027","28,179","31,478","36,738","10,000"
"3","$N_{min}$","   479","   378","   192","   285","   562"," 1,355","10,000"
"4","$N_{2006}$","12,940","12,893","11,116","12,231","13,585","15,094","10,000"
"5","$N_{2008}$","14,994","14,963","13,268","14,349","15,613","16,875","10,000"
"6","$N_{2012}$","19,440","19,441","17,550","18,775","20,104","21,377","10,000"
"7","$N_{2019}$","25,886","25,867","23,579","25,108","26,601","28,524","10,000"
"8","$N_{2030}$","29,395","29,232","25,956","27,986","30,568","34,287","10,000"
"9","Max depletion","0.015","0.013","0.007","0.01","0.018","0.039","10,000"
"10","Depletion in 2006","0.432","0.431","0.354","0.406","0.458","0.512","10,000"
"11","Depletion in 2008","0.502","0.502","0.406","0.471","0.533","0.594","10,000"
"12","Depletion in 2012","0.651","0.656","0.511","0.608","0.699","0.769","10,000"
"13","Depletion in 2019","0.866","0.884","0.682","0.828","0.921","0.956","10,000"
"14","Depletion in 2030","0.979","0.991","0.891","0.976","0.996","0.999","10,000"
